number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.20833333333333334,2026-05-24 10:49:44.277564,2026-05-24 10:49:47.382872,0 days 00:00:03.105308,tanh,128.0,0.02385234757844707,98.0,,,25.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.2878787878787879,2026-05-24 10:49:47.382956,2026-05-24 10:49:47.430006,0 days 00:00:00.047050,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.15082956259426847,2026-05-24 10:49:47.430059,2026-05-24 10:49:47.440532,0 days 00:00:00.010473,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.12361466325660699,2026-05-24 10:49:47.440582,2026-05-24 10:49:49.292735,0 days 00:00:01.852153,elu,256.0,0.15255065745117377,60.0,,,80.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.2879581151832461,2026-05-24 10:49:49.292818,2026-05-24 10:49:49.463887,0 days 00:00:00.171069,tanh,512.0,0.01811326544803337,27.0,,,94.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.31456953642384106,2026-05-24 10:49:49.463970,2026-05-24 10:49:49.511823,0 days 00:00:00.047853,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.18518518518518517,2026-05-24 10:49:49.511878,2026-05-24 10:49:49.572818,0 days 00:00:00.060940,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.17921146953405018,2026-05-24 10:49:49.572867,2026-05-24 10:49:51.903844,0 days 00:00:02.330977,relu,256.0,0.006680983417211186,79.0,,,85.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.28225806451612906,2026-05-24 10:49:51.903933,2026-05-24 10:49:52.045139,0 days 00:00:00.141206,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.24891774891774893,2026-05-24 10:49:52.045208,2026-05-24 10:49:52.509829,0 days 00:00:00.464621,relu,512.0,0.029133955052801898,26.0,,,55.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.09689922480620156,2026-05-24 10:49:52.509912,2026-05-24 10:49:52.592138,0 days 00:00:00.082226,,,0.0014512493598463222,,scale,,,,OCSVM,,0.025971706863207364,COMPLETE
11,0.12455516014234876,2026-05-24 10:49:52.592211,2026-05-24 10:49:52.878286,0 days 00:00:00.286075,leaky_relu,512.0,0.003410596611180539,22.0,,,95.0,0.00965440094312844,AE,2.0,,COMPLETE
12,0.19784172661870503,2026-05-24 10:49:52.878378,2026-05-24 10:49:53.407145,0 days 00:00:00.528767,tanh,512.0,0.003797077705727539,49.0,,,57.0,0.0050446950975280526,AE,2.0,,COMPLETE
13,0.019230769230769232,2026-05-24 10:49:53.407224,2026-05-24 10:49:55.172624,0 days 00:00:01.765400,tanh,128.0,0.0011499362194966856,44.0,,,19.0,0.0017330850512644273,AE,3.0,,COMPLETE
14,0.31141868512110726,2026-05-24 10:49:55.172705,2026-05-24 10:49:55.521994,0 days 00:00:00.349289,elu,512.0,0.006446745257924971,38.0,,,72.0,0.0021223297272287135,AE,1.0,,COMPLETE
