number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-24 10:50:01.131849,2026-05-24 10:50:03.328298,0 days 00:00:02.196449,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.03225806451612903,2026-05-24 10:50:03.328384,2026-05-24 10:50:03.367980,0 days 00:00:00.039596,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.0,2026-05-24 10:50:03.368042,2026-05-24 10:50:03.377438,0 days 00:00:00.009396,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.014985014985014986,2026-05-24 10:50:03.377500,2026-05-24 10:50:04.485797,0 days 00:00:01.108297,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-24 10:50:04.485884,2026-05-24 10:50:04.593656,0 days 00:00:00.107772,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-24 10:50:04.593735,2026-05-24 10:50:04.634665,0 days 00:00:00.040930,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.011086474501108648,2026-05-24 10:50:04.634712,2026-05-24 10:50:04.650648,0 days 00:00:00.015936,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-24 10:50:04.650710,2026-05-24 10:50:05.898615,0 days 00:00:01.247905,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-24 10:50:05.898698,2026-05-24 10:50:06.010458,0 days 00:00:00.111760,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.0,2026-05-24 10:50:06.010525,2026-05-24 10:50:06.249475,0 days 00:00:00.238950,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 10:50:06.249569,2026-05-24 10:50:06.324827,0 days 00:00:00.075258,,,0.0010322851929145003,,scale,,,,OCSVM,,0.026920216985938796,COMPLETE
11,0.005931198102016607,2026-05-24 10:50:06.324893,2026-05-24 10:50:07.299417,0 days 00:00:00.974524,elu,256.0,0.1226207363984716,55.0,,,12.0,0.002092225079177822,AE,3.0,,COMPLETE
12,0.0,2026-05-24 10:50:07.299499,2026-05-24 10:50:08.229119,0 days 00:00:00.929620,elu,256.0,0.004703806793500387,55.0,,,11.0,0.00010675407469221818,AE,3.0,,COMPLETE
13,0.012195121951219513,2026-05-24 10:50:08.229201,2026-05-24 10:50:09.703366,0 days 00:00:01.474165,leaky_relu,128.0,0.18460600451848233,72.0,,,5.0,0.0015431780199486173,AE,2.0,,COMPLETE
14,0.0,2026-05-24 10:50:09.703446,2026-05-24 10:50:10.524008,0 days 00:00:00.820562,elu,256.0,0.002320941585991178,45.0,,,13.0,0.00045831000276920774,AE,3.0,,COMPLETE
