number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.24213075060532688,2026-05-24 10:52:14.862140,2026-05-24 10:52:17.899091,0 days 00:00:03.036951,tanh,128.0,0.02385234757844707,98.0,,,25.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.2672955974842767,2026-05-24 10:52:17.899174,2026-05-24 10:52:17.942808,0 days 00:00:00.043634,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.14992503748125938,2026-05-24 10:52:17.942854,2026-05-24 10:52:17.953814,0 days 00:00:00.010960,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.11231281198003328,2026-05-24 10:52:17.953863,2026-05-24 10:52:19.791542,0 days 00:00:01.837679,elu,256.0,0.15255065745117377,60.0,,,80.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.2785923753665689,2026-05-24 10:52:19.791626,2026-05-24 10:52:19.962958,0 days 00:00:00.171332,tanh,512.0,0.01811326544803337,27.0,,,94.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.28523489932885904,2026-05-24 10:52:19.963040,2026-05-24 10:52:20.006138,0 days 00:00:00.043098,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.1597444089456869,2026-05-24 10:52:20.006198,2026-05-24 10:52:20.057235,0 days 00:00:00.051037,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.22336769759450173,2026-05-24 10:52:20.057287,2026-05-24 10:52:22.274858,0 days 00:00:02.217571,relu,256.0,0.006680983417211186,79.0,,,85.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.2676056338028169,2026-05-24 10:52:22.274943,2026-05-24 10:52:22.412192,0 days 00:00:00.137249,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.2441860465116279,2026-05-24 10:52:22.412254,2026-05-24 10:52:22.883394,0 days 00:00:00.471140,relu,512.0,0.029133955052801898,26.0,,,55.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.05859375,2026-05-24 10:52:22.883480,2026-05-24 10:52:22.967468,0 days 00:00:00.083988,,,0.0014512493598463222,,scale,,,,OCSVM,,0.025971706863207364,COMPLETE
11,0.2737226277372263,2026-05-24 10:52:22.967531,2026-05-24 10:52:23.232443,0 days 00:00:00.264912,leaky_relu,512.0,0.003410596611180539,22.0,,,95.0,0.00965440094312844,AE,2.0,,COMPLETE
12,0.2737226277372263,2026-05-24 10:52:23.232522,2026-05-24 10:52:23.729332,0 days 00:00:00.496810,tanh,512.0,0.003797077705727539,49.0,,,57.0,0.0050446950975280526,AE,2.0,,COMPLETE
13,0.09615384615384616,2026-05-24 10:52:23.729409,2026-05-24 10:52:25.490287,0 days 00:00:01.760878,tanh,128.0,0.0011499362194966856,44.0,,,19.0,0.0017330850512644273,AE,3.0,,COMPLETE
14,0.2910958904109589,2026-05-24 10:52:25.490370,2026-05-24 10:52:25.762400,0 days 00:00:00.272030,elu,512.0,0.006446745257924971,38.0,,,72.0,0.0021223297272287135,AE,1.0,,COMPLETE
