number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-24 10:52:42.499847,2026-05-24 10:52:44.650485,0 days 00:00:02.150638,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-24 10:52:44.650565,2026-05-24 10:52:44.672028,0 days 00:00:00.021463,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.0,2026-05-24 10:52:44.672083,2026-05-24 10:52:44.680795,0 days 00:00:00.008712,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.011655011655011656,2026-05-24 10:52:44.680843,2026-05-24 10:52:45.770603,0 days 00:00:01.089760,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-24 10:52:45.770683,2026-05-24 10:52:45.875350,0 days 00:00:00.104667,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-24 10:52:45.875435,2026-05-24 10:52:45.898081,0 days 00:00:00.022646,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.0,2026-05-24 10:52:45.898132,2026-05-24 10:52:45.912106,0 days 00:00:00.013974,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-24 10:52:45.912152,2026-05-24 10:52:47.091828,0 days 00:00:01.179676,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-24 10:52:47.091910,2026-05-24 10:52:47.199404,0 days 00:00:00.107494,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.0,2026-05-24 10:52:47.199476,2026-05-24 10:52:47.421774,0 days 00:00:00.222298,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 10:52:47.421854,2026-05-24 10:52:48.348760,0 days 00:00:00.926906,elu,256.0,0.0010322851929145003,54.0,,,12.0,0.0024015639024822476,AE,3.0,,COMPLETE
11,0.00851063829787234,2026-05-24 10:52:48.348840,2026-05-24 10:52:52.021285,0 days 00:00:03.672445,elu,128.0,0.19636716167443305,100.0,,,4.0,0.0001169558442567087,VAE,3.0,,COMPLETE
12,0.008695652173913044,2026-05-24 10:52:52.021366,2026-05-24 10:52:53.735973,0 days 00:00:01.714607,elu,128.0,0.19895346387822435,61.0,,,4.0,0.00010348533987754031,AE,3.0,,COMPLETE
13,0.00847457627118644,2026-05-24 10:52:53.736052,2026-05-24 10:52:55.291850,0 days 00:00:01.555798,leaky_relu,128.0,0.19473411972143506,56.0,,,9.0,0.0004079322904791553,AE,3.0,,COMPLETE
14,0.0,2026-05-24 10:52:55.291931,2026-05-24 10:52:56.178281,0 days 00:00:00.886350,elu,256.0,0.08792115255625467,69.0,,,13.0,0.00010314261777140934,AE,2.0,,COMPLETE
