number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.16581632653061223,2026-05-24 10:53:32.863612,2026-05-24 10:53:35.887788,0 days 00:00:03.024176,tanh,128.0,0.02385234757844707,98.0,,,25.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.19672131147540983,2026-05-24 10:53:35.887870,2026-05-24 10:53:35.932480,0 days 00:00:00.044610,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.10603588907014681,2026-05-24 10:53:35.932529,2026-05-24 10:53:35.943619,0 days 00:00:00.011090,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.09387755102040816,2026-05-24 10:53:35.943668,2026-05-24 10:53:37.790468,0 days 00:00:01.846800,elu,256.0,0.15255065745117377,60.0,,,80.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.17142857142857143,2026-05-24 10:53:37.790549,2026-05-24 10:53:37.969302,0 days 00:00:00.178753,tanh,512.0,0.01811326544803337,27.0,,,94.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.17921146953405018,2026-05-24 10:53:37.969384,2026-05-24 10:53:38.016589,0 days 00:00:00.047205,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.11589403973509933,2026-05-24 10:53:38.016639,2026-05-24 10:53:38.068725,0 days 00:00:00.052086,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.17482517482517482,2026-05-24 10:53:38.068786,2026-05-24 10:53:40.264921,0 days 00:00:02.196135,relu,256.0,0.006680983417211186,79.0,,,85.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.16620498614958448,2026-05-24 10:53:40.265001,2026-05-24 10:53:40.394972,0 days 00:00:00.129971,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.13953488372093023,2026-05-24 10:53:40.395029,2026-05-24 10:53:40.828816,0 days 00:00:00.433787,relu,512.0,0.029133955052801898,26.0,,,55.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.058823529411764705,2026-05-24 10:53:40.828897,2026-05-24 10:53:40.904662,0 days 00:00:00.075765,,,0.0010322851929145003,,scale,,,,OCSVM,,0.026920216985938796,COMPLETE
11,0.18315018315018314,2026-05-24 10:53:40.904716,2026-05-24 10:53:40.952758,0 days 00:00:00.048042,,,0.004915963769370817,,scale,,,,OCSVM,,0.006445459956128235,COMPLETE
12,0.13358778625954199,2026-05-24 10:53:40.952809,2026-05-24 10:53:41.002023,0 days 00:00:00.049214,,,0.002544809257216888,,scale,,,,OCSVM,,0.009784585477597547,COMPLETE
13,0.2,2026-05-24 10:53:41.002075,2026-05-24 10:53:41.049339,0 days 00:00:00.047264,,,0.005897467395685554,,scale,,,,OCSVM,,0.012238525827319158,COMPLETE
14,0.13409961685823754,2026-05-24 10:53:41.049384,2026-05-24 10:53:41.093956,0 days 00:00:00.044572,,,0.002545324883607433,,scale,,,,OCSVM,,0.0010748733999513408,COMPLETE
