number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.36637931034482757,2026-05-24 10:54:18.477873,2026-05-24 10:54:20.601330,0 days 00:00:02.123457,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.6481481481481481,2026-05-24 10:54:20.601409,2026-05-24 10:54:20.640106,0 days 00:00:00.038697,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.20334928229665072,2026-05-24 10:54:20.640151,2026-05-24 10:54:20.649091,0 days 00:00:00.008940,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.08121827411167512,2026-05-24 10:54:20.649137,2026-05-24 10:54:21.729640,0 days 00:00:01.080503,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.4187192118226601,2026-05-24 10:54:21.729722,2026-05-24 10:54:21.835110,0 days 00:00:00.105388,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.9195402298850575,2026-05-24 10:54:21.835190,2026-05-24 10:54:21.874496,0 days 00:00:00.039306,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.13349514563106796,2026-05-24 10:54:21.874549,2026-05-24 10:54:21.888084,0 days 00:00:00.013535,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.7657657657657657,2026-05-24 10:54:21.888131,2026-05-24 10:54:23.059500,0 days 00:00:01.171369,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.397196261682243,2026-05-24 10:54:23.059583,2026-05-24 10:54:23.165581,0 days 00:00:00.105998,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.3125,2026-05-24 10:54:23.165632,2026-05-24 10:54:23.379619,0 days 00:00:00.213987,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.8024691358024691,2026-05-24 10:54:23.379700,2026-05-24 10:54:23.438031,0 days 00:00:00.058331,,,0.0014512493598463222,,scale,,,,OCSVM,,0.025971706863207364,COMPLETE
11,0.5844155844155844,2026-05-24 10:54:23.438089,2026-05-24 10:54:23.499865,0 days 00:00:00.061776,,,0.0012277440743282356,,scale,,,,OCSVM,,0.02806056271395425,COMPLETE
12,0.8536585365853658,2026-05-24 10:54:23.499912,2026-05-24 10:54:23.799847,0 days 00:00:00.299935,,,0.0019474330505554252,,scale,,,,OCSVM,,0.1773196662900432,COMPLETE
13,0.9770114942528736,2026-05-24 10:54:23.799912,2026-05-24 10:54:24.069954,0 days 00:00:00.270042,,,0.003338564498306404,,scale,,,,OCSVM,,0.1600496799772316,COMPLETE
14,0.9195402298850575,2026-05-24 10:54:24.070014,2026-05-24 10:54:24.100295,0 days 00:00:00.030281,,,0.00396961854417642,,scale,,,,OCSVM,,0.0010708093822066611,COMPLETE
