number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.046296296296296294,2026-05-24 11:18:37.511009,2026-05-24 11:18:39.671734,0 days 00:00:02.160725,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.10416666666666667,2026-05-24 11:18:39.671816,2026-05-24 11:18:39.704137,0 days 00:00:00.032321,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.04484304932735426,2026-05-24 11:18:39.704197,2026-05-24 11:18:39.713333,0 days 00:00:00.009136,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.03493013972055888,2026-05-24 11:18:39.713381,2026-05-24 11:18:40.796373,0 days 00:00:01.082992,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.10050251256281408,2026-05-24 11:18:40.796453,2026-05-24 11:18:40.902851,0 days 00:00:00.106398,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.12605042016806722,2026-05-24 11:18:40.902929,2026-05-24 11:18:40.927870,0 days 00:00:00.024941,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.0585480093676815,2026-05-24 11:18:40.927925,2026-05-24 11:18:40.938173,0 days 00:00:00.010248,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.03875968992248062,2026-05-24 11:18:40.938234,2026-05-24 11:18:42.173994,0 days 00:00:01.235760,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.08196721311475409,2026-05-24 11:18:42.174075,2026-05-24 11:18:42.280573,0 days 00:00:00.106498,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.08333333333333333,2026-05-24 11:18:42.280637,2026-05-24 11:18:42.493224,0 days 00:00:00.212587,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.15625,2026-05-24 11:18:42.493299,2026-05-24 11:18:42.550914,0 days 00:00:00.057615,,,0.0014512493598463222,,scale,,,,OCSVM,,0.025971706863207364,COMPLETE
11,0.15625,2026-05-24 11:18:42.550970,2026-05-24 11:18:42.618721,0 days 00:00:00.067751,,,0.0012277440743282356,,scale,,,,OCSVM,,0.02806056271395425,COMPLETE
12,0.15789473684210525,2026-05-24 11:18:42.618781,2026-05-24 11:18:42.691993,0 days 00:00:00.073212,,,0.0010216264543353166,,scale,,,,OCSVM,,0.03375746637415966,COMPLETE
13,0.15789473684210525,2026-05-24 11:18:42.692046,2026-05-24 11:18:43.000984,0 days 00:00:00.308938,,,0.0011575820632229999,,scale,,,,OCSVM,,0.1816400621717563,COMPLETE
14,0.14285714285714285,2026-05-24 11:18:43.001042,2026-05-24 11:18:43.273739,0 days 00:00:00.272697,,,0.0031716673470678675,,scale,,,,OCSVM,,0.1591663215257319,COMPLETE
