number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-24 11:17:31.263892,2026-05-24 11:17:33.419192,0 days 00:00:02.155300,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-24 11:17:33.419271,2026-05-24 11:17:33.458534,0 days 00:00:00.039263,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.010183299389002037,2026-05-24 11:17:33.458583,2026-05-24 11:17:33.467556,0 days 00:00:00.008973,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.02334267040149393,2026-05-24 11:17:33.467605,2026-05-24 11:17:34.556791,0 days 00:00:01.089186,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-24 11:17:34.556871,2026-05-24 11:17:34.675427,0 days 00:00:00.118556,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-24 11:17:34.675508,2026-05-24 11:17:34.723024,0 days 00:00:00.047516,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.01141552511415525,2026-05-24 11:17:34.723070,2026-05-24 11:17:34.742503,0 days 00:00:00.019433,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-24 11:17:34.742549,2026-05-24 11:17:35.897558,0 days 00:00:01.155009,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-24 11:17:35.897639,2026-05-24 11:17:36.003800,0 days 00:00:00.106161,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.017857142857142856,2026-05-24 11:17:36.003866,2026-05-24 11:17:36.214564,0 days 00:00:00.210698,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 11:17:36.214642,2026-05-24 11:17:37.138443,0 days 00:00:00.923801,elu,256.0,0.0010322851929145003,54.0,,,12.0,0.0024015639024822476,AE,3.0,,COMPLETE
11,0.02700617283950617,2026-05-24 11:17:37.138523,2026-05-24 11:17:37.414823,0 days 00:00:00.276300,elu,512.0,0.19054969780007425,22.0,,,9.0,0.00020156937243694814,VAE,3.0,,COMPLETE
12,0.02237136465324385,2026-05-24 11:17:37.414902,2026-05-24 11:17:38.242014,0 days 00:00:00.827112,elu,256.0,0.19893421618512913,52.0,,,9.0,0.00010636247005317247,AE,3.0,,COMPLETE
13,0.019394879751745538,2026-05-24 11:17:38.242094,2026-05-24 11:17:38.591822,0 days 00:00:00.349728,leaky_relu,512.0,0.19459785229080276,40.0,,,6.0,0.0004563882252621597,AE,3.0,,COMPLETE
14,0.01631321370309951,2026-05-24 11:17:38.591900,2026-05-24 11:17:41.078105,0 days 00:00:02.486205,elu,128.0,0.08658022422090288,76.0,,,13.0,0.00022406949228303947,VAE,2.0,,COMPLETE
