number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-24 11:19:01.594866,2026-05-24 11:19:03.778044,0 days 00:00:02.183178,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-24 11:19:03.778126,2026-05-24 11:19:03.819429,0 days 00:00:00.041303,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.03138075313807531,2026-05-24 11:19:03.819483,2026-05-24 11:19:03.828552,0 days 00:00:00.009069,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.004921259842519685,2026-05-24 11:19:03.828601,2026-05-24 11:19:04.917027,0 days 00:00:01.088426,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-24 11:19:04.917110,2026-05-24 11:19:05.024414,0 days 00:00:00.107304,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-24 11:19:05.024492,2026-05-24 11:19:05.066348,0 days 00:00:00.041856,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.024691358024691357,2026-05-24 11:19:05.066397,2026-05-24 11:19:05.086924,0 days 00:00:00.020527,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-24 11:19:05.086971,2026-05-24 11:19:06.353246,0 days 00:00:01.266275,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-24 11:19:06.353331,2026-05-24 11:19:06.471193,0 days 00:00:00.117862,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.0,2026-05-24 11:19:06.471266,2026-05-24 11:19:06.702794,0 days 00:00:00.231528,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 11:19:06.702884,2026-05-24 11:19:06.712736,0 days 00:00:00.009852,,,0.0010322851929145003,,float,0.001116630251572529,,,OCSVM,,0.0010407983813368587,COMPLETE
11,0.0,2026-05-24 11:19:06.712792,2026-05-24 11:19:06.752610,0 days 00:00:00.039818,,,0.11603682403524533,,float,0.6579898182099224,,,OCSVM,,0.0018286501684339242,COMPLETE
12,0.02288329519450801,2026-05-24 11:19:06.752683,2026-05-24 11:19:06.790664,0 days 00:00:00.037981,,,0.06094684666401573,,float,0.22833856045683693,,,OCSVM,,0.014693938043295097,COMPLETE
13,0.023255813953488372,2026-05-24 11:19:06.790717,2026-05-24 11:19:06.814361,0 days 00:00:00.023644,,,0.05676031646069248,,float,0.018527154736095654,,,OCSVM,,0.008854746735734857,COMPLETE
14,0.031446540880503145,2026-05-24 11:19:06.814418,2026-05-24 11:19:06.868557,0 days 00:00:00.054139,,,0.06324144789301883,,float,0.0017285984973383222,,,OCSVM,,0.025205610991902834,COMPLETE
