number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.2682926829268293,2026-05-24 11:20:07.399150,2026-05-24 11:20:10.467514,0 days 00:00:03.068364,tanh,128.0,0.02385234757844707,98.0,,,25.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.32934131736526945,2026-05-24 11:20:10.467593,2026-05-24 11:20:10.515557,0 days 00:00:00.047964,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.17746913580246915,2026-05-24 11:20:10.515612,2026-05-24 11:20:10.525447,0 days 00:00:00.009835,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.1293451899757478,2026-05-24 11:20:10.525495,2026-05-24 11:20:12.380489,0 days 00:00:01.854994,elu,256.0,0.15255065745117377,60.0,,,80.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.32670454545454547,2026-05-24 11:20:12.380571,2026-05-24 11:20:12.552121,0 days 00:00:00.171550,tanh,512.0,0.01811326544803337,27.0,,,94.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.36423841059602646,2026-05-24 11:20:12.552200,2026-05-24 11:20:12.600504,0 days 00:00:00.048304,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.19448946515397084,2026-05-24 11:20:12.600563,2026-05-24 11:20:12.663520,0 days 00:00:00.062957,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.2568493150684932,2026-05-24 11:20:12.663570,2026-05-24 11:20:14.895006,0 days 00:00:02.231436,relu,256.0,0.006680983417211186,79.0,,,85.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.3159340659340659,2026-05-24 11:20:14.895091,2026-05-24 11:20:15.028990,0 days 00:00:00.133899,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.26558891454965355,2026-05-24 11:20:15.029053,2026-05-24 11:20:15.455928,0 days 00:00:00.426875,relu,512.0,0.029133955052801898,26.0,,,55.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.07662835249042145,2026-05-24 11:20:15.456010,2026-05-24 11:20:15.530467,0 days 00:00:00.074457,,,0.0014512493598463222,,scale,,,,OCSVM,,0.025971706863207364,COMPLETE
11,0.3767123287671233,2026-05-24 11:20:15.530528,2026-05-24 11:20:15.583812,0 days 00:00:00.053284,,,0.004915963769370817,,scale,,,,OCSVM,,0.006445459956128235,COMPLETE
12,0.3202846975088968,2026-05-24 11:20:15.583857,2026-05-24 11:20:15.634777,0 days 00:00:00.050920,,,0.003409516149612066,,scale,,,,OCSVM,,0.009784585477597547,COMPLETE
13,0.30357142857142855,2026-05-24 11:20:15.634828,2026-05-24 11:20:15.684806,0 days 00:00:00.049978,,,0.003338564498306404,,scale,,,,OCSVM,,0.001424283405584858,COMPLETE
14,0.01937984496124031,2026-05-24 11:20:15.684849,2026-05-24 11:20:15.735100,0 days 00:00:00.050251,,,0.0010793928799714397,,scale,,,,OCSVM,,0.01249527370988267,COMPLETE
