number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-24 11:20:15.868487,2026-05-24 11:20:18.018681,0 days 00:00:02.150194,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-24 11:20:18.018763,2026-05-24 11:20:18.060399,0 days 00:00:00.041636,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.010040160642570281,2026-05-24 11:20:18.060447,2026-05-24 11:20:18.069393,0 days 00:00:00.008946,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.004945598417408506,2026-05-24 11:20:18.069443,2026-05-24 11:20:19.154741,0 days 00:00:01.085298,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-24 11:20:19.154821,2026-05-24 11:20:19.263799,0 days 00:00:00.108978,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-24 11:20:19.263878,2026-05-24 11:20:19.304987,0 days 00:00:00.041109,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.011185682326621925,2026-05-24 11:20:19.305033,2026-05-24 11:20:19.320778,0 days 00:00:00.015745,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-24 11:20:19.320828,2026-05-24 11:20:20.485715,0 days 00:00:01.164887,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-24 11:20:20.485799,2026-05-24 11:20:20.592223,0 days 00:00:00.106424,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.0,2026-05-24 11:20:20.592289,2026-05-24 11:20:20.806195,0 days 00:00:00.213906,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 11:20:20.806276,2026-05-24 11:20:20.864844,0 days 00:00:00.058568,,,0.0010322851929145003,,float,1.6477393920512946,,,OCSVM,,0.0010407983813368587,COMPLETE
11,0.012224938875305624,2026-05-24 11:20:20.864901,2026-05-24 11:20:20.875505,0 days 00:00:00.010604,,,0.11603682403524533,,float,0.0011053422971636288,,,OCSVM,,0.0018286501684339242,COMPLETE
12,0.018832391713747645,2026-05-24 11:20:20.875555,2026-05-24 11:20:20.895724,0 days 00:00:00.020169,,,0.1602506766156625,,float,0.24251500783469307,,,OCSVM,,0.0011513672594312162,COMPLETE
13,0.011655011655011656,2026-05-24 11:20:20.895775,2026-05-24 11:20:20.904705,0 days 00:00:00.008930,,,0.19431113776060033,,float,0.0021348285471808775,,,OCSVM,,0.0010239737685590331,COMPLETE
14,0.007987220447284345,2026-05-24 11:20:20.904752,2026-05-24 11:20:20.956489,0 days 00:00:00.051737,,,0.08428564748930008,,float,0.060436897066554994,,,OCSVM,,0.025205610991902834,COMPLETE
