number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0205761316872428,2026-05-24 11:22:26.944611,2026-05-24 11:22:29.094746,0 days 00:00:02.150135,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.032467532467532464,2026-05-24 11:22:29.094825,2026-05-24 11:22:29.119262,0 days 00:00:00.024437,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.010245901639344262,2026-05-24 11:22:29.119309,2026-05-24 11:22:29.128358,0 days 00:00:00.009049,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.009354536950420954,2026-05-24 11:22:29.128404,2026-05-24 11:22:30.212895,0 days 00:00:01.084491,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.024875621890547265,2026-05-24 11:22:30.212978,2026-05-24 11:22:30.326416,0 days 00:00:00.113438,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.04,2026-05-24 11:22:30.326497,2026-05-24 11:22:30.349315,0 days 00:00:00.022818,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.02092050209205021,2026-05-24 11:22:30.349360,2026-05-24 11:22:30.358994,0 days 00:00:00.009634,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.03787878787878788,2026-05-24 11:22:30.359042,2026-05-24 11:22:31.565018,0 days 00:00:01.205976,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.02403846153846154,2026-05-24 11:22:31.565101,2026-05-24 11:22:31.671355,0 days 00:00:00.106254,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.019455252918287938,2026-05-24 11:22:31.671421,2026-05-24 11:22:31.902270,0 days 00:00:00.230849,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.05102040816326531,2026-05-24 11:22:31.902350,2026-05-24 11:22:31.959431,0 days 00:00:00.057081,,,0.0014512493598463222,,scale,,,,OCSVM,,0.025971706863207364,COMPLETE
11,0.052083333333333336,2026-05-24 11:22:31.959487,2026-05-24 11:22:32.019117,0 days 00:00:00.059630,,,0.0012277440743282356,,scale,,,,OCSVM,,0.02806056271395425,COMPLETE
12,0.052083333333333336,2026-05-24 11:22:32.019163,2026-05-24 11:22:32.089570,0 days 00:00:00.070407,,,0.0010216264543353166,,scale,,,,OCSVM,,0.03375746637415966,COMPLETE
13,0.052083333333333336,2026-05-24 11:22:32.089626,2026-05-24 11:22:32.398368,0 days 00:00:00.308742,,,0.0011575820632229999,,scale,,,,OCSVM,,0.18312764862554234,COMPLETE
14,0.04807692307692308,2026-05-24 11:22:32.398426,2026-05-24 11:22:32.443313,0 days 00:00:00.044887,,,0.002593925768317523,,scale,,,,OCSVM,,0.019769544417360025,COMPLETE
