number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.4646017699115044,2026-05-24 11:22:04.109978,2026-05-24 11:22:06.269768,0 days 00:00:02.159790,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.7291666666666666,2026-05-24 11:22:06.269853,2026-05-24 11:22:06.327053,0 days 00:00:00.057200,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.22580645161290322,2026-05-24 11:22:06.327101,2026-05-24 11:22:06.335444,0 days 00:00:00.008343,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.10214007782101167,2026-05-24 11:22:06.335490,2026-05-24 11:22:07.423007,0 days 00:00:01.087517,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.625,2026-05-24 11:22:07.423089,2026-05-24 11:22:07.531430,0 days 00:00:00.108341,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.8333333333333334,2026-05-24 11:22:07.531508,2026-05-24 11:22:07.592432,0 days 00:00:00.060924,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.1440329218106996,2026-05-24 11:22:07.592484,2026-05-24 11:22:07.625369,0 days 00:00:00.032885,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.8974358974358975,2026-05-24 11:22:07.625422,2026-05-24 11:22:08.814644,0 days 00:00:01.189222,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.5384615384615384,2026-05-24 11:22:08.814726,2026-05-24 11:22:08.920744,0 days 00:00:00.106018,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.4117647058823529,2026-05-24 11:22:08.920803,2026-05-24 11:22:09.144275,0 days 00:00:00.223472,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.3763440860215054,2026-05-24 11:22:09.144354,2026-05-24 11:22:10.686155,0 days 00:00:01.541801,leaky_relu,256.0,0.001454180104792578,86.0,,,12.0,0.0014138916628611978,VAE,2.0,,COMPLETE
11,0.3,2026-05-24 11:22:10.686240,2026-05-24 11:22:11.789641,0 days 00:00:01.103401,relu,256.0,0.0038462545758740515,67.0,,,8.0,0.0008339253963206758,VAE,2.0,,COMPLETE
12,0.9051724137931034,2026-05-24 11:22:11.789725,2026-05-24 11:22:11.866674,0 days 00:00:00.076949,,,0.005747473954395584,,scale,,,,OCSVM,,0.02588682656074846,COMPLETE
13,0.7339449541284404,2026-05-24 11:22:11.866728,2026-05-24 11:22:14.523723,0 days 00:00:02.656995,relu,128.0,0.0031752537980071945,65.0,,,15.0,0.0007010478624133058,VAE,3.0,,COMPLETE
14,0.22727272727272727,2026-05-24 11:22:14.523800,2026-05-24 11:22:14.831528,0 days 00:00:00.307728,elu,256.0,0.001042073374139197,45.0,,,4.0,0.0027955059184007138,AE,1.0,,COMPLETE
