number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.021367521367521368,2026-05-24 11:23:38.921770,2026-05-24 11:23:41.083890,0 days 00:00:02.162120,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.032467532467532464,2026-05-24 11:23:41.083973,2026-05-24 11:23:41.105441,0 days 00:00:00.021468,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.02577319587628866,2026-05-24 11:23:41.105492,2026-05-24 11:23:41.114503,0 days 00:00:00.009011,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.030706243602865915,2026-05-24 11:23:41.114549,2026-05-24 11:23:42.200234,0 days 00:00:01.085685,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.024390243902439025,2026-05-24 11:23:42.200315,2026-05-24 11:23:42.308504,0 days 00:00:00.108189,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0364963503649635,2026-05-24 11:23:42.308574,2026-05-24 11:23:42.331250,0 days 00:00:00.022676,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.023696682464454975,2026-05-24 11:23:42.331293,2026-05-24 11:23:42.341419,0 days 00:00:00.010126,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-24 11:23:42.341464,2026-05-24 11:23:43.537690,0 days 00:00:01.196226,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.04807692307692308,2026-05-24 11:23:43.537775,2026-05-24 11:23:43.644184,0 days 00:00:00.106409,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.03759398496240601,2026-05-24 11:23:43.644248,2026-05-24 11:23:43.856859,0 days 00:00:00.212611,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 11:23:43.856940,2026-05-24 11:23:44.092116,0 days 00:00:00.235176,,,0.0015200809077270817,,float,0.012435961311605835,,,OCSVM,,0.13357624993799852,COMPLETE
11,0.05084745762711865,2026-05-24 11:23:44.092179,2026-05-24 11:23:44.293615,0 days 00:00:00.201436,relu,512.0,0.037708305451627254,20.0,,,9.0,0.0015168735523025366,VAE,2.0,,COMPLETE
12,0.0,2026-05-24 11:23:44.293696,2026-05-24 11:23:44.836045,0 days 00:00:00.542349,leaky_relu,512.0,0.0021171002228790284,50.0,,,4.0,0.002306233577527587,VAE,3.0,,COMPLETE
13,0.033632286995515695,2026-05-24 11:23:44.836124,2026-05-24 11:23:46.127748,0 days 00:00:01.291624,relu,128.0,0.05965163340738103,41.0,,,10.0,0.0013481840380627334,VAE,2.0,,COMPLETE
14,0.018811136192626036,2026-05-24 11:23:46.127831,2026-05-24 11:23:46.610545,0 days 00:00:00.482714,leaky_relu,512.0,0.19932553932270766,75.0,,,7.0,0.004160617933755996,AE,2.0,,COMPLETE
