number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.022935779816513763,2026-05-24 11:23:31.697299,2026-05-24 11:23:33.864715,0 days 00:00:02.167416,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0390625,2026-05-24 11:23:33.864795,2026-05-24 11:23:33.882718,0 days 00:00:00.017923,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.030800821355236138,2026-05-24 11:23:33.882763,2026-05-24 11:23:33.891658,0 days 00:00:00.008895,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.014423076923076924,2026-05-24 11:23:33.891703,2026-05-24 11:23:34.986732,0 days 00:00:01.095029,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.050761421319796954,2026-05-24 11:23:34.986810,2026-05-24 11:23:35.094832,0 days 00:00:00.108022,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.050505050505050504,2026-05-24 11:23:35.094906,2026-05-24 11:23:35.111977,0 days 00:00:00.017071,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.043668122270742356,2026-05-24 11:23:35.112022,2026-05-24 11:23:35.120572,0 days 00:00:00.008550,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.04424778761061947,2026-05-24 11:23:35.120618,2026-05-24 11:23:36.294399,0 days 00:00:01.173781,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.04830917874396135,2026-05-24 11:23:36.294480,2026-05-24 11:23:36.400692,0 days 00:00:00.106212,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.01984126984126984,2026-05-24 11:23:36.400757,2026-05-24 11:23:36.611656,0 days 00:00:00.210899,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 11:23:36.611733,2026-05-24 11:23:36.756342,0 days 00:00:00.144609,leaky_relu,512.0,0.0015200809077270817,21.0,,,16.0,0.006536264082965736,AE,2.0,,COMPLETE
11,0.05102040816326531,2026-05-24 11:23:36.756421,2026-05-24 11:23:37.109751,0 days 00:00:00.353330,tanh,512.0,0.003409516149612066,46.0,,,11.0,0.009634050380006358,AE,2.0,,COMPLETE
12,0.06329113924050633,2026-05-24 11:23:37.109832,2026-05-24 11:23:37.446763,0 days 00:00:00.336931,tanh,512.0,0.0020270781790489314,45.0,,,11.0,0.009942964949599724,AE,2.0,,COMPLETE
13,0.0641025641025641,2026-05-24 11:23:37.446844,2026-05-24 11:23:37.814065,0 days 00:00:00.367221,tanh,512.0,0.001765662003013001,50.0,,,10.0,0.002293902206222694,AE,2.0,,COMPLETE
14,0.0641025641025641,2026-05-24 11:23:37.814138,2026-05-24 11:23:38.355226,0 days 00:00:00.541088,tanh,512.0,0.0012150313730923377,50.0,,,10.0,0.0019530086863240373,AE,3.0,,COMPLETE
