number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.20304568527918782,2026-05-26 00:07:14.573688,2026-05-26 00:07:18.371465,0 days 00:00:03.797777,tanh,128.0,0.02385234757844707,98.0,,,25.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.35816618911174786,2026-05-26 00:07:18.371610,2026-05-26 00:07:18.419261,0 days 00:00:00.047651,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.14328808446455504,2026-05-26 00:07:18.419322,2026-05-26 00:07:18.430683,0 days 00:00:00.011361,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.14559068219633944,2026-05-26 00:07:18.430748,2026-05-26 00:07:20.467189,0 days 00:00:02.036441,elu,256.0,0.15255065745117377,60.0,,,80.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.3116531165311653,2026-05-26 00:07:20.467271,2026-05-26 00:07:20.643892,0 days 00:00:00.176621,tanh,512.0,0.01811326544803337,27.0,,,94.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.3548387096774194,2026-05-26 00:07:20.643966,2026-05-26 00:07:20.691243,0 days 00:00:00.047277,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.2115987460815047,2026-05-26 00:07:20.691303,2026-05-26 00:07:20.752468,0 days 00:00:00.061165,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.10416666666666667,2026-05-26 00:07:20.752535,2026-05-26 00:07:23.166031,0 days 00:00:02.413496,relu,256.0,0.006680983417211186,79.0,,,85.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.27486910994764396,2026-05-26 00:07:23.166142,2026-05-26 00:07:23.297048,0 days 00:00:00.130906,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.2505694760820046,2026-05-26 00:07:23.297111,2026-05-26 00:07:23.750782,0 days 00:00:00.453671,relu,512.0,0.029133955052801898,26.0,,,55.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-26 00:07:23.750865,2026-05-26 00:07:23.831084,0 days 00:00:00.080219,,,0.0010322851929145003,,scale,,,,OCSVM,,0.026920216985938796,COMPLETE
11,0.2961672473867596,2026-05-26 00:07:23.831153,2026-05-26 00:07:23.881107,0 days 00:00:00.049954,,,0.004915963769370817,,scale,,,,OCSVM,,0.006445459956128235,COMPLETE
12,0.2992957746478873,2026-05-26 00:07:23.881167,2026-05-26 00:07:23.931699,0 days 00:00:00.050532,,,0.0038216077946379894,,scale,,,,OCSVM,,0.001144537861838645,COMPLETE
13,0.14814814814814814,2026-05-26 00:07:23.931763,2026-05-26 00:07:23.985877,0 days 00:00:00.054114,,,0.002039975194106291,,scale,,,,OCSVM,,0.011512801504960559,COMPLETE
14,0.36764705882352944,2026-05-26 00:07:23.985954,2026-05-26 00:07:24.034237,0 days 00:00:00.048283,,,0.009116193748576387,,scale,,,,OCSVM,,0.004541881310134269,COMPLETE
15,0.07911392405063292,2026-05-26 00:07:24.034299,2026-05-26 00:07:25.895835,0 days 00:00:01.861536,leaky_relu,128.0,0.011749204652460425,52.0,,,18.0,0.0032095843081439003,AE,3.0,,COMPLETE
16,0.3333333333333333,2026-05-26 00:07:25.895920,2026-05-26 00:07:26.334149,0 days 00:00:00.438229,,,0.010611621964528029,,scale,,,,OCSVM,,0.19932553932270766,COMPLETE
17,0.16544117647058823,2026-05-26 00:07:26.334256,2026-05-26 00:07:26.385372,0 days 00:00:00.051116,,,0.0022668312815161975,,scale,,,,OCSVM,,0.0014832018507671973,COMPLETE
18,0.21702838063439064,2026-05-26 00:07:26.385452,2026-05-26 00:07:27.426054,0 days 00:00:01.040602,leaky_relu,512.0,0.056482046882072846,96.0,,,47.0,0.0011541122764556343,AE,2.0,,COMPLETE
19,0.2572347266881029,2026-05-26 00:07:27.426142,2026-05-26 00:07:29.049332,0 days 00:00:01.623190,elu,256.0,0.009534416580795329,44.0,,,60.0,0.001438669634454045,VAE,2.0,,COMPLETE
20,0.2653927813163482,2026-05-26 00:07:29.049418,2026-05-26 00:07:29.104628,0 days 00:00:00.055210,,,0.03323452816705157,,scale,,,,OCSVM,,0.010898114842472018,COMPLETE
21,0.3412969283276451,2026-05-26 00:07:29.104698,2026-05-26 00:07:29.155806,0 days 00:00:00.051108,,,0.005405543460220417,,scale,,,,OCSVM,,0.004220608424835447,COMPLETE
22,0.23465703971119134,2026-05-26 00:07:29.155875,2026-05-26 00:07:29.206546,0 days 00:00:00.050671,,,0.002934347904706621,,scale,,,,OCSVM,,0.00594037864336173,COMPLETE
23,0.3374233128834356,2026-05-26 00:07:29.206615,2026-05-26 00:07:29.261671,0 days 00:00:00.055056,,,0.008052993190373873,,scale,,,,OCSVM,,0.0024741819178420955,COMPLETE
24,0.34153005464480873,2026-05-26 00:07:29.261771,2026-05-26 00:07:29.329825,0 days 00:00:00.068054,,,0.014304437782960418,,scale,,,,OCSVM,,0.020896650201621236,COMPLETE
