number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.035211267605633804,2026-05-26 00:07:47.347798,2026-05-26 00:07:49.516832,0 days 00:00:02.169034,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.030303030303030304,2026-05-26 00:07:49.516913,2026-05-26 00:07:49.552109,0 days 00:00:00.035196,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.02835538752362949,2026-05-26 00:07:49.552156,2026-05-26 00:07:49.561275,0 days 00:00:00.009119,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.032679738562091505,2026-05-26 00:07:49.561325,2026-05-26 00:07:50.673022,0 days 00:00:01.111697,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.022026431718061675,2026-05-26 00:07:50.673106,2026-05-26 00:07:50.783355,0 days 00:00:00.110249,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-26 00:07:50.783434,2026-05-26 00:07:50.817560,0 days 00:00:00.034126,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.01059322033898305,2026-05-26 00:07:50.817608,2026-05-26 00:07:50.832279,0 days 00:00:00.014671,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-26 00:07:50.832327,2026-05-26 00:07:52.028213,0 days 00:00:01.195886,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.03968253968253968,2026-05-26 00:07:52.028293,2026-05-26 00:07:52.134666,0 days 00:00:00.106373,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.01639344262295082,2026-05-26 00:07:52.134729,2026-05-26 00:07:52.354052,0 days 00:00:00.219323,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-26 00:07:52.354132,2026-05-26 00:07:52.593294,0 days 00:00:00.239162,,,0.0015200809077270817,,float,0.012435961311605835,,,OCSVM,,0.13357624993799852,COMPLETE
11,0.0,2026-05-26 00:07:52.593362,2026-05-26 00:07:55.423063,0 days 00:00:02.829701,leaky_relu,128.0,0.0025776795104195563,96.0,,,4.0,0.002272519400606342,VAE,2.0,,COMPLETE
12,0.03003003003003003,2026-05-26 00:07:55.423145,2026-05-26 00:07:57.331785,0 days 00:00:01.908640,tanh,128.0,0.033599155452551495,61.0,,,5.0,0.0001036400945154432,VAE,2.0,,COMPLETE
13,0.026041666666666668,2026-05-26 00:07:57.331866,2026-05-26 00:08:01.237161,0 days 00:00:03.905295,tanh,128.0,0.014388365731958092,100.0,,,8.0,0.001081440662876616,VAE,3.0,,COMPLETE
14,0.022354694485842028,2026-05-26 00:08:01.237241,2026-05-26 00:08:02.231699,0 days 00:00:00.994458,leaky_relu,128.0,0.19932553932270766,75.0,,,7.0,0.0006337411963587618,AE,1.0,,COMPLETE
15,0.02835538752362949,2026-05-26 00:08:02.231780,2026-05-26 00:08:02.354039,0 days 00:00:00.122259,,,0.06486866908748237,,float,0.9380181511872643,,,OCSVM,,0.06099154269667476,COMPLETE
16,0.0,2026-05-26 00:08:02.354111,2026-05-26 00:08:03.999732,0 days 00:00:01.645621,elu,128.0,0.0047539953061380355,50.0,,,12.0,0.0016333036925619449,VAE,2.0,,COMPLETE
17,0.019011406844106463,2026-05-26 00:08:03.999818,2026-05-26 00:08:05.020788,0 days 00:00:01.020970,tanh,256.0,0.024756480266707015,83.0,,,7.0,0.004524540905246319,VAE,1.0,,COMPLETE
18,0.022988505747126436,2026-05-26 00:08:05.020872,2026-05-26 00:08:05.074086,0 days 00:00:00.053214,,,0.048241996252275175,,float,0.021414065978503417,,,OCSVM,,0.02662043931531766,COMPLETE
19,0.02631578947368421,2026-05-26 00:08:05.074138,2026-05-26 00:08:05.397377,0 days 00:00:00.323239,tanh,512.0,0.10325091566144876,42.0,,,10.0,0.00012007979948201192,AE,2.0,,COMPLETE
20,0.0,2026-05-26 00:08:05.397455,2026-05-26 00:08:05.450969,0 days 00:00:00.053514,,,0.011696555180743218,,scale,,,,OCSVM,,0.016614836299486343,COMPLETE
21,0.02306805074971165,2026-05-26 00:08:05.451037,2026-05-26 00:08:06.585747,0 days 00:00:01.134710,elu,256.0,0.12610980221607218,63.0,,,13.0,0.00021320308042361002,AE,3.0,,COMPLETE
22,0.02364066193853428,2026-05-26 00:08:06.585830,2026-05-26 00:08:07.446503,0 days 00:00:00.860673,elu,256.0,0.19096710410386586,48.0,,,13.0,0.00021835495862917631,AE,3.0,,COMPLETE
23,0.04081632653061224,2026-05-26 00:08:07.446587,2026-05-26 00:08:08.539541,0 days 00:00:01.092954,elu,256.0,0.018532075463170723,67.0,,,9.0,0.00014602272025858925,AE,3.0,,COMPLETE
24,0.021551724137931036,2026-05-26 00:08:08.539626,2026-05-26 00:08:10.405188,0 days 00:00:01.865562,elu,128.0,0.018461652225002147,86.0,,,8.0,0.00041600355787998615,AE,2.0,,COMPLETE
