number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.04484304932735426,2026-05-26 00:09:11.197949,2026-05-26 00:09:13.379331,0 days 00:00:02.181382,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-26 00:09:13.379414,2026-05-26 00:09:13.400958,0 days 00:00:00.021544,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.031055900621118012,2026-05-26 00:09:13.401016,2026-05-26 00:09:13.410147,0 days 00:00:00.009131,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.038058991436726926,2026-05-26 00:09:13.410195,2026-05-26 00:09:14.511630,0 days 00:00:01.101435,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.054945054945054944,2026-05-26 00:09:14.511716,2026-05-26 00:09:14.619059,0 days 00:00:00.107343,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-26 00:09:14.619132,2026-05-26 00:09:14.639800,0 days 00:00:00.020668,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.01179245283018868,2026-05-26 00:09:14.639846,2026-05-26 00:09:14.649462,0 days 00:00:00.009616,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.04310344827586207,2026-05-26 00:09:14.649508,2026-05-26 00:09:15.829168,0 days 00:00:01.179660,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.04975124378109453,2026-05-26 00:09:15.829255,2026-05-26 00:09:15.936127,0 days 00:00:00.106872,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.040160642570281124,2026-05-26 00:09:15.936189,2026-05-26 00:09:16.152191,0 days 00:00:00.216002,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-26 00:09:16.152274,2026-05-26 00:09:16.297136,0 days 00:00:00.144862,leaky_relu,512.0,0.0015200809077270817,21.0,,,16.0,0.006536264082965736,AE,2.0,,COMPLETE
11,0.04807692307692308,2026-05-26 00:09:16.297210,2026-05-26 00:09:16.649346,0 days 00:00:00.352136,tanh,512.0,0.002511647498913336,46.0,,,11.0,0.009634050380006358,AE,2.0,,COMPLETE
12,0.05847953216374269,2026-05-26 00:09:16.649427,2026-05-26 00:09:17.915130,0 days 00:00:01.265703,tanh,128.0,0.01883046733204992,45.0,,,4.0,0.002393719194281379,AE,3.0,,COMPLETE
13,0.04424778761061947,2026-05-26 00:09:17.915217,2026-05-26 00:09:19.104116,0 days 00:00:01.188899,tanh,128.0,0.004447043540860245,41.0,,,4.0,0.0021601863672613586,AE,3.0,,COMPLETE
14,0.06191950464396285,2026-05-26 00:09:19.104200,2026-05-26 00:09:20.200667,0 days 00:00:01.096467,tanh,128.0,0.041327513893928226,38.0,,,8.0,0.0022747465420843624,AE,3.0,,COMPLETE
15,0.04043126684636118,2026-05-26 00:09:20.200746,2026-05-26 00:09:21.697740,0 days 00:00:01.496994,tanh,128.0,0.053639538870631255,51.0,,,7.0,0.0017922004877847064,AE,3.0,,COMPLETE
16,0.020964360587002098,2026-05-26 00:09:21.697822,2026-05-26 00:09:22.758335,0 days 00:00:01.060513,leaky_relu,128.0,0.1319803986567535,38.0,,,8.0,0.0020750673106642724,AE,3.0,,COMPLETE
17,0.049342105263157895,2026-05-26 00:09:22.758423,2026-05-26 00:09:24.193132,0 days 00:00:01.434709,elu,128.0,0.03916056951835826,70.0,,,4.0,0.0006885819793349873,AE,2.0,,COMPLETE
18,0.032679738562091505,2026-05-26 00:09:24.193214,2026-05-26 00:09:25.961949,0 days 00:00:01.768735,tanh,128.0,0.011844169354982326,58.0,,,10.0,0.0036217735763734147,AE,3.0,,COMPLETE
19,0.023112480739599383,2026-05-26 00:09:25.962034,2026-05-26 00:09:27.001106,0 days 00:00:01.039072,tanh,128.0,0.0876646641420103,35.0,,,6.0,0.001006732365150466,AE,3.0,,COMPLETE
20,0.03968253968253968,2026-05-26 00:09:27.001190,2026-05-26 00:09:29.468509,0 days 00:00:02.467319,tanh,128.0,0.03389329263110904,75.0,,,12.0,0.0034877904187635405,VAE,2.0,,COMPLETE
21,0.025,2026-05-26 00:09:29.468591,2026-05-26 00:09:29.597159,0 days 00:00:00.128568,tanh,512.0,0.01685400312254432,32.0,,,8.0,0.0048847383452784625,AE,1.0,,COMPLETE
22,0.07194244604316546,2026-05-26 00:09:29.597232,2026-05-26 00:09:29.820446,0 days 00:00:00.223214,tanh,512.0,0.01262864563034112,29.0,,,12.0,0.0012122699334404265,AE,2.0,,COMPLETE
23,0.0364963503649635,2026-05-26 00:09:29.820528,2026-05-26 00:09:30.511335,0 days 00:00:00.690807,tanh,256.0,0.008778496727424206,49.0,,,13.0,0.0013372319152557713,AE,2.0,,COMPLETE
24,0.0,2026-05-26 00:09:30.511419,2026-05-26 00:09:30.799141,0 days 00:00:00.287722,relu,512.0,0.0038735734899136413,41.0,,,9.0,0.000799031607778435,AE,2.0,,COMPLETE
