number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-26 00:10:42.756967,2026-05-26 00:10:44.884704,0 days 00:00:02.127737,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-26 00:10:44.884784,2026-05-26 00:10:44.902993,0 days 00:00:00.018209,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.0,2026-05-26 00:10:44.903038,2026-05-26 00:10:44.911841,0 days 00:00:00.008803,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.0,2026-05-26 00:10:44.911886,2026-05-26 00:10:46.003121,0 days 00:00:01.091235,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-26 00:10:46.003203,2026-05-26 00:10:46.114567,0 days 00:00:00.111364,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-26 00:10:46.114642,2026-05-26 00:10:46.131560,0 days 00:00:00.016918,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.0,2026-05-26 00:10:46.131602,2026-05-26 00:10:46.145303,0 days 00:00:00.013701,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-26 00:10:46.145363,2026-05-26 00:10:47.306830,0 days 00:00:01.161467,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-26 00:10:47.306911,2026-05-26 00:10:47.413598,0 days 00:00:00.106687,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.0,2026-05-26 00:10:47.413656,2026-05-26 00:10:47.623388,0 days 00:00:00.209732,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-26 00:10:47.623461,2026-05-26 00:10:50.435788,0 days 00:00:02.812327,leaky_relu,128.0,0.0015200809077270817,98.0,,,4.0,0.0024015639024822476,VAE,2.0,,COMPLETE
11,0.0,2026-05-26 00:10:50.435872,2026-05-26 00:10:53.421183,0 days 00:00:02.985311,tanh,128.0,0.005159715411023053,100.0,,,5.0,0.00012699870393086127,VAE,2.0,,COMPLETE
12,0.0,2026-05-26 00:10:53.421263,2026-05-26 00:10:53.477823,0 days 00:00:00.056560,,,0.0022867144285208295,,scale,,,,OCSVM,,0.02683234970351457,COMPLETE
13,0.0,2026-05-26 00:10:53.477878,2026-05-26 00:10:55.742870,0 days 00:00:02.264992,tanh,128.0,0.04561848033770431,58.0,,,8.0,0.0008883116653692037,VAE,3.0,,COMPLETE
14,0.0,2026-05-26 00:10:55.742948,2026-05-26 00:10:56.724468,0 days 00:00:00.981520,elu,128.0,0.010015450800588988,76.0,,,7.0,0.0021223297272287135,AE,1.0,,COMPLETE
15,0.0,2026-05-26 00:10:56.724550,2026-05-26 00:10:56.755971,0 days 00:00:00.031421,,,0.0033388848984458475,,scale,,,,OCSVM,,0.011570174807466898,COMPLETE
16,0.0,2026-05-26 00:10:56.756020,2026-05-26 00:10:58.199350,0 days 00:00:01.443330,leaky_relu,128.0,0.13547603010908826,44.0,,,12.0,0.0005887056496896425,VAE,2.0,,COMPLETE
17,0.0,2026-05-26 00:10:58.199435,2026-05-26 00:10:59.207453,0 days 00:00:01.008018,tanh,256.0,0.012240343069831995,82.0,,,7.0,0.009006020499939716,VAE,1.0,,COMPLETE
18,0.0,2026-05-26 00:10:59.207535,2026-05-26 00:10:59.227332,0 days 00:00:00.019797,,,0.027570205438493655,,scale,,,,OCSVM,,0.001046974342802424,COMPLETE
19,0.0,2026-05-26 00:10:59.227382,2026-05-26 00:10:59.542262,0 days 00:00:00.314880,tanh,512.0,0.0011551324817722503,42.0,,,10.0,0.00011152977421811848,AE,2.0,,COMPLETE
20,0.0,2026-05-26 00:10:59.542346,2026-05-26 00:10:59.879524,0 days 00:00:00.337178,,,0.003746225454233727,,scale,,,,OCSVM,,0.1956247160882308,COMPLETE
21,0.0,2026-05-26 00:10:59.879589,2026-05-26 00:10:59.893652,0 days 00:00:00.014063,,,0.07009406562548401,,float,0.0010908183759204995,,,OCSVM,,0.004352722824196845,COMPLETE
22,0.0,2026-05-26 00:10:59.893699,2026-05-26 00:10:59.902661,0 days 00:00:00.008962,,,0.08446060500050945,,float,0.0010540560555328167,,,OCSVM,,0.0014690717600596343,COMPLETE
23,0.0,2026-05-26 00:10:59.902706,2026-05-26 00:10:59.925447,0 days 00:00:00.022741,,,0.035431616357050985,,float,0.015395515873162114,,,OCSVM,,0.009856386369178422,COMPLETE
24,0.0,2026-05-26 00:10:59.925490,2026-05-26 00:10:59.946713,0 days 00:00:00.021223,,,0.10401254673612716,,float,1.3615388971258178,,,OCSVM,,0.0031965778698372868,COMPLETE
