number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.04149377593360996,2026-05-26 00:11:23.887505,2026-05-26 00:11:26.020057,0 days 00:00:02.132552,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.03125,2026-05-26 00:11:26.020137,2026-05-26 00:11:26.037690,0 days 00:00:00.017553,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.030927835051546393,2026-05-26 00:11:26.037735,2026-05-26 00:11:26.046668,0 days 00:00:00.008933,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.018518518518518517,2026-05-26 00:11:26.046713,2026-05-26 00:11:27.131312,0 days 00:00:01.084599,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.05128205128205128,2026-05-26 00:11:27.131393,2026-05-26 00:11:27.237866,0 days 00:00:00.106473,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.03496503496503497,2026-05-26 00:11:27.237947,2026-05-26 00:11:27.253959,0 days 00:00:00.016012,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.07462686567164178,2026-05-26 00:11:27.254001,2026-05-26 00:11:27.263562,0 days 00:00:00.009561,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.07042253521126761,2026-05-26 00:11:27.263606,2026-05-26 00:11:28.419765,0 days 00:00:01.156159,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.047619047619047616,2026-05-26 00:11:28.419846,2026-05-26 00:11:28.528766,0 days 00:00:00.108920,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.03663003663003663,2026-05-26 00:11:28.528829,2026-05-26 00:11:28.738591,0 days 00:00:00.209762,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.04424778761061947,2026-05-26 00:11:28.738670,2026-05-26 00:11:28.769091,0 days 00:00:00.030421,,,0.0010322851929145003,,float,1.6477393920512946,,,OCSVM,,0.0010407983813368587,COMPLETE
11,0.03787878787878788,2026-05-26 00:11:28.769146,2026-05-26 00:11:30.365059,0 days 00:00:01.595913,relu,256.0,0.0033171735644383572,89.0,,,12.0,0.0015168735523025366,VAE,2.0,,COMPLETE
12,0.019762845849802372,2026-05-26 00:11:30.365141,2026-05-26 00:11:31.481117,0 days 00:00:01.115976,leaky_relu,256.0,0.07003797309320725,68.0,,,8.0,0.0007724580660583059,VAE,2.0,,COMPLETE
13,0.03968253968253968,2026-05-26 00:11:31.481201,2026-05-26 00:11:34.396480,0 days 00:00:02.915279,relu,128.0,0.003557659699256351,72.0,,,16.0,0.0008699994420655201,VAE,3.0,,COMPLETE
14,0.018532246108228317,2026-05-26 00:11:34.396560,2026-05-26 00:11:34.718014,0 days 00:00:00.321454,leaky_relu,256.0,0.19932553932270766,48.0,,,4.0,0.003944479816467623,AE,1.0,,COMPLETE
15,0.06793478260869565,2026-05-26 00:11:34.718099,2026-05-26 00:11:34.776829,0 days 00:00:00.058730,,,0.05087305324899591,,float,0.510497002656256,,,OCSVM,,0.028564850779092904,COMPLETE
16,0.034722222222222224,2026-05-26 00:11:34.776883,2026-05-26 00:11:36.286772,0 days 00:00:01.509889,elu,256.0,0.0047539953061380355,82.0,,,12.0,0.00038193519644149634,VAE,2.0,,COMPLETE
17,0.041666666666666664,2026-05-26 00:11:36.286857,2026-05-26 00:11:37.346254,0 days 00:00:01.059397,relu,128.0,0.0020937787710280822,45.0,,,13.0,0.001959469556273393,VAE,1.0,,COMPLETE
18,0.032679738562091505,2026-05-26 00:11:37.346335,2026-05-26 00:11:37.647591,0 days 00:00:00.301256,,,0.00968369666000805,,float,0.08708923369150019,,,OCSVM,,0.1654913225285217,COMPLETE
19,0.06944444444444445,2026-05-26 00:11:37.647658,2026-05-26 00:11:38.192864,0 days 00:00:00.545206,relu,512.0,0.10077229415734663,83.0,,,10.0,0.0004518363588745507,AE,2.0,,COMPLETE
20,0.03731343283582089,2026-05-26 00:11:38.192944,2026-05-26 00:11:38.220136,0 days 00:00:00.027192,,,0.04395918154050658,,scale,,,,OCSVM,,0.010407558230278394,COMPLETE
21,0.07006369426751592,2026-05-26 00:11:38.220182,2026-05-26 00:11:38.746241,0 days 00:00:00.526059,relu,512.0,0.11120359871019317,82.0,,,9.0,0.0004145745481413646,AE,2.0,,COMPLETE
22,0.012690355329949238,2026-05-26 00:11:38.746324,2026-05-26 00:11:39.573701,0 days 00:00:00.827377,relu,512.0,0.10593850363656435,99.0,,,8.0,0.0005195722138551611,AE,3.0,,COMPLETE
23,0.11551155115511551,2026-05-26 00:11:39.573788,2026-05-26 00:11:40.046164,0 days 00:00:00.472376,relu,512.0,0.03345052257280107,73.0,,,9.0,0.00022553183838975053,AE,2.0,,COMPLETE
24,0.016611295681063124,2026-05-26 00:11:40.046246,2026-05-26 00:11:40.447499,0 days 00:00:00.401253,relu,256.0,0.031765441287853025,60.0,,,6.0,0.00020288267104353718,AE,1.0,,COMPLETE
