number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.5208333333333334,2026-05-26 00:11:03.066490,2026-05-26 00:11:05.228336,0 days 00:00:02.161846,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.7371794871794872,2026-05-26 00:11:05.228417,2026-05-26 00:11:05.288260,0 days 00:00:00.059843,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.24509803921568626,2026-05-26 00:11:05.288311,2026-05-26 00:11:05.297423,0 days 00:00:00.009112,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.10595358224016145,2026-05-26 00:11:05.297476,2026-05-26 00:11:06.391080,0 days 00:00:01.093604,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.6510416666666666,2026-05-26 00:11:06.391161,2026-05-26 00:11:06.497968,0 days 00:00:00.106807,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.8088235294117647,2026-05-26 00:11:06.498042,2026-05-26 00:11:06.540965,0 days 00:00:00.042923,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.21052631578947367,2026-05-26 00:11:06.541008,2026-05-26 00:11:06.580192,0 days 00:00:00.039184,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.9057971014492754,2026-05-26 00:11:06.580244,2026-05-26 00:11:07.773139,0 days 00:00:01.192895,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.6127450980392157,2026-05-26 00:11:07.773219,2026-05-26 00:11:07.879077,0 days 00:00:00.105858,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.45787545787545786,2026-05-26 00:11:07.879135,2026-05-26 00:11:08.089645,0 days 00:00:00.210510,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.45454545454545453,2026-05-26 00:11:08.089721,2026-05-26 00:11:09.618491,0 days 00:00:01.528770,leaky_relu,256.0,0.001454180104792578,86.0,,,12.0,0.0014138916628611978,VAE,2.0,,COMPLETE
11,0.45454545454545453,2026-05-26 00:11:09.618573,2026-05-26 00:11:10.714163,0 days 00:00:01.095590,relu,256.0,0.0038462545758740515,67.0,,,8.0,0.0008339253963206758,VAE,2.0,,COMPLETE
12,0.946969696969697,2026-05-26 00:11:10.714250,2026-05-26 00:11:10.795915,0 days 00:00:00.081665,,,0.005747473954395584,,scale,,,,OCSVM,,0.02588682656074846,COMPLETE
13,0.7203389830508474,2026-05-26 00:11:10.795971,2026-05-26 00:11:13.448049,0 days 00:00:02.652078,relu,128.0,0.0031752537980071945,65.0,,,15.0,0.0007010478624133058,VAE,3.0,,COMPLETE
14,0.37037037037037035,2026-05-26 00:11:13.448133,2026-05-26 00:11:13.756701,0 days 00:00:00.308568,elu,256.0,0.001042073374139197,45.0,,,4.0,0.0027955059184007138,AE,1.0,,COMPLETE
15,0.967741935483871,2026-05-26 00:11:13.756784,2026-05-26 00:11:13.855659,0 days 00:00:00.098875,,,0.0035877582890416868,,scale,,,,OCSVM,,0.045633618306423394,COMPLETE
16,0.7264957264957265,2026-05-26 00:11:13.855717,2026-05-26 00:11:13.952010,0 days 00:00:00.096293,,,0.0023339541489879856,,scale,,,,OCSVM,,0.04576509133382033,COMPLETE
17,0.9328358208955224,2026-05-26 00:11:13.952057,2026-05-26 00:11:14.273399,0 days 00:00:00.321342,,,0.005691291244065259,,scale,,,,OCSVM,,0.1911524693794997,COMPLETE
18,0.7264957264957265,2026-05-26 00:11:14.273464,2026-05-26 00:11:14.338571,0 days 00:00:00.065107,,,0.002212977095521214,,scale,,,,OCSVM,,0.019635077173583062,COMPLETE
19,0.8169934640522876,2026-05-26 00:11:14.338621,2026-05-26 00:11:14.394056,0 days 00:00:00.055435,,,0.010356781261076396,,scale,,,,OCSVM,,0.01760505478132432,COMPLETE
20,0.9920634920634921,2026-05-26 00:11:14.394102,2026-05-26 00:11:14.499919,0 days 00:00:00.105817,,,0.004231372573814027,,scale,,,,OCSVM,,0.05720126915323309,COMPLETE
21,0.967741935483871,2026-05-26 00:11:14.499967,2026-05-26 00:11:14.610007,0 days 00:00:00.110040,,,0.0038143009875148707,,scale,,,,OCSVM,,0.057745921905634635,COMPLETE
22,0.967741935483871,2026-05-26 00:11:14.610053,2026-05-26 00:11:14.812283,0 days 00:00:00.202230,,,0.003827293690921247,,scale,,,,OCSVM,,0.11252177337950106,COMPLETE
23,0.7264957264957265,2026-05-26 00:11:14.812336,2026-05-26 00:11:14.916290,0 days 00:00:00.103954,,,0.0020035491959269,,scale,,,,OCSVM,,0.05587718169168736,COMPLETE
24,0.7485029940119761,2026-05-26 00:11:14.916342,2026-05-26 00:11:15.079953,0 days 00:00:00.163611,,,0.012462630166854886,,scale,,,,OCSVM,,0.09168596720560278,COMPLETE
