number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-26 00:12:12.524651,2026-05-26 00:12:14.663853,0 days 00:00:02.139202,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.03496503496503497,2026-05-26 00:12:14.663933,2026-05-26 00:12:14.710646,0 days 00:00:00.046713,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.0,2026-05-26 00:12:14.710694,2026-05-26 00:12:14.719845,0 days 00:00:00.009151,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.013966480446927373,2026-05-26 00:12:14.719893,2026-05-26 00:12:15.814235,0 days 00:00:01.094342,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-26 00:12:15.814314,2026-05-26 00:12:15.923354,0 days 00:00:00.109040,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-26 00:12:15.923428,2026-05-26 00:12:15.974016,0 days 00:00:00.050588,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.021645021645021644,2026-05-26 00:12:15.974070,2026-05-26 00:12:15.985123,0 days 00:00:00.011053,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-26 00:12:15.985176,2026-05-26 00:12:17.147556,0 days 00:00:01.162380,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-26 00:12:17.147641,2026-05-26 00:12:17.255017,0 days 00:00:00.107376,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.0,2026-05-26 00:12:17.255068,2026-05-26 00:12:17.469354,0 days 00:00:00.214286,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-26 00:12:17.469436,2026-05-26 00:12:17.531136,0 days 00:00:00.061700,,,0.0010322851929145003,,scale,,,,OCSVM,,0.026920216985938796,COMPLETE
11,0.0,2026-05-26 00:12:17.531187,2026-05-26 00:12:17.570495,0 days 00:00:00.039308,,,0.004915963769370817,,scale,,,,OCSVM,,0.0010861357327938065,COMPLETE
12,0.015772870662460567,2026-05-26 00:12:17.570538,2026-05-26 00:12:17.620102,0 days 00:00:00.049564,,,0.09022035068963981,,float,1.0532910810101639,,,OCSVM,,0.007047437431660886,COMPLETE
13,0.0,2026-05-26 00:12:17.620153,2026-05-26 00:12:17.646705,0 days 00:00:00.026552,,,0.0021171002228790284,,float,0.44311409222652776,,,OCSVM,,0.0016152781872216697,COMPLETE
14,0.02531645569620253,2026-05-26 00:12:17.646749,2026-05-26 00:12:17.696633,0 days 00:00:00.049884,,,0.052022858334036734,,scale,,,,OCSVM,,0.011908505528716794,COMPLETE
15,0.0,2026-05-26 00:12:17.696672,2026-05-26 00:12:19.102360,0 days 00:00:01.405688,leaky_relu,128.0,0.03971951029153711,52.0,,,4.0,0.0027517633650320913,AE,3.0,,COMPLETE
16,0.0,2026-05-26 00:12:19.102439,2026-05-26 00:12:19.151675,0 days 00:00:00.049236,,,0.009106595150548904,,scale,,,,OCSVM,,0.014645783421561967,COMPLETE
17,0.022556390977443608,2026-05-26 00:12:19.151728,2026-05-26 00:12:19.205342,0 days 00:00:00.053614,,,0.1969383643625694,,scale,,,,OCSVM,,0.011731695050114769,COMPLETE
18,0.0,2026-05-26 00:12:19.205396,2026-05-26 00:12:19.982594,0 days 00:00:00.777198,leaky_relu,256.0,0.0030493299975092934,45.0,,,10.0,0.0011572206378451695,VAE,2.0,,COMPLETE
19,0.0,2026-05-26 00:12:19.982677,2026-05-26 00:12:20.626944,0 days 00:00:00.644267,elu,512.0,0.014462714859454532,100.0,,,8.0,0.009096015328440258,AE,2.0,,COMPLETE
20,0.0,2026-05-26 00:12:20.627035,2026-05-26 00:12:20.885683,0 days 00:00:00.258648,,,0.04213399224717501,,scale,,,,OCSVM,,0.1444721233002948,COMPLETE
21,0.022104332449160036,2026-05-26 00:12:20.885751,2026-05-26 00:12:20.935211,0 days 00:00:00.049460,,,0.16683177200144844,,scale,,,,OCSVM,,0.012371075328748808,COMPLETE
22,0.014144271570014143,2026-05-26 00:12:20.935295,2026-05-26 00:12:20.990283,0 days 00:00:00.054988,,,0.10360308630402204,,scale,,,,OCSVM,,0.010086104973076583,COMPLETE
23,0.0,2026-05-26 00:12:20.990340,2026-05-26 00:12:21.057569,0 days 00:00:00.067229,,,0.010924514763320816,,scale,,,,OCSVM,,0.03147682004889627,COMPLETE
24,0.01182033096926714,2026-05-26 00:12:21.057625,2026-05-26 00:12:21.111750,0 days 00:00:00.054125,,,0.18128835632859402,,scale,,,,OCSVM,,0.006391204937181748,COMPLETE
