number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.02092050209205021,2026-05-26 00:13:34.777746,2026-05-26 00:13:36.924615,0 days 00:00:02.146869,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.07194244604316546,2026-05-26 00:13:36.924696,2026-05-26 00:13:36.941100,0 days 00:00:00.016404,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.04024144869215292,2026-05-26 00:13:36.941145,2026-05-26 00:13:36.950204,0 days 00:00:00.009059,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.017905102954341987,2026-05-26 00:13:36.950250,2026-05-26 00:13:38.041146,0 days 00:00:01.090896,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0970873786407767,2026-05-26 00:13:38.041227,2026-05-26 00:13:38.150405,0 days 00:00:00.109178,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.04807692307692308,2026-05-26 00:13:38.150484,2026-05-26 00:13:38.167893,0 days 00:00:00.017409,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.04310344827586207,2026-05-26 00:13:38.167936,2026-05-26 00:13:38.177247,0 days 00:00:00.009311,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-26 00:13:38.177292,2026-05-26 00:13:39.344865,0 days 00:00:01.167573,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.07177033492822966,2026-05-26 00:13:39.344947,2026-05-26 00:13:39.455012,0 days 00:00:00.110065,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.01845018450184502,2026-05-26 00:13:39.455075,2026-05-26 00:13:39.665128,0 days 00:00:00.210053,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.10638297872340426,2026-05-26 00:13:39.665199,2026-05-26 00:13:39.809144,0 days 00:00:00.143945,leaky_relu,512.0,0.0015200809077270817,21.0,,,16.0,0.006536264082965736,AE,2.0,,COMPLETE
11,0.10638297872340426,2026-05-26 00:13:39.809217,2026-05-26 00:13:39.953235,0 days 00:00:00.144018,leaky_relu,512.0,0.0011466609615871156,21.0,,,16.0,0.009749648411637574,AE,2.0,,COMPLETE
12,0.10638297872340426,2026-05-26 00:13:39.953309,2026-05-26 00:13:40.106197,0 days 00:00:00.152888,leaky_relu,512.0,0.001023911791239242,22.0,,,12.0,0.009942672296441588,AE,2.0,,COMPLETE
13,0.10638297872340426,2026-05-26 00:13:40.106271,2026-05-26 00:13:40.410399,0 days 00:00:00.304128,leaky_relu,512.0,0.0011947640012892689,46.0,,,10.0,0.0025149512447150803,AE,2.0,,COMPLETE
14,0.09433962264150944,2026-05-26 00:13:40.410480,2026-05-26 00:13:40.803942,0 days 00:00:00.393462,leaky_relu,512.0,0.002769823225800141,42.0,,,16.0,0.0029614592776475513,AE,3.0,,COMPLETE
15,0.0,2026-05-26 00:13:40.804025,2026-05-26 00:13:41.696496,0 days 00:00:00.892471,leaky_relu,128.0,0.0023557549209903914,40.0,,,13.0,0.0032843333783759542,AE,2.0,,COMPLETE
16,0.14018691588785046,2026-05-26 00:13:41.696578,2026-05-26 00:13:41.839126,0 days 00:00:00.142548,leaky_relu,512.0,0.0027394476959865773,20.0,,,12.0,0.0014622504526962926,AE,2.0,,COMPLETE
17,0.0,2026-05-26 00:13:41.839198,2026-05-26 00:13:42.354779,0 days 00:00:00.515581,elu,512.0,0.0031203827193851193,57.0,,,8.0,0.0008731953071078054,AE,3.0,,COMPLETE
18,0.14018691588785046,2026-05-26 00:13:42.354864,2026-05-26 00:13:42.593183,0 days 00:00:00.238319,leaky_relu,512.0,0.004142038868593414,35.0,,,12.0,0.0011931855070408972,AE,2.0,,COMPLETE
19,0.14018691588785046,2026-05-26 00:13:42.593261,2026-05-26 00:13:43.372465,0 days 00:00:00.779204,leaky_relu,128.0,0.004741060594013059,36.0,,,12.0,0.001197002265377218,AE,2.0,,COMPLETE
20,0.04424778761061947,2026-05-26 00:13:43.372550,2026-05-26 00:13:44.371066,0 days 00:00:00.998516,leaky_relu,256.0,0.004257024806141471,51.0,,,4.0,0.0011655646385750108,VAE,3.0,,COMPLETE
21,0.14018691588785046,2026-05-26 00:13:44.371149,2026-05-26 00:13:45.129228,0 days 00:00:00.758079,leaky_relu,128.0,0.004856957085971369,35.0,,,12.0,0.001109609086009352,AE,2.0,,COMPLETE
22,0.07692307692307693,2026-05-26 00:13:45.129307,2026-05-26 00:13:45.861312,0 days 00:00:00.732005,leaky_relu,128.0,0.011559458038204526,34.0,,,11.0,0.0006774433951326434,AE,2.0,,COMPLETE
23,0.09433962264150944,2026-05-26 00:13:45.861394,2026-05-26 00:13:47.346590,0 days 00:00:01.485196,leaky_relu,128.0,0.0019110309518673512,72.0,,,9.0,0.001634837106957266,AE,2.0,,COMPLETE
24,0.08264462809917356,2026-05-26 00:13:47.346673,2026-05-26 00:13:48.083896,0 days 00:00:00.737223,relu,128.0,0.004207363388964049,33.0,,,13.0,0.0017865446736361013,AE,2.0,,COMPLETE
