number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.020491803278688523,2026-05-26 00:14:24.511127,2026-05-26 00:14:26.645724,0 days 00:00:02.134597,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.030120481927710843,2026-05-26 00:14:26.645803,2026-05-26 00:14:26.692163,0 days 00:00:00.046360,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.019417475728155338,2026-05-26 00:14:26.692214,2026-05-26 00:14:26.701463,0 days 00:00:00.009249,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.03277153558052434,2026-05-26 00:14:26.701514,2026-05-26 00:14:27.786155,0 days 00:00:01.084641,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-26 00:14:27.786235,2026-05-26 00:14:27.890926,0 days 00:00:00.104691,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-26 00:14:27.890993,2026-05-26 00:14:27.940136,0 days 00:00:00.049143,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.024154589371980676,2026-05-26 00:14:27.940193,2026-05-26 00:14:27.958474,0 days 00:00:00.018281,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.032679738562091505,2026-05-26 00:14:27.958523,2026-05-26 00:14:29.140813,0 days 00:00:01.182290,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.021645021645021644,2026-05-26 00:14:29.140893,2026-05-26 00:14:29.250874,0 days 00:00:00.109981,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.03389830508474576,2026-05-26 00:14:29.250937,2026-05-26 00:14:29.476068,0 days 00:00:00.225131,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-26 00:14:29.476154,2026-05-26 00:14:29.701446,0 days 00:00:00.225292,leaky_relu,512.0,0.0010322851929145003,21.0,,,9.0,0.0014138916628611978,VAE,2.0,,COMPLETE
11,0.026964560862865947,2026-05-26 00:14:29.701519,2026-05-26 00:14:30.554963,0 days 00:00:00.853444,elu,256.0,0.19054969780007425,50.0,,,11.0,0.00016639581463055765,AE,3.0,,COMPLETE
12,0.01846381093057607,2026-05-26 00:14:30.555042,2026-05-26 00:14:31.438731,0 days 00:00:00.883689,elu,256.0,0.19570535219488722,51.0,,,12.0,0.00044008275954576695,AE,3.0,,COMPLETE
13,0.00992063492063492,2026-05-26 00:14:31.438813,2026-05-26 00:14:31.844857,0 days 00:00:00.406044,relu,512.0,0.06361043304600278,65.0,,,8.0,0.0003468075997388141,AE,2.0,,COMPLETE
14,0.0,2026-05-26 00:14:31.844937,2026-05-26 00:14:33.224268,0 days 00:00:01.379331,relu,128.0,0.0035960452371579777,35.0,,,13.0,0.0008572185712397635,VAE,3.0,,COMPLETE
15,0.030864197530864196,2026-05-26 00:14:33.224350,2026-05-26 00:14:34.158180,0 days 00:00:00.933830,elu,256.0,0.034942496764210317,73.0,,,13.0,0.0002139475715226666,AE,2.0,,COMPLETE
16,0.019011406844106463,2026-05-26 00:14:34.158260,2026-05-26 00:14:34.536020,0 days 00:00:00.377760,leaky_relu,512.0,0.10671668768488286,38.0,,,7.0,0.0014622504526962926,VAE,2.0,,COMPLETE
17,0.0,2026-05-26 00:14:34.536101,2026-05-26 00:14:36.491058,0 days 00:00:01.954957,elu,256.0,0.0023340732932851226,92.0,,,10.0,0.00011335431394085064,VAE,3.0,,COMPLETE
18,0.013927576601671309,2026-05-26 00:14:36.491141,2026-05-26 00:14:36.668804,0 days 00:00:00.177663,relu,512.0,0.03989152484111411,48.0,,,4.0,0.0002790631500274694,AE,1.0,,COMPLETE
19,0.019940179461615155,2026-05-26 00:14:36.668883,2026-05-26 00:14:38.546291,0 days 00:00:01.877408,relu,128.0,0.14554128980686334,83.0,,,14.0,0.0008173405911561139,AE,2.0,,COMPLETE
20,0.02881844380403458,2026-05-26 00:14:38.546374,2026-05-26 00:14:39.899588,0 days 00:00:01.353214,elu,256.0,0.08923321617333442,62.0,,,11.0,0.0030081760693545932,VAE,3.0,,COMPLETE
21,0.029585798816568046,2026-05-26 00:14:39.899672,2026-05-26 00:14:41.182384,0 days 00:00:01.282712,relu,256.0,0.008770506654906224,81.0,,,16.0,0.0004890214556228766,VAE,1.0,,COMPLETE
22,0.0,2026-05-26 00:14:41.182466,2026-05-26 00:14:42.291294,0 days 00:00:01.108828,relu,256.0,0.00436108533609988,73.0,,,15.0,0.0005031578528866114,VAE,1.0,,COMPLETE
23,0.026041666666666668,2026-05-26 00:14:42.291380,2026-05-26 00:14:43.583754,0 days 00:00:01.292374,relu,256.0,0.012761006779502253,87.0,,,14.0,0.00018714467267577138,VAE,1.0,,COMPLETE
24,0.0,2026-05-26 00:14:43.583836,2026-05-26 00:14:44.198938,0 days 00:00:00.615102,relu,512.0,0.005546471644571109,72.0,,,12.0,0.0002790355298944201,VAE,1.0,,COMPLETE
