number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.04524886877828054,2026-05-26 00:15:17.324256,2026-05-26 00:15:19.465082,0 days 00:00:02.140826,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.034013605442176874,2026-05-26 00:15:19.465164,2026-05-26 00:15:19.486583,0 days 00:00:00.021419,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.02044989775051125,2026-05-26 00:15:19.486629,2026-05-26 00:15:19.495537,0 days 00:00:00.008908,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.014866204162537165,2026-05-26 00:15:19.495582,2026-05-26 00:15:20.589782,0 days 00:00:01.094200,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0546448087431694,2026-05-26 00:15:20.589863,2026-05-26 00:15:20.697829,0 days 00:00:00.107966,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.040983606557377046,2026-05-26 00:15:20.697900,2026-05-26 00:15:20.718200,0 days 00:00:00.020300,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.03409090909090909,2026-05-26 00:15:20.718247,2026-05-26 00:15:20.727869,0 days 00:00:00.009622,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.07874015748031496,2026-05-26 00:15:20.727916,2026-05-26 00:15:21.892721,0 days 00:00:01.164805,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.04830917874396135,2026-05-26 00:15:21.892807,2026-05-26 00:15:21.998938,0 days 00:00:00.106131,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.06072874493927125,2026-05-26 00:15:21.999000,2026-05-26 00:15:22.209389,0 days 00:00:00.210389,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-26 00:15:22.209468,2026-05-26 00:15:23.725494,0 days 00:00:01.516026,leaky_relu,256.0,0.001454180104792578,86.0,,,12.0,0.0014138916628611978,VAE,2.0,,COMPLETE
11,0.08849557522123894,2026-05-26 00:15:23.725576,2026-05-26 00:15:23.901368,0 days 00:00:00.175792,relu,512.0,0.003409516149612066,22.0,,,8.0,0.00044345986776480955,VAE,1.0,,COMPLETE
12,0.09345794392523364,2026-05-26 00:15:23.901442,2026-05-26 00:15:25.051203,0 days 00:00:01.149761,relu,256.0,0.0031716673470678675,69.0,,,6.0,0.0007185207399071083,VAE,2.0,,COMPLETE
13,0.04950495049504951,2026-05-26 00:15:25.051285,2026-05-26 00:15:25.574903,0 days 00:00:00.523618,relu,512.0,0.0020909920844634274,53.0,,,6.0,0.0011116579992116113,VAE,2.0,,COMPLETE
14,0.08849557522123894,2026-05-26 00:15:25.574987,2026-05-26 00:15:27.383751,0 days 00:00:01.808764,relu,128.0,0.0035960452371579777,48.0,,,8.0,0.0006923579940218592,VAE,3.0,,COMPLETE
15,0.08849557522123894,2026-05-26 00:15:27.383829,2026-05-26 00:15:28.542355,0 days 00:00:01.158526,relu,256.0,0.003722941044557896,73.0,,,5.0,0.002587556642553065,VAE,2.0,,COMPLETE
16,0.0,2026-05-26 00:15:28.542436,2026-05-26 00:15:28.936813,0 days 00:00:00.394377,leaky_relu,512.0,0.001101495327109453,41.0,,,9.0,0.00039728243335248123,VAE,2.0,,COMPLETE
17,0.04950495049504951,2026-05-26 00:15:28.936893,2026-05-26 00:15:29.511168,0 days 00:00:00.574275,elu,512.0,0.0025125226354017777,70.0,,,4.0,0.0024683973492785464,AE,3.0,,COMPLETE
18,0.0847457627118644,2026-05-26 00:15:29.511248,2026-05-26 00:15:30.013670,0 days 00:00:00.502422,relu,256.0,0.004856781022496493,40.0,,,8.0,0.0007010642428861433,VAE,1.0,,COMPLETE
19,0.031055900621118012,2026-05-26 00:15:30.013752,2026-05-26 00:15:32.092459,0 days 00:00:02.078707,relu,128.0,0.011604048638289581,65.0,,,12.0,0.0002192413951538929,VAE,2.0,,COMPLETE
20,0.04854368932038835,2026-05-26 00:15:32.092544,2026-05-26 00:15:32.241061,0 days 00:00:00.148517,relu,256.0,0.0021525114188488555,20.0,,,7.0,0.0020323495663099786,AE,1.0,,COMPLETE
21,0.08771929824561403,2026-05-26 00:15:32.241145,2026-05-26 00:15:33.992943,0 days 00:00:01.751798,relu,128.0,0.003806969408870265,47.0,,,8.0,0.0006847711748078517,VAE,3.0,,COMPLETE
22,0.05154639175257732,2026-05-26 00:15:33.993030,2026-05-26 00:15:35.356825,0 days 00:00:01.363795,relu,128.0,0.0029609153407734244,36.0,,,7.0,0.0005634126825086944,VAE,3.0,,COMPLETE
23,0.0,2026-05-26 00:15:35.356906,2026-05-26 00:15:37.454298,0 days 00:00:02.097392,relu,128.0,0.0014472380537426765,55.0,,,10.0,0.0008734978590004102,VAE,3.0,,COMPLETE
24,0.0,2026-05-26 00:15:37.454381,2026-05-26 00:15:38.406149,0 days 00:00:00.951768,leaky_relu,128.0,0.0060788716237492125,32.0,,,4.0,0.0003400971287628142,VAE,2.0,,COMPLETE
