number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.020242914979757085,2026-05-26 00:16:37.151940,2026-05-26 00:16:39.280715,0 days 00:00:02.128775,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-26 00:16:39.280797,2026-05-26 00:16:39.308580,0 days 00:00:00.027783,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.018214936247723135,2026-05-26 00:16:39.308627,2026-05-26 00:16:39.317495,0 days 00:00:00.008868,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.025974025974025976,2026-05-26 00:16:39.317539,2026-05-26 00:16:40.395311,0 days 00:00:01.077772,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.022222222222222223,2026-05-26 00:16:40.395386,2026-05-26 00:16:40.498375,0 days 00:00:00.102989,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-26 00:16:40.498440,2026-05-26 00:16:40.524765,0 days 00:00:00.026325,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.0,2026-05-26 00:16:40.524810,2026-05-26 00:16:40.534987,0 days 00:00:00.010177,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.03496503496503497,2026-05-26 00:16:40.535032,2026-05-26 00:16:41.708848,0 days 00:00:01.173816,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.02109704641350211,2026-05-26 00:16:41.708928,2026-05-26 00:16:41.815212,0 days 00:00:00.106284,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.01730103806228374,2026-05-26 00:16:41.815276,2026-05-26 00:16:42.024053,0 days 00:00:00.208777,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-26 00:16:42.024131,2026-05-26 00:16:43.564764,0 days 00:00:01.540633,leaky_relu,256.0,0.001454180104792578,86.0,,,12.0,0.0014138916628611978,VAE,2.0,,COMPLETE
11,0.008130081300813009,2026-05-26 00:16:43.564845,2026-05-26 00:16:44.729761,0 days 00:00:01.164916,elu,256.0,0.18149865274867805,65.0,,,16.0,0.00039050326156706905,AE,3.0,,COMPLETE
12,0.0,2026-05-26 00:16:44.729841,2026-05-26 00:16:45.812394,0 days 00:00:01.082553,elu,256.0,0.0031716673470678675,61.0,,,13.0,0.0004913460742665327,AE,3.0,,COMPLETE
13,0.038461538461538464,2026-05-26 00:16:45.812473,2026-05-26 00:16:46.760764,0 days 00:00:00.948291,relu,256.0,0.0050187419846600394,76.0,,,13.0,0.00010110693868786099,AE,2.0,,COMPLETE
14,0.0,2026-05-26 00:16:46.760845,2026-05-26 00:16:48.104656,0 days 00:00:01.343811,relu,256.0,0.0035960452371579777,77.0,,,10.0,0.001528038328138533,VAE,2.0,,COMPLETE
15,0.0,2026-05-26 00:16:48.104737,2026-05-26 00:16:49.824652,0 days 00:00:01.719915,relu,128.0,0.001211669029384837,78.0,,,13.0,0.0007098701732564443,AE,2.0,,COMPLETE
16,0.0,2026-05-26 00:16:49.824734,2026-05-26 00:16:50.482902,0 days 00:00:00.658168,relu,256.0,0.004902452348817933,45.0,,,11.0,0.0027654980201920615,VAE,1.0,,COMPLETE
17,0.0,2026-05-26 00:16:50.482983,2026-05-26 00:16:51.547348,0 days 00:00:01.064365,relu,256.0,0.002269996499827801,92.0,,,7.0,0.00011335431394085064,AE,2.0,,COMPLETE
18,0.03164556962025317,2026-05-26 00:16:51.547436,2026-05-26 00:16:52.697770,0 days 00:00:01.150334,leaky_relu,256.0,0.009783250064890553,78.0,,,15.0,0.00023046638328969452,VAE,1.0,,COMPLETE
19,0.0,2026-05-26 00:16:52.697853,2026-05-26 00:16:52.984781,0 days 00:00:00.286928,relu,512.0,0.007166563020508491,45.0,,,8.0,0.0007424562269434369,AE,2.0,,COMPLETE
20,0.0,2026-05-26 00:16:52.984867,2026-05-26 00:16:54.503657,0 days 00:00:01.518790,relu,128.0,0.0026474099504700216,69.0,,,4.0,0.0029901730174935726,VAE,1.0,,COMPLETE
21,0.03164556962025317,2026-05-26 00:16:54.503738,2026-05-26 00:16:55.707138,0 days 00:00:01.203400,leaky_relu,256.0,0.009856731648550084,81.0,,,15.0,0.00021787614326489556,VAE,1.0,,COMPLETE
22,0.02702702702702703,2026-05-26 00:16:55.707224,2026-05-26 00:16:56.781748,0 days 00:00:01.074524,leaky_relu,256.0,0.012810201639187531,72.0,,,14.0,0.00015983251815135174,VAE,1.0,,COMPLETE
23,0.038461538461538464,2026-05-26 00:16:56.781831,2026-05-26 00:16:58.151519,0 days 00:00:01.369688,leaky_relu,256.0,0.005242422909150444,91.0,,,15.0,0.0003271557252678564,VAE,1.0,,COMPLETE
24,0.0,2026-05-26 00:16:58.151610,2026-05-26 00:16:59.747130,0 days 00:00:01.595520,leaky_relu,256.0,0.004871648719105499,88.0,,,13.0,0.0003791666290749152,VAE,2.0,,COMPLETE
