number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-26 00:17:01.170601,2026-05-26 00:17:03.309746,0 days 00:00:02.139145,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-26 00:17:03.309826,2026-05-26 00:17:03.335291,0 days 00:00:00.025465,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.0,2026-05-26 00:17:03.335336,2026-05-26 00:17:03.343448,0 days 00:00:00.008112,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.01529051987767584,2026-05-26 00:17:03.343492,2026-05-26 00:17:04.429898,0 days 00:00:01.086406,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-26 00:17:04.429975,2026-05-26 00:17:04.547380,0 days 00:00:00.117405,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-26 00:17:04.547460,2026-05-26 00:17:04.571702,0 days 00:00:00.024242,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.0,2026-05-26 00:17:04.571747,2026-05-26 00:17:04.586982,0 days 00:00:00.015235,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-26 00:17:04.587027,2026-05-26 00:17:05.769710,0 days 00:00:01.182683,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-26 00:17:05.769798,2026-05-26 00:17:05.880877,0 days 00:00:00.111079,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.0,2026-05-26 00:17:05.880939,2026-05-26 00:17:06.101712,0 days 00:00:00.220773,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-26 00:17:06.101794,2026-05-26 00:17:07.035982,0 days 00:00:00.934188,elu,256.0,0.0010322851929145003,54.0,,,12.0,0.0024015639024822476,AE,3.0,,COMPLETE
11,0.014299332697807437,2026-05-26 00:17:07.036062,2026-05-26 00:17:10.686568,0 days 00:00:03.650506,elu,128.0,0.19636716167443305,100.0,,,4.0,0.0001169558442567087,VAE,3.0,,COMPLETE
12,0.01452081316553727,2026-05-26 00:17:10.686650,2026-05-26 00:17:12.393584,0 days 00:00:01.706934,elu,128.0,0.19895346387822435,61.0,,,4.0,0.00010348533987754031,AE,3.0,,COMPLETE
13,0.015321756894790603,2026-05-26 00:17:12.393663,2026-05-26 00:17:13.985113,0 days 00:00:01.591450,leaky_relu,128.0,0.19473411972143506,56.0,,,9.0,0.0004079322904791553,AE,3.0,,COMPLETE
14,0.016233766233766232,2026-05-26 00:17:13.985197,2026-05-26 00:17:14.640712,0 days 00:00:00.655515,leaky_relu,256.0,0.08725660060472247,57.0,,,10.0,0.0005643618599765438,AE,2.0,,COMPLETE
15,0.00927643784786642,2026-05-26 00:17:14.640796,2026-05-26 00:17:15.129373,0 days 00:00:00.488577,leaky_relu,256.0,0.07894081331031404,43.0,,,9.0,0.0009428031255684262,AE,2.0,,COMPLETE
16,0.007320644216691069,2026-05-26 00:17:15.129458,2026-05-26 00:17:16.695687,0 days 00:00:01.566229,leaky_relu,128.0,0.10620450413430027,76.0,,,8.0,0.0007871721476353748,AE,2.0,,COMPLETE
17,0.0273972602739726,2026-05-26 00:17:16.695769,2026-05-26 00:17:17.241680,0 days 00:00:00.545911,leaky_relu,256.0,0.0415613841790792,45.0,,,12.0,0.0020146019963521145,AE,2.0,,COMPLETE
18,0.03067484662576687,2026-05-26 00:17:17.241766,2026-05-26 00:17:17.720382,0 days 00:00:00.478616,leaky_relu,256.0,0.04048435154447239,40.0,,,12.0,0.0026100577649228727,AE,2.0,,COMPLETE
19,0.016835016835016835,2026-05-26 00:17:17.720464,2026-05-26 00:17:18.177523,0 days 00:00:00.457059,leaky_relu,256.0,0.04130242510173791,37.0,,,13.0,0.002212372054630812,AE,2.0,,COMPLETE
20,0.0,2026-05-26 00:17:18.177604,2026-05-26 00:17:18.667218,0 days 00:00:00.489614,leaky_relu,256.0,0.003043829700507334,41.0,,,12.0,0.0022064712681194665,AE,2.0,,COMPLETE
21,0.0,2026-05-26 00:17:18.667300,2026-05-26 00:17:19.131635,0 days 00:00:00.464335,leaky_relu,256.0,0.03863510898834017,38.0,,,13.0,0.002258653433454441,AE,2.0,,COMPLETE
22,0.02849002849002849,2026-05-26 00:17:19.131719,2026-05-26 00:17:19.554266,0 days 00:00:00.422547,leaky_relu,256.0,0.03969916470499552,35.0,,,12.0,0.004238611208655452,AE,2.0,,COMPLETE
23,0.01466275659824047,2026-05-26 00:17:19.554350,2026-05-26 00:17:20.113537,0 days 00:00:00.559187,leaky_relu,256.0,0.042301015818588056,47.0,,,12.0,0.0050703011197590015,AE,2.0,,COMPLETE
24,0.04032258064516129,2026-05-26 00:17:20.113621,2026-05-26 00:17:20.490413,0 days 00:00:00.376792,leaky_relu,256.0,0.011302006697867772,31.0,,,11.0,0.004098228836801994,AE,2.0,,COMPLETE
