city,scope,model_name,target_column,precision,recall,f1,f2,n_rows,n_positive_true,n_positive_pred,train_time_s,infer_time_s,search_time_s,total_time_s
amsterdam,multivariate,AE,ALL_FEATURES,0.29931972789115646,0.20952380952380953,0.24649859943977592,0.22289766970618036,20856,210,147,2.8158,0.002516,38.8456,41.6614
amsterdam,univariate,VAE,temperature_2m,0.006282124500285551,0.14473684210526316,0.0120415982484948,0.0267639902676399,20856,76,1751,3.8948,0.001194,36.1645,40.0593
amsterdam,univariate,AE,apparent_temperature,0.002074688796680498,0.013157894736842105,0.0035842293906810036,0.006361323155216285,20856,76,482,1.6954,0.000841,24.194,25.8894
amsterdam,univariate,VAE,precipitation,0.0,0.0,0.0,0.0,20856,71,24,0.9235,0.00072,26.9233,27.8468
amsterdam,univariate,VAE,surface_pressure,0.6699029126213593,0.9583333333333334,0.7885714285714286,0.8823529411764706,20856,72,103,2.4169,0.000716,29.1933,31.6102
amsterdam,univariate,AE,soil_temperature_7_to_28cm,0.01953125,0.06493506493506493,0.03003003003003003,0.044326241134751775,20856,77,256,0.723,0.00065,19.5572,20.2801
amsterdam,univariate,VAE,soil_moisture_7_to_28cm,0.4583333333333333,0.1506849315068493,0.2268041237113402,0.17405063291139242,20856,73,24,0.8933,0.000661,19.6218,20.5152
london,multivariate,AE,ALL_FEATURES,0.23783783783783785,0.41904761904761906,0.30344827586206896,0.36363636363636365,20856,210,370,1.2551,0.003752,36.9582,38.2132
london,univariate,AE,temperature_2m,0.002304147465437788,0.08620689655172414,0.004488330341113106,0.010407993338884263,20856,58,2170,0.3547,0.000289,18.2835,18.6381
london,univariate,VAE,apparent_temperature,0.0062959076600209865,0.0759493670886076,0.011627906976744186,0.02364066193853428,20856,79,953,0.9073,0.000631,19.1531,20.0604
london,univariate,VAE,precipitation,0.020833333333333332,0.013157894736842105,0.016129032258064516,0.014204545454545454,20856,76,48,0.9044,0.000653,24.6209,25.5253
london,univariate,VAE,surface_pressure,0.7714285714285715,0.9878048780487805,0.8663101604278075,0.9353348729792148,20856,82,105,2.4438,0.00066,30.1661,32.61
london,univariate,AE,soil_temperature_7_to_28cm,0.009174311926605505,0.029850746268656716,0.014035087719298246,0.0205761316872428,20856,67,218,0.468,0.000244,17.7876,18.2555
london,univariate,AE,soil_moisture_7_to_28cm,0.014519056261343012,0.08695652173913043,0.024883359253499222,0.04352557127312296,20856,92,551,0.7205,0.001268,27.8825,28.603
new_york,multivariate,AE,ALL_FEATURES,0.5,0.27102803738317754,0.3515151515151515,0.29835390946502055,20856,214,116,1.2178,0.001288,24.823,26.0408
new_york,univariate,AE,temperature_2m,0.005169442848937392,0.11538461538461539,0.009895547003848268,0.021919142717973697,20856,78,1741,0.6678,0.000729,20.0007,20.6685
new_york,univariate,VAE,apparent_temperature,0.0,0.0,0.0,0.0,20856,75,959,2.1695,0.001171,32.365,34.5345
new_york,univariate,VAE,precipitation,0.06666666666666667,0.013157894736842105,0.02197802197802198,0.01567398119122257,20856,76,15,1.3301,0.000562,22.5343,23.8645
new_york,univariate,AE,surface_pressure,0.7653061224489796,1.0,0.8670520231213873,0.9422110552763819,20856,75,98,0.6989,0.000296,24.8731,25.572
new_york,univariate,AE,soil_temperature_7_to_28cm,0.02247191011235955,0.0547945205479452,0.03187250996015936,0.0425531914893617,20856,73,178,0.7325,0.000489,20.4491,21.1815
new_york,univariate,AE,soil_moisture_7_to_28cm,0.05263157894736842,0.025974025974025976,0.034782608695652174,0.028901734104046242,20856,77,38,0.4379,0.000533,22.1203,22.5583
paris,multivariate,AE,ALL_FEATURES,0.2692307692307692,0.2,0.22950819672131148,0.21084337349397592,20856,210,156,2.937,0.001744,45.3233,48.2604
paris,univariate,AE,temperature_2m,0.002777777777777778,0.09876543209876543,0.005403579871664978,0.012484394506866416,20856,81,2880,0.9248,0.00028,16.957,17.8818
paris,univariate,AE,apparent_temperature,0.004158004158004158,0.024390243902439025,0.007104795737122558,0.012360939431396786,20856,82,481,2.8387,0.001075,24.858,27.6967
