number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.241635687732342,2026-05-26 00:43:01.980439,2026-05-26 00:43:03.171045,0 days 00:00:01.190606,elu,128,0.0483437145318464,21,25,0.0026070247583707684,VAE,2,COMPLETE
1,0.2787456445993031,2026-05-26 00:43:03.171192,2026-05-26 00:43:05.542040,0 days 00:00:02.370848,tanh,128,0.005012686302434879,56,48,0.0005404103854647331,VAE,2,COMPLETE
2,0.2511415525114155,2026-05-26 00:43:05.542131,2026-05-26 00:43:05.894308,0 days 00:00:00.352177,tanh,512,0.025002240473339543,75,17,0.0001567993391672301,AE,1,COMPLETE
3,0.01824817518248175,2026-05-26 00:43:05.894391,2026-05-26 00:43:07.291064,0 days 00:00:01.396673,leaky_relu,512,0.003939675937754723,96,38,0.0035503048581283078,VAE,2,COMPLETE
4,0.038314176245210725,2026-05-26 00:43:07.291144,2026-05-26 00:43:07.754449,0 days 00:00:00.463305,tanh,512,0.0012707770074499693,31,45,0.001217284708112243,VAE,1,COMPLETE
5,0.058365758754863814,2026-05-26 00:43:07.754531,2026-05-26 00:43:11.430290,0 days 00:00:03.675759,tanh,128,0.0010296901472345186,89,72,0.0001705053926026929,AE,3,COMPLETE
6,0.23629489603024575,2026-05-26 00:43:11.430373,2026-05-26 00:43:13.934492,0 days 00:00:02.504119,leaky_relu,256,0.04773596444669527,82,87,0.0013260331922696556,VAE,2,COMPLETE
7,0.038910505836575876,2026-05-26 00:43:13.934573,2026-05-26 00:43:14.863314,0 days 00:00:00.928741,tanh,256,0.0011811892859183053,38,38,0.003244160088734162,VAE,2,COMPLETE
8,0.25842696629213485,2026-05-26 00:43:14.863396,2026-05-26 00:43:15.531500,0 days 00:00:00.668104,tanh,512,0.02867352213261388,45,80,0.006197015748809144,AE,3,COMPLETE
9,0.0390625,2026-05-26 00:43:15.531581,2026-05-26 00:43:16.513912,0 days 00:00:00.982331,leaky_relu,512,0.0010375213943059785,62,47,0.00044300218067679835,VAE,2,COMPLETE
10,0.3333333333333333,2026-05-26 00:43:16.513993,2026-05-26 00:43:18.516682,0 days 00:00:02.002689,relu,128,0.007037214698578187,54,62,0.00042234828989270274,AE,3,COMPLETE
11,0.13333333333333333,2026-05-26 00:43:18.516766,2026-05-26 00:43:20.617566,0 days 00:00:02.100800,relu,128,0.007472755116646202,58,64,0.00048783273187152617,AE,3,COMPLETE
12,0.13105639396346305,2026-05-26 00:43:20.617648,2026-05-26 00:43:22.732037,0 days 00:00:02.114389,relu,128,0.1647720863882698,57,62,0.00044008275954576695,AE,3,COMPLETE
13,0.14336917562724014,2026-05-26 00:43:22.732122,2026-05-26 00:43:23.881601,0 days 00:00:01.149479,relu,128,0.004445413618373053,69,96,0.0003037225485203762,AE,1,COMPLETE
14,0.27419354838709675,2026-05-26 00:43:23.881688,2026-05-26 00:43:26.333704,0 days 00:00:02.452016,elu,128,0.009958892700617433,46,58,0.0008140831425896167,VAE,3,COMPLETE
15,0.14814814814814814,2026-05-26 00:43:26.333786,2026-05-26 00:43:27.877695,0 days 00:00:01.543909,relu,128,0.0030372078784035865,56,50,0.00026061061154280613,AE,2,COMPLETE
16,0.16129032258064516,2026-05-26 00:43:27.877778,2026-05-26 00:43:30.600550,0 days 00:00:02.722772,relu,128,0.015364724341348938,48,72,0.0008758438059540198,VAE,3,COMPLETE
17,0.14814814814814814,2026-05-26 00:43:30.600636,2026-05-26 00:43:31.238014,0 days 00:00:00.637378,elu,256,0.0024745686489452616,70,30,0.00011335431394085064,AE,1,COMPLETE
18,0.20761245674740483,2026-05-26 00:43:31.238097,2026-05-26 00:43:32.851764,0 days 00:00:01.613667,tanh,128,0.006810228915282634,33,70,0.001824830902837159,VAE,2,COMPLETE
19,0.15037593984962405,2026-05-26 00:43:32.851850,2026-05-26 00:43:35.238037,0 days 00:00:02.386187,relu,128,0.002148705122261197,65,55,0.0007338180387207324,AE,3,COMPLETE
20,0.3021148036253776,2026-05-26 00:43:35.238122,2026-05-26 00:43:36.398221,0 days 00:00:01.160099,relu,256,0.011545677344941623,78,36,0.00032443851545154297,AE,2,COMPLETE
21,0.23121387283236994,2026-05-26 00:43:36.398304,2026-05-26 00:43:37.603515,0 days 00:00:01.205211,relu,256,0.014330705340452474,80,38,0.00027993775491364897,AE,2,COMPLETE
22,0.136986301369863,2026-05-26 00:43:37.603600,2026-05-26 00:43:38.287647,0 days 00:00:00.684047,relu,256,0.005758884836885134,52,12,0.0005567611667778216,AE,2,COMPLETE
23,0.2768729641693811,2026-05-26 00:43:38.287732,2026-05-26 00:43:39.716337,0 days 00:00:01.428605,relu,256,0.009671063927076123,99,31,0.0001917988025765134,AE,2,COMPLETE
24,0.23943661971830985,2026-05-26 00:43:39.716419,2026-05-26 00:43:40.825718,0 days 00:00:01.109299,relu,256,0.020412741657994393,73,43,0.00036568430960207446,AE,2,COMPLETE
