number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.012690355329949238,2026-05-26 00:44:23.813591,2026-05-26 00:44:24.471197,0 days 00:00:00.657606,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:44:24.471280,2026-05-26 00:44:26.197814,0 days 00:00:01.726534,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.034722222222222224,2026-05-26 00:44:26.197895,2026-05-26 00:44:26.464222,0 days 00:00:00.266327,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:44:26.464301,2026-05-26 00:44:27.334484,0 days 00:00:00.870183,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:44:27.334566,2026-05-26 00:44:27.583092,0 days 00:00:00.248526,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:44:27.583179,2026-05-26 00:44:30.280919,0 days 00:00:02.697740,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.025839793281653745,2026-05-26 00:44:30.281003,2026-05-26 00:44:31.806277,0 days 00:00:01.525274,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:44:31.806361,2026-05-26 00:44:32.446805,0 days 00:00:00.640444,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.017361111111111112,2026-05-26 00:44:32.446886,2026-05-26 00:44:32.949319,0 days 00:00:00.502433,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:44:32.949402,2026-05-26 00:44:33.532338,0 days 00:00:00.582936,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.01953125,2026-05-26 00:44:33.532421,2026-05-26 00:44:33.790299,0 days 00:00:00.257878,relu,512,0.10077649418412096,73,4,0.00011952270129143859,AE,1,COMPLETE
11,0.01876876876876877,2026-05-26 00:44:33.790382,2026-05-26 00:44:34.325810,0 days 00:00:00.535428,leaky_relu,256,0.19302875430034908,81,16,0.0009824430678277462,AE,1,COMPLETE
12,0.02145922746781116,2026-05-26 00:44:34.325890,2026-05-26 00:44:34.827779,0 days 00:00:00.501889,elu,256,0.01756425601671013,71,12,0.0003031208952984398,AE,1,COMPLETE
13,0.010660980810234541,2026-05-26 00:44:34.827862,2026-05-26 00:44:36.520340,0 days 00:00:01.692478,relu,256,0.05409933467826836,100,16,0.0012365239548682507,AE,3,COMPLETE
14,0.0,2026-05-26 00:44:36.520425,2026-05-26 00:44:37.479873,0 days 00:00:00.959448,leaky_relu,256,0.008017267634838472,83,4,0.00026072082249054836,VAE,1,COMPLETE
15,0.02252252252252252,2026-05-26 00:44:37.479958,2026-05-26 00:44:37.734571,0 days 00:00:00.254613,leaky_relu,512,0.016677552837749132,66,11,0.0007098701732564443,AE,1,COMPLETE
16,0.013812154696132596,2026-05-26 00:44:37.734657,2026-05-26 00:44:38.889900,0 days 00:00:01.155243,relu,256,0.0417523212982288,54,6,0.0019263008322842764,VAE,3,COMPLETE
17,0.014749262536873156,2026-05-26 00:44:38.889982,2026-05-26 00:44:39.477774,0 days 00:00:00.587792,elu,512,0.08391287970209302,78,14,0.007699636651815977,AE,2,COMPLETE
18,0.0,2026-05-26 00:44:39.477855,2026-05-26 00:44:40.773989,0 days 00:00:01.296134,leaky_relu,256,0.009783250064890553,90,11,0.0002790631500274694,VAE,1,COMPLETE
19,0.033112582781456956,2026-05-26 00:44:40.774072,2026-05-26 00:44:41.853299,0 days 00:00:01.079227,tanh,128,0.027984333591698857,50,7,0.0001166256578272539,AE,2,COMPLETE
20,0.03496503496503497,2026-05-26 00:44:41.853383,2026-05-26 00:44:43.197294,0 days 00:00:01.343911,tanh,128,0.023963540065295368,46,6,0.00012808413083910514,AE,3,COMPLETE
21,0.03571428571428571,2026-05-26 00:44:43.197374,2026-05-26 00:44:44.647505,0 days 00:00:01.450131,tanh,128,0.022816740313846597,49,6,0.0001009406913258994,AE,3,COMPLETE
22,0.0364963503649635,2026-05-26 00:44:44.647588,2026-05-26 00:44:45.849677,0 days 00:00:01.202089,tanh,128,0.02347839122868547,42,5,0.00017462231294052534,AE,3,COMPLETE
23,0.0,2026-05-26 00:44:45.849764,2026-05-26 00:44:47.051346,0 days 00:00:01.201582,tanh,128,0.01065388073754833,41,6,0.00019025630693162866,AE,3,COMPLETE
24,0.0,2026-05-26 00:44:47.051434,2026-05-26 00:44:48.007343,0 days 00:00:00.955909,tanh,128,0.005546471644571109,33,5,0.0001141496113598605,AE,3,COMPLETE
