number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.1724137931034483,2026-05-26 00:44:49.756491,2026-05-26 00:44:50.415546,0 days 00:00:00.659055,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:44:50.415633,2026-05-26 00:44:52.165985,0 days 00:00:01.750352,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.0,2026-05-26 00:44:52.166068,2026-05-26 00:44:52.440409,0 days 00:00:00.274341,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.058823529411764705,2026-05-26 00:44:52.440493,2026-05-26 00:44:53.383296,0 days 00:00:00.942803,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:44:53.383381,2026-05-26 00:44:53.669206,0 days 00:00:00.285825,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:44:53.669298,2026-05-26 00:44:56.533773,0 days 00:00:02.864475,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.046296296296296294,2026-05-26 00:44:56.533855,2026-05-26 00:44:58.079492,0 days 00:00:01.545637,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:44:58.079578,2026-05-26 00:44:58.716025,0 days 00:00:00.636447,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.0,2026-05-26 00:44:58.716109,2026-05-26 00:44:59.239867,0 days 00:00:00.523758,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.058823529411764705,2026-05-26 00:44:59.239950,2026-05-26 00:44:59.826369,0 days 00:00:00.586419,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.03770739064856712,2026-05-26 00:44:59.826449,2026-05-26 00:45:00.445141,0 days 00:00:00.618692,elu,128,0.12322123000596721,21,4,0.0024015639024822476,AE,3,COMPLETE
11,0.0,2026-05-26 00:45:00.445223,2026-05-26 00:45:02.576457,0 days 00:00:02.131234,elu,128,0.0054665579043201495,97,6,0.009368289725443905,VAE,1,COMPLETE
12,0.16393442622950818,2026-05-26 00:45:02.576544,2026-05-26 00:45:03.361257,0 days 00:00:00.784713,relu,512,0.006101509362458748,69,12,0.00381655562486352,VAE,2,COMPLETE
13,0.03834355828220859,2026-05-26 00:45:03.361339,2026-05-26 00:45:05.496958,0 days 00:00:02.135619,relu,128,0.16676011453628492,67,12,0.0020975457910271662,VAE,2,COMPLETE
14,0.0,2026-05-26 00:45:05.497040,2026-05-26 00:45:06.180196,0 days 00:00:00.683156,relu,256,0.011260771438525385,49,11,0.005273946777189665,VAE,1,COMPLETE
15,0.05102040816326531,2026-05-26 00:45:06.180280,2026-05-26 00:45:07.144746,0 days 00:00:00.964466,relu,512,0.07917398714126472,73,16,0.0007098701732564443,VAE,3,COMPLETE
16,0.1724137931034483,2026-05-26 00:45:07.144827,2026-05-26 00:45:07.780631,0 days 00:00:00.635804,elu,128,0.010767689742313721,20,6,0.0017382944114295645,VAE,2,COMPLETE
17,0.0,2026-05-26 00:45:07.780710,2026-05-26 00:45:08.277786,0 days 00:00:00.497076,elu,128,0.014442860684565932,21,6,0.001442165250254205,VAE,1,COMPLETE
18,0.0706713780918728,2026-05-26 00:45:08.277871,2026-05-26 00:45:09.295695,0 days 00:00:01.017824,elu,128,0.06216161357510963,35,6,0.00031517665995447336,AE,3,COMPLETE
19,0.031446540880503145,2026-05-26 00:45:09.295779,2026-05-26 00:45:10.142977,0 days 00:00:00.847198,elu,128,0.03202301750391136,28,5,0.0008495703359216009,VAE,2,COMPLETE
20,0.0,2026-05-26 00:45:10.143060,2026-05-26 00:45:11.558276,0 days 00:00:01.415216,elu,128,0.012730417493192012,46,7,0.002340891817685423,VAE,2,COMPLETE
21,0.05,2026-05-26 00:45:11.558361,2026-05-26 00:45:13.338905,0 days 00:00:01.780544,relu,128,0.0026246692643156987,56,12,0.003912248909228112,VAE,2,COMPLETE
22,0.0,2026-05-26 00:45:13.338986,2026-05-26 00:45:13.682695,0 days 00:00:00.343709,elu,512,0.00822200400280836,27,11,0.0016871960335271667,VAE,2,COMPLETE
23,0.15503875968992248,2026-05-26 00:45:13.682780,2026-05-26 00:45:14.449909,0 days 00:00:00.767129,relu,256,0.017779463383393253,42,10,0.008693801653136936,VAE,2,COMPLETE
24,0.0,2026-05-26 00:45:14.449999,2026-05-26 00:45:16.679573,0 days 00:00:02.229574,elu,128,0.007649982033948052,71,7,0.0052070776476606075,VAE,2,COMPLETE
