number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.013297872340425532,2026-05-26 00:46:09.651214,2026-05-26 00:46:10.297605,0 days 00:00:00.646391,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.1271186440677966,2026-05-26 00:46:10.297688,2026-05-26 00:46:12.028863,0 days 00:00:01.731175,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.08733624454148471,2026-05-26 00:46:12.028947,2026-05-26 00:46:12.298811,0 days 00:00:00.269864,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:46:12.298888,2026-05-26 00:46:13.163522,0 days 00:00:00.864634,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.05263157894736842,2026-05-26 00:46:13.163605,2026-05-26 00:46:13.410675,0 days 00:00:00.247070,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.10752688172043011,2026-05-26 00:46:13.410756,2026-05-26 00:46:16.127473,0 days 00:00:02.716717,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.02457002457002457,2026-05-26 00:46:16.127555,2026-05-26 00:46:17.648222,0 days 00:00:01.520667,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.15789473684210525,2026-05-26 00:46:17.648304,2026-05-26 00:46:18.282807,0 days 00:00:00.634503,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.056179775280898875,2026-05-26 00:46:18.282888,2026-05-26 00:46:18.795104,0 days 00:00:00.512216,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.15625,2026-05-26 00:46:18.795189,2026-05-26 00:46:19.379025,0 days 00:00:00.583836,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.03875968992248062,2026-05-26 00:46:19.379106,2026-05-26 00:46:20.039017,0 days 00:00:00.659911,relu,256,0.00686986633589653,40,12,0.006536264082965736,AE,3,COMPLETE
11,0.022686025408348458,2026-05-26 00:46:20.039100,2026-05-26 00:46:20.964856,0 days 00:00:00.925756,leaky_relu,256,0.16836147455956116,66,11,0.000505928721569326,VAE,1,COMPLETE
12,0.14018691588785046,2026-05-26 00:46:20.964940,2026-05-26 00:46:21.894125,0 days 00:00:00.929185,elu,256,0.0022503239480682847,54,7,0.00044008275954576695,VAE,2,COMPLETE
13,0.0,2026-05-26 00:46:21.894208,2026-05-26 00:46:22.475492,0 days 00:00:00.581284,relu,512,0.0023999682377018523,65,5,0.0021601863672613586,VAE,2,COMPLETE
14,0.0641025641025641,2026-05-26 00:46:22.475572,2026-05-26 00:46:23.078360,0 days 00:00:00.602788,leaky_relu,256,0.010354809226121711,43,10,0.0002963925086044194,VAE,1,COMPLETE
15,0.15,2026-05-26 00:46:23.078445,2026-05-26 00:46:23.402442,0 days 00:00:00.323997,leaky_relu,512,0.0021732443157561135,26,7,0.0007712566535762426,VAE,3,COMPLETE
16,0.056179775280898875,2026-05-26 00:46:23.402528,2026-05-26 00:46:24.289265,0 days 00:00:00.886737,relu,256,0.0010441312319500985,50,11,0.009006020499939716,VAE,2,COMPLETE
17,0.04716981132075472,2026-05-26 00:46:24.289347,2026-05-26 00:46:24.786803,0 days 00:00:00.497456,elu,256,0.002739656315188116,34,16,0.000254888273774132,VAE,1,COMPLETE
18,0.07092198581560284,2026-05-26 00:46:24.786888,2026-05-26 00:46:25.227451,0 days 00:00:00.440563,leaky_relu,512,0.010557329270626572,74,8,0.001798206872845896,AE,2,COMPLETE
19,0.022007042253521125,2026-05-26 00:46:25.227536,2026-05-26 00:46:27.585647,0 days 00:00:02.358111,tanh,128,0.1663523638123235,61,10,0.00450541314624572,VAE,3,COMPLETE
20,0.0,2026-05-26 00:46:27.585734,2026-05-26 00:46:27.948107,0 days 00:00:00.362373,leaky_relu,512,0.0017753879880221457,37,6,0.0008341670619444637,VAE,2,COMPLETE
21,0.15625,2026-05-26 00:46:27.948191,2026-05-26 00:46:28.207602,0 days 00:00:00.259411,leaky_relu,512,0.0017784299546855327,21,7,0.0009394295312550443,VAE,3,COMPLETE
22,0.050505050505050504,2026-05-26 00:46:28.207681,2026-05-26 00:46:28.462496,0 days 00:00:00.254815,leaky_relu,512,0.0015143421885319408,22,8,0.0007413876724674715,VAE,3,COMPLETE
23,0.0,2026-05-26 00:46:28.462578,2026-05-26 00:46:28.783181,0 days 00:00:00.320603,leaky_relu,512,0.003893688303544082,27,6,0.0003325458832219057,VAE,3,COMPLETE
24,0.050505050505050504,2026-05-26 00:46:28.783262,2026-05-26 00:46:29.272823,0 days 00:00:00.489561,leaky_relu,512,0.0014882337940364285,51,9,0.0001141496113598605,VAE,2,COMPLETE
