number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.17369727047146402,2026-05-26 00:45:17.654469,2026-05-26 00:45:18.292827,0 days 00:00:00.638358,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.8974358974358975,2026-05-26 00:45:18.292908,2026-05-26 00:45:20.019031,0 days 00:00:01.726123,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.49107142857142855,2026-05-26 00:45:20.019113,2026-05-26 00:45:20.284334,0 days 00:00:00.265221,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.5555555555555556,2026-05-26 00:45:20.284418,2026-05-26 00:45:21.141655,0 days 00:00:00.857237,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.4639175257731959,2026-05-26 00:45:21.141735,2026-05-26 00:45:21.385454,0 days 00:00:00.243719,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.3684210526315789,2026-05-26 00:45:21.385534,2026-05-26 00:45:24.126195,0 days 00:00:02.740661,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.10152284263959391,2026-05-26 00:45:24.126279,2026-05-26 00:45:25.666800,0 days 00:00:01.540521,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.4639175257731959,2026-05-26 00:45:25.666881,2026-05-26 00:45:26.303761,0 days 00:00:00.636880,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.3597122302158273,2026-05-26 00:45:26.303845,2026-05-26 00:45:26.808908,0 days 00:00:00.505063,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.3191489361702128,2026-05-26 00:45:26.808990,2026-05-26 00:45:27.387729,0 days 00:00:00.578739,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.8333333333333334,2026-05-26 00:45:27.387811,2026-05-26 00:45:28.980133,0 days 00:00:01.592322,relu,128,0.007037214698578187,54,12,0.00042234828989270274,AE,3,COMPLETE
11,0.8270676691729323,2026-05-26 00:45:28.980217,2026-05-26 00:45:30.670285,0 days 00:00:01.690068,relu,128,0.007472755116646202,58,12,0.00048783273187152617,AE,3,COMPLETE
12,0.09700176366843033,2026-05-26 00:45:30.670369,2026-05-26 00:45:32.313857,0 days 00:00:01.643488,relu,128,0.1647720863882698,57,11,0.00044008275954576695,AE,3,COMPLETE
13,0.7786885245901639,2026-05-26 00:45:32.313937,2026-05-26 00:45:33.190186,0 days 00:00:00.876249,relu,128,0.004445413618373053,69,16,0.0003037225485203762,AE,1,COMPLETE
14,0.7608695652173914,2026-05-26 00:45:33.190271,2026-05-26 00:45:34.971463,0 days 00:00:01.781192,elu,128,0.009958892700617433,46,11,0.0008140831425896167,VAE,3,COMPLETE
15,0.8796296296296297,2026-05-26 00:45:34.971547,2026-05-26 00:45:36.124110,0 days 00:00:01.152563,relu,128,0.0030372078784035865,56,6,0.00026061061154280613,AE,2,COMPLETE
16,0.8095238095238095,2026-05-26 00:45:36.124196,2026-05-26 00:45:38.258270,0 days 00:00:02.134074,relu,128,0.0025319879117744405,72,6,0.00023133861404573997,VAE,2,COMPLETE
17,0.7547169811320755,2026-05-26 00:45:38.258351,2026-05-26 00:45:38.588966,0 days 00:00:00.330615,elu,256,0.0024745686489452616,47,6,0.00011335431394085064,AE,1,COMPLETE
18,0.7189542483660131,2026-05-26 00:45:38.589047,2026-05-26 00:45:40.485492,0 days 00:00:01.896445,tanh,128,0.01351600639996428,65,4,0.000774149197367854,VAE,2,COMPLETE
19,0.5555555555555556,2026-05-26 00:45:40.485579,2026-05-26 00:45:40.942439,0 days 00:00:00.456860,relu,128,0.002485664705859333,35,7,0.0015909493349927665,AE,1,COMPLETE
20,0.3883495145631068,2026-05-26 00:45:40.942523,2026-05-26 00:45:41.776639,0 days 00:00:00.834116,relu,256,0.004257024806141471,78,5,0.00024196228636502306,AE,2,COMPLETE
21,0.7142857142857143,2026-05-26 00:45:41.776725,2026-05-26 00:45:42.889751,0 days 00:00:01.113026,relu,128,0.006485049558942514,53,10,0.0005909488155591484,AE,2,COMPLETE
22,0.5851063829787234,2026-05-26 00:45:42.889839,2026-05-26 00:45:44.427325,0 days 00:00:01.537486,relu,128,0.01771304175244072,52,12,0.00031417639113887194,AE,3,COMPLETE
23,0.811965811965812,2026-05-26 00:45:44.427410,2026-05-26 00:45:45.709130,0 days 00:00:01.281720,relu,128,0.006854984312226698,61,10,0.0006832309347901587,AE,2,COMPLETE
24,0.5555555555555556,2026-05-26 00:45:45.709214,2026-05-26 00:45:46.847494,0 days 00:00:01.138280,relu,128,0.0019018014868122793,41,8,0.00036568430960207446,AE,3,COMPLETE
