number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.012594458438287154,2026-05-26 00:43:43.701889,2026-05-26 00:43:44.349600,0 days 00:00:00.647711,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0390625,2026-05-26 00:43:44.349686,2026-05-26 00:43:46.066157,0 days 00:00:01.716471,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.0,2026-05-26 00:43:46.066238,2026-05-26 00:43:46.334532,0 days 00:00:00.268294,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:43:46.334609,2026-05-26 00:43:47.197335,0 days 00:00:00.862726,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:43:47.197415,2026-05-26 00:43:47.441138,0 days 00:00:00.243723,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:43:47.441219,2026-05-26 00:43:50.168524,0 days 00:00:02.727305,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.012626262626262626,2026-05-26 00:43:50.168609,2026-05-26 00:43:51.697637,0 days 00:00:01.529028,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:43:51.697719,2026-05-26 00:43:52.363491,0 days 00:00:00.665772,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.0,2026-05-26 00:43:52.363572,2026-05-26 00:43:52.882328,0 days 00:00:00.518756,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:43:52.882409,2026-05-26 00:43:53.466734,0 days 00:00:00.584325,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.0,2026-05-26 00:43:53.466813,2026-05-26 00:43:55.070914,0 days 00:00:01.604101,relu,128,0.007037214698578187,54,12,0.00042234828989270274,AE,3,COMPLETE
11,0.030792917628945343,2026-05-26 00:43:55.070999,2026-05-26 00:43:56.222377,0 days 00:00:01.151378,leaky_relu,256,0.19302875430034908,80,16,0.0008898558397307407,VAE,1,COMPLETE
12,0.025811209439528023,2026-05-26 00:43:56.222464,2026-05-26 00:43:57.199737,0 days 00:00:00.977273,elu,256,0.19802982775306238,69,11,0.0004913460742665327,VAE,1,COMPLETE
13,0.026902382782475018,2026-05-26 00:43:57.199824,2026-05-26 00:43:58.511601,0 days 00:00:01.311777,relu,128,0.19010461912609714,55,16,0.0007925227447784533,VAE,1,COMPLETE
14,0.0,2026-05-26 00:43:58.511684,2026-05-26 00:43:59.566357,0 days 00:00:01.054673,leaky_relu,256,0.005424169992105551,74,11,0.0002674701807186936,VAE,1,COMPLETE
15,0.0,2026-05-26 00:43:59.566442,2026-05-26 00:44:01.716924,0 days 00:00:02.150482,leaky_relu,128,0.011655451422242285,98,6,0.0007098701732564443,VAE,1,COMPLETE
16,0.0,2026-05-26 00:44:01.717009,2026-05-26 00:44:03.145022,0 days 00:00:01.428013,relu,256,0.002359292073818298,63,16,0.0017382944114295645,VAE,3,COMPLETE
17,0.04807692307692308,2026-05-26 00:44:03.145100,2026-05-26 00:44:05.868499,0 days 00:00:02.723399,elu,128,0.08391287970209302,84,13,0.000254888273774132,VAE,2,COMPLETE
18,0.028735632183908046,2026-05-26 00:44:05.868588,2026-05-26 00:44:06.968051,0 days 00:00:01.099463,elu,128,0.0702032369827051,48,13,0.0002790631500274694,AE,2,COMPLETE
19,0.024630541871921183,2026-05-26 00:44:06.968135,2026-05-26 00:44:09.659504,0 days 00:00:02.691369,elu,128,0.014777201031990365,86,10,0.00024216016427838522,VAE,2,COMPLETE
20,0.006954102920723227,2026-05-26 00:44:09.659589,2026-05-26 00:44:11.677459,0 days 00:00:02.017870,elu,128,0.10017932298879488,67,6,0.0001283062533789438,VAE,2,COMPLETE
21,0.01971090670170828,2026-05-26 00:44:11.677544,2026-05-26 00:44:13.073581,0 days 00:00:01.396037,leaky_relu,256,0.11513751942608301,75,15,0.0006796513718827996,VAE,2,COMPLETE
22,0.027247956403269755,2026-05-26 00:44:13.073663,2026-05-26 00:44:15.019157,0 days 00:00:01.945494,tanh,128,0.10212378873597314,83,14,0.00038242618923489506,VAE,1,COMPLETE
23,0.0,2026-05-26 00:44:15.019241,2026-05-26 00:44:18.699420,0 days 00:00:03.680179,elu,128,0.002749846835869657,94,12,0.0009205845832826792,VAE,3,COMPLETE
24,0.0,2026-05-26 00:44:18.699503,2026-05-26 00:44:19.866020,0 days 00:00:01.166517,leaky_relu,256,0.011858796087431631,79,15,0.0016128743765121674,VAE,1,COMPLETE
