number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.21217712177121772,2026-05-26 00:46:37.043578,2026-05-26 00:46:37.872147,0 days 00:00:00.828569,elu,128,0.0483437145318464,21,25,0.0026070247583707684,VAE,2,COMPLETE
1,0.2826855123674912,2026-05-26 00:46:37.872226,2026-05-26 00:46:40.263608,0 days 00:00:02.391382,tanh,128,0.005012686302434879,56,48,0.0005404103854647331,VAE,2,COMPLETE
2,0.2542372881355932,2026-05-26 00:46:40.263689,2026-05-26 00:46:40.635390,0 days 00:00:00.371701,tanh,512,0.025002240473339543,75,17,0.0001567993391672301,AE,1,COMPLETE
3,0.01824817518248175,2026-05-26 00:46:40.635477,2026-05-26 00:46:42.025735,0 days 00:00:01.390258,leaky_relu,512,0.003939675937754723,96,38,0.0035503048581283078,VAE,2,COMPLETE
4,0.057692307692307696,2026-05-26 00:46:42.025817,2026-05-26 00:46:42.494201,0 days 00:00:00.468384,tanh,512,0.0012707770074499693,31,45,0.001217284708112243,VAE,1,COMPLETE
5,0.13358778625954199,2026-05-26 00:46:42.494291,2026-05-26 00:46:46.195960,0 days 00:00:03.701669,tanh,128,0.0010296901472345186,89,72,0.0001705053926026929,AE,3,COMPLETE
6,0.20761245674740483,2026-05-26 00:46:46.196042,2026-05-26 00:46:48.760067,0 days 00:00:02.564025,leaky_relu,256,0.04773596444669527,82,87,0.0013260331922696556,VAE,2,COMPLETE
7,0.09727626459143969,2026-05-26 00:46:48.760155,2026-05-26 00:46:49.709161,0 days 00:00:00.949006,tanh,256,0.0011811892859183053,38,38,0.003244160088734162,VAE,2,COMPLETE
8,0.2625570776255708,2026-05-26 00:46:49.709240,2026-05-26 00:46:50.368520,0 days 00:00:00.659280,tanh,512,0.02867352213261388,45,80,0.006197015748809144,AE,3,COMPLETE
9,0.078125,2026-05-26 00:46:50.368603,2026-05-26 00:46:51.403155,0 days 00:00:01.034552,leaky_relu,512,0.0010375213943059785,62,47,0.00044300218067679835,VAE,2,COMPLETE
10,0.2733118971061093,2026-05-26 00:46:51.403249,2026-05-26 00:46:53.405608,0 days 00:00:02.002359,relu,128,0.007037214698578187,54,62,0.00042234828989270274,AE,3,COMPLETE
11,0.22875816993464052,2026-05-26 00:46:53.405692,2026-05-26 00:46:55.482565,0 days 00:00:02.076873,relu,128,0.007472755116646202,58,64,0.00048783273187152617,AE,3,COMPLETE
12,0.11205564142194745,2026-05-26 00:46:55.482652,2026-05-26 00:46:57.562597,0 days 00:00:02.079945,relu,128,0.1647720863882698,57,62,0.00044008275954576695,AE,3,COMPLETE
13,0.2195945945945946,2026-05-26 00:46:57.562678,2026-05-26 00:46:58.727316,0 days 00:00:01.164638,relu,128,0.004445413618373053,69,96,0.0003037225485203762,AE,1,COMPLETE
14,0.11904761904761904,2026-05-26 00:46:58.727404,2026-05-26 00:47:01.177477,0 days 00:00:02.450073,elu,128,0.009958892700617433,46,58,0.0008140831425896167,VAE,3,COMPLETE
15,0.12589928057553956,2026-05-26 00:47:01.177563,2026-05-26 00:47:02.708703,0 days 00:00:01.531140,relu,128,0.0030372078784035865,56,50,0.00026061061154280613,AE,2,COMPLETE
16,0.16176470588235295,2026-05-26 00:47:02.708786,2026-05-26 00:47:05.403047,0 days 00:00:02.694261,relu,128,0.015364724341348938,48,72,0.0008758438059540198,VAE,3,COMPLETE
17,0.20599250936329588,2026-05-26 00:47:05.403138,2026-05-26 00:47:06.040972,0 days 00:00:00.637834,elu,256,0.0024745686489452616,70,30,0.00011335431394085064,AE,1,COMPLETE
18,0.23411371237458195,2026-05-26 00:47:06.041056,2026-05-26 00:47:07.617327,0 days 00:00:01.576271,tanh,128,0.006810228915282634,33,70,0.001824830902837159,VAE,2,COMPLETE
19,0.11406844106463879,2026-05-26 00:47:07.617424,2026-05-26 00:47:09.975012,0 days 00:00:02.357588,relu,128,0.002148705122261197,65,55,0.0007338180387207324,AE,3,COMPLETE
20,0.19047619047619047,2026-05-26 00:47:09.975104,2026-05-26 00:47:11.138385,0 days 00:00:01.163281,relu,256,0.011545677344941623,78,36,0.00032443851545154297,AE,2,COMPLETE
21,0.27638190954773867,2026-05-26 00:47:11.138469,2026-05-26 00:47:11.908854,0 days 00:00:00.770385,tanh,512,0.021465414037012687,47,86,0.0019143579725940012,AE,3,COMPLETE
22,0.2898550724637681,2026-05-26 00:47:11.908939,2026-05-26 00:47:12.757885,0 days 00:00:00.848946,tanh,512,0.01771304175244072,52,85,0.0006078832014445402,AE,3,COMPLETE
23,0.2887139107611549,2026-05-26 00:47:12.757969,2026-05-26 00:47:13.513900,0 days 00:00:00.755931,tanh,512,0.02013760952665361,39,93,0.0018894184605292835,AE,3,COMPLETE
24,0.17478152309612985,2026-05-26 00:47:13.513984,2026-05-26 00:47:14.001403,0 days 00:00:00.487419,tanh,512,0.0908253205121902,39,96,0.0006575613559592213,AE,2,COMPLETE
