number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.04201680672268908,2026-05-26 00:47:34.005669,2026-05-26 00:47:34.655892,0 days 00:00:00.650223,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:47:34.655976,2026-05-26 00:47:36.396152,0 days 00:00:01.740176,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.0,2026-05-26 00:47:36.396235,2026-05-26 00:47:36.662934,0 days 00:00:00.266699,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:47:36.663014,2026-05-26 00:47:37.522134,0 days 00:00:00.859120,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:47:37.522216,2026-05-26 00:47:37.778110,0 days 00:00:00.255894,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:47:37.778197,2026-05-26 00:47:40.510215,0 days 00:00:02.732018,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.0,2026-05-26 00:47:40.510297,2026-05-26 00:47:42.047651,0 days 00:00:01.537354,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:47:42.047736,2026-05-26 00:47:42.687240,0 days 00:00:00.639504,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.0,2026-05-26 00:47:42.687322,2026-05-26 00:47:43.189601,0 days 00:00:00.502279,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:47:43.189678,2026-05-26 00:47:43.774163,0 days 00:00:00.584485,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.006105006105006105,2026-05-26 00:47:43.774245,2026-05-26 00:47:44.369345,0 days 00:00:00.595100,elu,128,0.12322123000596721,21,4,0.0024015639024822476,AE,3,COMPLETE
11,0.011556240369799691,2026-05-26 00:47:44.369427,2026-05-26 00:47:44.985617,0 days 00:00:00.616190,elu,128,0.19682318636321045,22,4,0.009368289725443905,AE,3,COMPLETE
12,0.011746280344557557,2026-05-26 00:47:44.985695,2026-05-26 00:47:45.624187,0 days 00:00:00.638492,elu,128,0.1988931770252142,22,6,0.009903279067812654,AE,3,COMPLETE
13,0.0,2026-05-26 00:47:45.624267,2026-05-26 00:47:46.209138,0 days 00:00:00.584871,relu,128,0.05871897449015975,46,6,0.009411057326718179,AE,1,COMPLETE
14,0.0070126227208976155,2026-05-26 00:47:46.209215,2026-05-26 00:47:47.435940,0 days 00:00:01.226725,elu,128,0.10221540528889135,31,12,0.00443524437902273,VAE,3,COMPLETE
15,0.0,2026-05-26 00:47:47.436023,2026-05-26 00:47:47.868905,0 days 00:00:00.432882,elu,128,0.008957207827911656,20,6,0.0020799706636213536,AE,2,COMPLETE
16,0.0,2026-05-26 00:47:47.868990,2026-05-26 00:47:50.244587,0 days 00:00:02.375597,elu,128,0.07488525625393126,63,6,0.00514544026375341,VAE,3,COMPLETE
17,0.02401921537229784,2026-05-26 00:47:50.244670,2026-05-26 00:47:50.475550,0 days 00:00:00.230880,relu,256,0.17955437059949633,32,11,0.0005991538986340593,AE,1,COMPLETE
18,0.0,2026-05-26 00:47:50.475635,2026-05-26 00:47:50.992485,0 days 00:00:00.516850,relu,256,0.0303006750204217,36,11,0.0006026808403644524,VAE,1,COMPLETE
19,0.0,2026-05-26 00:47:50.992571,2026-05-26 00:47:51.334214,0 days 00:00:00.341643,relu,256,0.014525200389550668,48,11,0.0008495703359216009,AE,1,COMPLETE
20,0.007072135785007072,2026-05-26 00:47:51.334298,2026-05-26 00:47:51.552765,0 days 00:00:00.218467,relu,256,0.10084824903901522,30,12,0.0004033771521316261,AE,1,COMPLETE
21,0.019290123456790122,2026-05-26 00:47:51.552848,2026-05-26 00:47:51.884580,0 days 00:00:00.331732,elu,256,0.19005199953963597,27,7,0.0019595465017250772,AE,2,COMPLETE
22,0.01049317943336831,2026-05-26 00:47:51.884663,2026-05-26 00:47:52.351815,0 days 00:00:00.467152,elu,256,0.1463611955351749,39,7,0.00025659804065335885,AE,2,COMPLETE
23,0.0,2026-05-26 00:47:52.351900,2026-05-26 00:47:52.679443,0 days 00:00:00.327543,relu,256,0.047737796149355374,27,10,0.0016462293044371872,AE,2,COMPLETE
24,0.00927643784786642,2026-05-26 00:47:52.679524,2026-05-26 00:47:53.158560,0 days 00:00:00.479036,elu,256,0.07507640663519694,37,16,0.0008360620586751697,AE,2,COMPLETE
