number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.0,2026-05-26 00:47:54.118223,2026-05-26 00:47:54.760920,0 days 00:00:00.642697,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:47:54.761001,2026-05-26 00:47:56.483854,0 days 00:00:01.722853,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.0,2026-05-26 00:47:56.483938,2026-05-26 00:47:56.753667,0 days 00:00:00.269729,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:47:56.753752,2026-05-26 00:47:57.621092,0 days 00:00:00.867340,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:47:57.621172,2026-05-26 00:47:57.868794,0 days 00:00:00.247622,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:47:57.868876,2026-05-26 00:48:00.581089,0 days 00:00:02.712213,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.0,2026-05-26 00:48:00.581172,2026-05-26 00:48:02.105842,0 days 00:00:01.524670,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:48:02.105926,2026-05-26 00:48:02.749945,0 days 00:00:00.644019,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.0,2026-05-26 00:48:02.750031,2026-05-26 00:48:03.253147,0 days 00:00:00.503116,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:48:03.253231,2026-05-26 00:48:03.842759,0 days 00:00:00.589528,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.0,2026-05-26 00:48:03.842845,2026-05-26 00:48:04.436262,0 days 00:00:00.593417,elu,128,0.12322123000596721,21,4,0.0024015639024822476,AE,3,COMPLETE
11,0.0,2026-05-26 00:48:04.436345,2026-05-26 00:48:05.714235,0 days 00:00:01.277890,elu,128,0.007472755116646202,58,6,0.0005627866038988346,VAE,1,COMPLETE
12,0.0,2026-05-26 00:48:05.714319,2026-05-26 00:48:07.403051,0 days 00:00:01.688732,relu,128,0.14595678417528474,53,12,0.009897764732502756,VAE,2,COMPLETE
13,0.0,2026-05-26 00:48:07.403133,2026-05-26 00:48:08.060258,0 days 00:00:00.657125,elu,128,0.00891276795886596,20,11,0.0005231691700401225,VAE,2,COMPLETE
14,0.0,2026-05-26 00:48:08.060339,2026-05-26 00:48:09.586275,0 days 00:00:01.525936,relu,128,0.0035960452371579777,69,6,0.0002674701807186936,VAE,1,COMPLETE
15,0.0,2026-05-26 00:48:09.586359,2026-05-26 00:48:11.362878,0 days 00:00:01.776519,elu,128,0.053639538870631255,47,6,0.00191308289449527,VAE,3,COMPLETE
16,0.0,2026-05-26 00:48:11.362963,2026-05-26 00:48:12.226934,0 days 00:00:00.863971,elu,128,0.011591957244710545,27,10,0.0002903114233506278,VAE,2,COMPLETE
17,0.0,2026-05-26 00:48:12.227017,2026-05-26 00:48:12.726184,0 days 00:00:00.499167,relu,256,0.004705027286343948,40,7,0.0010305328378345984,VAE,1,COMPLETE
18,0.0,2026-05-26 00:48:12.726268,2026-05-26 00:48:14.248382,0 days 00:00:01.522114,tanh,128,0.018324082745266566,69,11,0.004286762279964788,AE,2,COMPLETE
19,0.0,2026-05-26 00:48:14.248466,2026-05-26 00:48:15.397694,0 days 00:00:01.149228,elu,128,0.06781341144556877,31,5,0.0008495703359216009,VAE,3,COMPLETE
20,0.0,2026-05-26 00:48:15.397778,2026-05-26 00:48:17.016827,0 days 00:00:01.619049,elu,256,0.03389329263110904,99,8,0.0007044618098406751,VAE,2,COMPLETE
21,0.0,2026-05-26 00:48:17.016914,2026-05-26 00:48:17.300980,0 days 00:00:00.284066,tanh,512,0.020334202403887836,78,4,0.00010138075203298169,AE,1,COMPLETE
22,0.0,2026-05-26 00:48:17.301064,2026-05-26 00:48:17.589415,0 days 00:00:00.288351,tanh,512,0.10212378873597314,75,5,0.00011791553799157608,AE,1,COMPLETE
23,0.0,2026-05-26 00:48:17.589498,2026-05-26 00:48:17.902602,0 days 00:00:00.313104,tanh,512,0.0023541601573579232,87,4,0.00029561947825291,AE,1,COMPLETE
24,0.0,2026-05-26 00:48:17.902690,2026-05-26 00:48:18.738908,0 days 00:00:00.836218,tanh,128,0.03009592110655928,65,7,0.00018454425263625125,AE,1,COMPLETE
