number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.06060606060606061,2026-05-26 00:48:52.355146,2026-05-26 00:48:53.000098,0 days 00:00:00.644952,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.05555555555555555,2026-05-26 00:48:53.000182,2026-05-26 00:48:54.730043,0 days 00:00:01.729861,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.06437768240343347,2026-05-26 00:48:54.730127,2026-05-26 00:48:54.996414,0 days 00:00:00.266287,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:48:54.996496,2026-05-26 00:48:55.858870,0 days 00:00:00.862374,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.05952380952380952,2026-05-26 00:48:55.858954,2026-05-26 00:48:56.108954,0 days 00:00:00.250000,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.05952380952380952,2026-05-26 00:48:56.109034,2026-05-26 00:48:58.855896,0 days 00:00:02.746862,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.026246719160104987,2026-05-26 00:48:58.855979,2026-05-26 00:49:00.390610,0 days 00:00:01.534631,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.05952380952380952,2026-05-26 00:49:00.390693,2026-05-26 00:49:01.028395,0 days 00:00:00.637702,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.049019607843137254,2026-05-26 00:49:01.028476,2026-05-26 00:49:01.527421,0 days 00:00:00.498945,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:49:01.527503,2026-05-26 00:49:02.107215,0 days 00:00:00.579712,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.04297994269340974,2026-05-26 00:49:02.107300,2026-05-26 00:49:02.368675,0 days 00:00:00.261375,relu,512,0.10077649418412096,73,4,0.00011952270129143859,AE,1,COMPLETE
11,0.028225806451612902,2026-05-26 00:49:02.368755,2026-05-26 00:49:02.695737,0 days 00:00:00.326982,elu,128,0.18615803493572494,25,4,0.00027075182847057254,AE,1,COMPLETE
12,0.05813953488372093,2026-05-26 00:49:02.695814,2026-05-26 00:49:03.573175,0 days 00:00:00.877361,elu,128,0.0141916715881578,69,6,0.002393719194281379,AE,1,COMPLETE
13,0.05136986301369863,2026-05-26 00:49:03.573258,2026-05-26 00:49:04.921090,0 days 00:00:01.347832,elu,128,0.03700002596003963,48,6,0.009373336907148542,AE,3,COMPLETE
14,0.06097560975609756,2026-05-26 00:49:04.921176,2026-05-26 00:49:06.038146,0 days 00:00:01.116970,relu,256,0.013931953395884891,79,12,0.000695688742736892,VAE,1,COMPLETE
15,0.10101010101010101,2026-05-26 00:49:06.038229,2026-05-26 00:49:06.578013,0 days 00:00:00.539784,relu,256,0.010733396400370878,80,12,0.0005887056496896425,AE,1,COMPLETE
16,0.037037037037037035,2026-05-26 00:49:06.578097,2026-05-26 00:49:07.236366,0 days 00:00:00.658269,relu,256,0.008951715891117191,97,11,0.00027871612322281794,AE,1,COMPLETE
17,0.05319148936170213,2026-05-26 00:49:07.236450,2026-05-26 00:49:07.689157,0 days 00:00:00.452707,relu,256,0.003421162629363272,66,16,0.00011335431394085064,AE,1,COMPLETE
18,0.07575757575757576,2026-05-26 00:49:07.689239,2026-05-26 00:49:08.004365,0 days 00:00:00.315126,relu,512,0.0191933917412676,83,11,0.0002790631500274694,AE,1,COMPLETE
19,0.03968253968253968,2026-05-26 00:49:08.004449,2026-05-26 00:49:08.593380,0 days 00:00:00.588931,relu,256,0.0073217831433374575,86,11,0.000312898500002544,AE,1,COMPLETE
20,0.04926108374384237,2026-05-26 00:49:08.593464,2026-05-26 00:49:08.815504,0 days 00:00:00.222040,relu,512,0.018737077462055222,56,13,0.0008377744540651991,AE,1,COMPLETE
21,0.06637168141592921,2026-05-26 00:49:08.815585,2026-05-26 00:49:09.105995,0 days 00:00:00.290410,relu,512,0.022816740313846597,76,11,0.00020022706110060776,AE,1,COMPLETE
22,0.10204081632653061,2026-05-26 00:49:09.106077,2026-05-26 00:49:09.446847,0 days 00:00:00.340770,relu,512,0.010977008804395762,90,11,0.00041064867581823975,AE,1,COMPLETE
23,0.03968253968253968,2026-05-26 00:49:09.446930,2026-05-26 00:49:09.814657,0 days 00:00:00.367727,relu,512,0.009037116721738781,100,12,0.0004133248454837366,AE,1,COMPLETE
24,0.056179775280898875,2026-05-26 00:49:09.814739,2026-05-26 00:49:10.142512,0 days 00:00:00.327773,relu,512,0.0024137405864599255,88,10,0.0005611300814150247,AE,1,COMPLETE
