number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.20884520884520885,2026-05-26 00:48:19.692826,2026-05-26 00:48:20.338189,0 days 00:00:00.645363,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.9375,2026-05-26 00:48:20.338275,2026-05-26 00:48:22.092215,0 days 00:00:01.753940,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.508130081300813,2026-05-26 00:48:22.092296,2026-05-26 00:48:22.359538,0 days 00:00:00.267242,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.37037037037037035,2026-05-26 00:48:22.359622,2026-05-26 00:48:23.215570,0 days 00:00:00.855948,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.37037037037037035,2026-05-26 00:48:23.215653,2026-05-26 00:48:23.464655,0 days 00:00:00.249002,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.37037037037037035,2026-05-26 00:48:23.464737,2026-05-26 00:48:26.197249,0 days 00:00:02.732512,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.17114914425427874,2026-05-26 00:48:26.197330,2026-05-26 00:48:27.730541,0 days 00:00:01.533211,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.45454545454545453,2026-05-26 00:48:27.730622,2026-05-26 00:48:28.367012,0 days 00:00:00.636390,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.3977272727272727,2026-05-26 00:48:28.367095,2026-05-26 00:48:28.880141,0 days 00:00:00.513046,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.32710280373831774,2026-05-26 00:48:28.880225,2026-05-26 00:48:29.462334,0 days 00:00:00.582109,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.8928571428571429,2026-05-26 00:48:29.462418,2026-05-26 00:48:31.048726,0 days 00:00:01.586308,relu,128,0.007037214698578187,54,12,0.00042234828989270274,AE,3,COMPLETE
11,0.8865248226950354,2026-05-26 00:48:31.048807,2026-05-26 00:48:32.751775,0 days 00:00:01.702968,relu,128,0.007472755116646202,58,12,0.00048783273187152617,AE,3,COMPLETE
12,0.10818438381937912,2026-05-26 00:48:32.751862,2026-05-26 00:48:34.403958,0 days 00:00:01.652096,relu,128,0.1647720863882698,57,11,0.00044008275954576695,AE,3,COMPLETE
13,0.5327868852459017,2026-05-26 00:48:34.404038,2026-05-26 00:48:35.287064,0 days 00:00:00.883026,relu,128,0.004445413618373053,69,16,0.0003037225485203762,AE,1,COMPLETE
14,0.7615894039735099,2026-05-26 00:48:35.287147,2026-05-26 00:48:37.070519,0 days 00:00:01.783372,elu,128,0.009958892700617433,46,11,0.0008140831425896167,VAE,3,COMPLETE
15,0.7627118644067796,2026-05-26 00:48:37.070604,2026-05-26 00:48:38.225134,0 days 00:00:01.154530,relu,128,0.0030372078784035865,56,6,0.00026061061154280613,AE,2,COMPLETE
16,0.4830917874396135,2026-05-26 00:48:38.225217,2026-05-26 00:48:40.123558,0 days 00:00:01.898341,relu,128,0.015364724341348938,48,13,0.0008758438059540198,VAE,3,COMPLETE
17,0.6896551724137931,2026-05-26 00:48:40.123646,2026-05-26 00:48:40.608519,0 days 00:00:00.484873,elu,256,0.0024745686489452616,70,10,0.00011335431394085064,AE,1,COMPLETE
18,0.8394160583941606,2026-05-26 00:48:40.608606,2026-05-26 00:48:41.627088,0 days 00:00:01.018482,tanh,128,0.006810228915282634,33,6,0.001824830902837159,VAE,2,COMPLETE
19,0.6140350877192983,2026-05-26 00:48:41.627173,2026-05-26 00:48:43.541866,0 days 00:00:01.914693,relu,128,0.002148705122261197,65,12,0.0007338180387207324,AE,3,COMPLETE
20,0.6703910614525139,2026-05-26 00:48:43.541950,2026-05-26 00:48:44.445982,0 days 00:00:00.904032,relu,256,0.011545677344941623,78,10,0.00032443851545154297,AE,2,COMPLETE
21,0.9191176470588235,2026-05-26 00:48:44.446064,2026-05-26 00:48:45.997934,0 days 00:00:01.551870,relu,128,0.006518684064502093,53,12,0.0005466144126306145,AE,3,COMPLETE
22,0.4296875,2026-05-26 00:48:45.998018,2026-05-26 00:48:47.559574,0 days 00:00:01.561556,relu,128,0.005563462746730876,51,14,0.0006232154778476478,AE,3,COMPLETE
23,0.5868544600938967,2026-05-26 00:48:47.559655,2026-05-26 00:48:49.073185,0 days 00:00:01.513530,relu,128,0.01896328019077037,51,12,0.0002461711959852682,AE,3,COMPLETE
24,0.7638888888888888,2026-05-26 00:48:49.073271,2026-05-26 00:48:49.858690,0 days 00:00:00.785419,relu,128,0.00824238680694959,38,8,0.0014780670192679076,AE,2,COMPLETE
