number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.014005602240896359,2026-05-26 00:47:15.316222,2026-05-26 00:47:15.968607,0 days 00:00:00.652385,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:47:15.968689,2026-05-26 00:47:17.684640,0 days 00:00:01.715951,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.0,2026-05-26 00:47:17.684727,2026-05-26 00:47:17.949919,0 days 00:00:00.265192,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:47:17.950001,2026-05-26 00:47:18.813544,0 days 00:00:00.863543,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:47:18.813632,2026-05-26 00:47:19.062449,0 days 00:00:00.248817,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:47:19.062534,2026-05-26 00:47:21.789414,0 days 00:00:02.726880,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.013297872340425532,2026-05-26 00:47:21.789495,2026-05-26 00:47:23.335327,0 days 00:00:01.545832,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:47:23.335410,2026-05-26 00:47:23.976031,0 days 00:00:00.640621,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.021739130434782608,2026-05-26 00:47:23.976113,2026-05-26 00:47:24.478310,0 days 00:00:00.502197,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:47:24.478393,2026-05-26 00:47:25.059200,0 days 00:00:00.580807,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.027359781121751026,2026-05-26 00:47:25.059281,2026-05-26 00:47:25.560234,0 days 00:00:00.500953,relu,512,0.10575392326585599,49,13,0.006536264082965736,AE,3,COMPLETE
11,0.01973164956590371,2026-05-26 00:47:25.560318,2026-05-26 00:47:26.061618,0 days 00:00:00.501300,relu,512,0.19645308261848624,49,13,0.009630451406152308,AE,3,COMPLETE
12,0.00823045267489712,2026-05-26 00:47:26.061699,2026-05-26 00:47:26.498119,0 days 00:00:00.436420,relu,512,0.18138906425931223,44,16,0.009942350225920589,AE,3,COMPLETE
13,0.025728987993138937,2026-05-26 00:47:26.498201,2026-05-26 00:47:27.144588,0 days 00:00:00.646387,relu,512,0.08172527240052033,65,12,0.005055018611657888,AE,3,COMPLETE
14,0.023734177215189875,2026-05-26 00:47:27.144672,2026-05-26 00:47:27.800956,0 days 00:00:00.656284,relu,512,0.09052493862070067,68,11,0.004875404283474267,AE,3,COMPLETE
15,0.02865329512893983,2026-05-26 00:47:27.801040,2026-05-26 00:47:28.744890,0 days 00:00:00.943850,relu,256,0.09798363931446605,59,11,0.0020799706636213536,AE,3,COMPLETE
16,0.0,2026-05-26 00:47:28.744972,2026-05-26 00:47:29.608152,0 days 00:00:00.863180,relu,256,0.010767689742313721,54,11,0.0019263008322842764,AE,3,COMPLETE
17,0.017761989342806393,2026-05-26 00:47:29.608234,2026-05-26 00:47:30.808445,0 days 00:00:01.200211,elu,256,0.08391287970209302,73,11,0.0006384372438358724,AE,3,COMPLETE
18,0.0,2026-05-26 00:47:30.808528,2026-05-26 00:47:31.328750,0 days 00:00:00.520222,relu,256,0.01351600639996428,29,14,0.0020296410204210377,AE,3,COMPLETE
19,0.033200531208499334,2026-05-26 00:47:31.328834,2026-05-26 00:47:31.589925,0 days 00:00:00.261091,relu,256,0.10931895357656121,37,12,0.0008230665238229141,AE,1,COMPLETE
20,0.014925373134328358,2026-05-26 00:47:31.590012,2026-05-26 00:47:31.854603,0 days 00:00:00.264591,relu,256,0.0417725483996843,38,6,0.0008460112408206993,AE,1,COMPLETE
21,0.01770956316410862,2026-05-26 00:47:31.854684,2026-05-26 00:47:32.214436,0 days 00:00:00.359752,relu,256,0.12029082507151827,52,12,0.0016284308471291708,AE,1,COMPLETE
22,0.011890606420927468,2026-05-26 00:47:32.214520,2026-05-26 00:47:32.483507,0 days 00:00:00.268987,relu,256,0.12657716453001677,38,12,0.00031417639113887194,AE,1,COMPLETE
23,0.010121457489878543,2026-05-26 00:47:32.483591,2026-05-26 00:47:33.246966,0 days 00:00:00.763375,relu,256,0.06408488560122244,59,14,0.0008734978590004102,AE,2,COMPLETE
24,0.0,2026-05-26 00:47:33.247047,2026-05-26 00:47:33.599474,0 days 00:00:00.352427,elu,256,0.02639101798255884,28,10,0.00030309256792722297,AE,2,COMPLETE
