number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.25225225225225223,2026-05-26 00:49:46.212634,2026-05-26 00:49:47.042122,0 days 00:00:00.829488,elu,128,0.0483437145318464,21,25,0.0026070247583707684,VAE,2,COMPLETE
1,0.20905923344947736,2026-05-26 00:49:47.042204,2026-05-26 00:49:49.429386,0 days 00:00:02.387182,tanh,128,0.005012686302434879,56,48,0.0005404103854647331,VAE,2,COMPLETE
2,0.2860696517412935,2026-05-26 00:49:49.429470,2026-05-26 00:49:49.789778,0 days 00:00:00.360308,tanh,512,0.025002240473339543,75,17,0.0001567993391672301,AE,1,COMPLETE
3,0.12455516014234876,2026-05-26 00:49:49.789862,2026-05-26 00:49:51.191217,0 days 00:00:01.401355,leaky_relu,512,0.003939675937754723,96,38,0.0035503048581283078,VAE,2,COMPLETE
4,0.09505703422053231,2026-05-26 00:49:51.191298,2026-05-26 00:49:51.660846,0 days 00:00:00.469548,tanh,512,0.0012707770074499693,31,45,0.001217284708112243,VAE,1,COMPLETE
5,0.11450381679389313,2026-05-26 00:49:51.660930,2026-05-26 00:49:55.404611,0 days 00:00:03.743681,tanh,128,0.0010296901472345186,89,72,0.0001705053926026929,AE,3,COMPLETE
6,0.18388791593695272,2026-05-26 00:49:55.404694,2026-05-26 00:49:57.965764,0 days 00:00:02.561070,leaky_relu,256,0.04773596444669527,82,87,0.0013260331922696556,VAE,2,COMPLETE
7,0.11450381679389313,2026-05-26 00:49:57.965846,2026-05-26 00:49:58.899004,0 days 00:00:00.933158,tanh,256,0.0011811892859183053,38,38,0.003244160088734162,VAE,2,COMPLETE
8,0.2364066193853428,2026-05-26 00:49:58.899095,2026-05-26 00:49:59.571513,0 days 00:00:00.672418,tanh,512,0.02867352213261388,45,80,0.006197015748809144,AE,3,COMPLETE
9,0.1509433962264151,2026-05-26 00:49:59.571601,2026-05-26 00:50:00.584901,0 days 00:00:01.013300,leaky_relu,512,0.0010375213943059785,62,47,0.00044300218067679835,VAE,2,COMPLETE
10,0.1447661469933185,2026-05-26 00:50:00.584982,2026-05-26 00:50:00.937897,0 days 00:00:00.352915,relu,512,0.10077649418412096,73,13,0.00011952270129143859,AE,1,COMPLETE
11,0.09695290858725762,2026-05-26 00:50:00.937989,2026-05-26 00:50:01.316431,0 days 00:00:00.378442,elu,128,0.18615803493572494,25,12,0.00027075182847057254,AE,1,COMPLETE
12,0.2932551319648094,2026-05-26 00:50:01.316512,2026-05-26 00:50:02.474235,0 days 00:00:01.157723,elu,128,0.0141916715881578,69,25,0.002393719194281379,AE,1,COMPLETE
13,0.35060975609756095,2026-05-26 00:50:02.474323,2026-05-26 00:50:03.611958,0 days 00:00:01.137635,elu,128,0.012340668299959483,68,25,0.007879160621951932,AE,1,COMPLETE
14,0.35276073619631904,2026-05-26 00:50:03.612043,2026-05-26 00:50:04.626754,0 days 00:00:01.014711,elu,128,0.010741242416261506,57,66,0.008524636948952195,AE,1,COMPLETE
15,0.3767123287671233,2026-05-26 00:50:04.626838,2026-05-26 00:50:05.560484,0 days 00:00:00.933646,elu,128,0.0058873579280515126,53,65,0.009381975721826571,AE,1,COMPLETE
16,0.3951890034364261,2026-05-26 00:50:05.560566,2026-05-26 00:50:06.433307,0 days 00:00:00.872741,elu,128,0.005514936098516104,49,65,0.009006020499939716,AE,1,COMPLETE
17,0.07246376811594203,2026-05-26 00:50:06.433388,2026-05-26 00:50:07.196941,0 days 00:00:00.763553,relu,128,0.0033992038738268667,47,62,0.0055356144906558635,AE,1,COMPLETE
18,0.3872053872053872,2026-05-26 00:50:07.197023,2026-05-26 00:50:07.714353,0 days 00:00:00.517330,elu,256,0.006852714300647529,46,59,0.004246072557261029,AE,1,COMPLETE
19,0.018518518518518517,2026-05-26 00:50:07.714440,2026-05-26 00:50:08.998155,0 days 00:00:01.283715,elu,256,0.0024186714372466944,40,79,0.00450541314624572,AE,3,COMPLETE
20,0.37800687285223367,2026-05-26 00:50:08.998240,2026-05-26 00:50:09.357179,0 days 00:00:00.358939,elu,256,0.007439219536082444,34,56,0.0017430688640419994,AE,1,COMPLETE
21,0.35714285714285715,2026-05-26 00:50:09.357263,2026-05-26 00:50:09.756457,0 days 00:00:00.399194,elu,256,0.00747477457508063,38,56,0.0016284308471291708,AE,1,COMPLETE
22,0.31135531135531136,2026-05-26 00:50:09.756540,2026-05-26 00:50:10.108044,0 days 00:00:00.351504,elu,256,0.0024737303462908145,33,56,0.0018700153562381124,AE,1,COMPLETE
23,0.3547297297297297,2026-05-26 00:50:10.108128,2026-05-26 00:50:10.732999,0 days 00:00:00.624871,elu,256,0.00821463523314021,48,94,0.0007998823187108129,AE,1,COMPLETE
24,0.27472527472527475,2026-05-26 00:50:10.733084,2026-05-26 00:50:11.035342,0 days 00:00:00.302258,relu,256,0.016758148426181868,29,73,0.0040419578455049435,AE,1,COMPLETE
