number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.012953367875647668,2026-05-26 00:50:33.029855,2026-05-26 00:50:33.680765,0 days 00:00:00.650910,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:50:33.680852,2026-05-26 00:50:35.418036,0 days 00:00:01.737184,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.0,2026-05-26 00:50:35.418119,2026-05-26 00:50:35.688423,0 days 00:00:00.270304,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:50:35.688490,2026-05-26 00:50:36.549990,0 days 00:00:00.861500,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:50:36.550070,2026-05-26 00:50:36.810624,0 days 00:00:00.260554,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:50:36.810705,2026-05-26 00:50:39.558634,0 days 00:00:02.747929,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.026881720430107527,2026-05-26 00:50:39.558716,2026-05-26 00:50:41.083342,0 days 00:00:01.524626,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:50:41.083424,2026-05-26 00:50:41.715042,0 days 00:00:00.631618,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.0,2026-05-26 00:50:41.715125,2026-05-26 00:50:42.216406,0 days 00:00:00.501281,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:50:42.216489,2026-05-26 00:50:42.799283,0 days 00:00:00.582794,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.016519823788546256,2026-05-26 00:50:42.799364,2026-05-26 00:50:44.127697,0 days 00:00:01.328333,relu,256,0.12283149759821775,79,16,0.0010784189548339463,AE,3,COMPLETE
11,0.011655011655011656,2026-05-26 00:50:44.127781,2026-05-26 00:50:45.452500,0 days 00:00:01.324719,relu,256,0.19681610895349583,79,16,0.0011782800596762833,AE,3,COMPLETE
12,0.0,2026-05-26 00:50:45.452581,2026-05-26 00:50:46.649331,0 days 00:00:01.196750,relu,256,0.11597071996184175,72,16,0.0005673218931034588,AE,3,COMPLETE
13,0.0072992700729927005,2026-05-26 00:50:46.649413,2026-05-26 00:50:47.240094,0 days 00:00:00.590681,relu,256,0.09383341409991773,87,12,0.0015762498166253984,AE,1,COMPLETE
14,0.0,2026-05-26 00:50:47.240176,2026-05-26 00:50:49.450307,0 days 00:00:02.210131,leaky_relu,256,0.06029062224087544,99,14,0.008524636948952195,VAE,3,COMPLETE
15,0.0,2026-05-26 00:50:49.450389,2026-05-26 00:50:50.255380,0 days 00:00:00.804991,elu,256,0.012168370228090503,65,11,0.00028692756683553643,AE,2,COMPLETE
16,0.017406440382941687,2026-05-26 00:50:50.255464,2026-05-26 00:50:52.213196,0 days 00:00:01.957732,relu,256,0.16600360956361027,84,15,0.0019263008322842764,VAE,3,COMPLETE
17,0.0,2026-05-26 00:50:52.213282,2026-05-26 00:50:53.496758,0 days 00:00:01.283476,leaky_relu,256,0.041301956551987706,88,14,0.0024382691931341136,VAE,1,COMPLETE
18,0.0,2026-05-26 00:50:53.496842,2026-05-26 00:50:54.424834,0 days 00:00:00.927992,relu,256,0.014087730095686282,51,12,0.004930411023631284,VAE,2,COMPLETE
19,0.0182648401826484,2026-05-26 00:50:54.424918,2026-05-26 00:50:56.065901,0 days 00:00:01.640983,leaky_relu,256,0.1663523638123235,71,15,0.0020515762784143765,VAE,3,COMPLETE
20,0.01002004008016032,2026-05-26 00:50:56.065984,2026-05-26 00:50:58.128717,0 days 00:00:02.062733,leaky_relu,128,0.06840163383396601,66,11,0.0007023506259261696,VAE,2,COMPLETE
21,0.015174506828528073,2026-05-26 00:50:58.128800,2026-05-26 00:50:59.951647,0 days 00:00:01.822847,leaky_relu,256,0.19130668416175484,82,14,0.0019045734806339566,VAE,3,COMPLETE
22,0.01443001443001443,2026-05-26 00:50:59.951727,2026-05-26 00:51:01.569902,0 days 00:00:01.618175,leaky_relu,256,0.09432812367735545,71,15,0.000872084858504082,VAE,3,COMPLETE
23,0.019821605550049554,2026-05-26 00:51:01.569985,2026-05-26 00:51:03.737264,0 days 00:00:02.167279,leaky_relu,256,0.1562907082384513,95,15,0.001734161714848398,VAE,3,COMPLETE
24,0.0,2026-05-26 00:51:03.737350,2026-05-26 00:51:05.394543,0 days 00:00:01.657193,leaky_relu,256,0.027909769262619878,92,13,0.0015659129981765215,VAE,2,COMPLETE
