number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.016286644951140065,2026-05-26 00:51:07.617164,2026-05-26 00:51:08.258043,0 days 00:00:00.640879,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:51:08.258125,2026-05-26 00:51:09.992201,0 days 00:00:01.734076,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.02100840336134454,2026-05-26 00:51:09.992282,2026-05-26 00:51:10.262012,0 days 00:00:00.269730,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:51:10.262091,2026-05-26 00:51:11.130355,0 days 00:00:00.868264,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:51:11.130434,2026-05-26 00:51:11.377157,0 days 00:00:00.246723,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:51:11.377239,2026-05-26 00:51:14.113707,0 days 00:00:02.736468,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.0,2026-05-26 00:51:14.113793,2026-05-26 00:51:15.652334,0 days 00:00:01.538541,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:51:15.652414,2026-05-26 00:51:16.295151,0 days 00:00:00.642737,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.03875968992248062,2026-05-26 00:51:16.295232,2026-05-26 00:51:16.798010,0 days 00:00:00.502778,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.05263157894736842,2026-05-26 00:51:16.798093,2026-05-26 00:51:17.381124,0 days 00:00:00.583031,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.0,2026-05-26 00:51:17.381207,2026-05-26 00:51:18.016327,0 days 00:00:00.635120,relu,512,0.00686986633589653,64,12,0.00039914403752583534,AE,3,COMPLETE
11,0.015306122448979591,2026-05-26 00:51:18.016407,2026-05-26 00:51:18.467509,0 days 00:00:00.451102,leaky_relu,512,0.17055393332939364,49,16,0.009630451406152308,AE,3,COMPLETE
12,0.0,2026-05-26 00:51:18.467587,2026-05-26 00:51:19.185006,0 days 00:00:00.717419,elu,512,0.016859079037874456,67,12,0.009942350225920589,AE,3,COMPLETE
13,0.015306122448979591,2026-05-26 00:51:19.185088,2026-05-26 00:51:19.359629,0 days 00:00:00.174541,relu,512,0.14256151056730004,43,11,0.00044862469406657765,AE,1,COMPLETE
14,0.05,2026-05-26 00:51:19.359708,2026-05-26 00:51:20.117751,0 days 00:00:00.758043,leaky_relu,512,0.009012419846197089,57,14,0.0002674701807186936,VAE,3,COMPLETE
15,0.053763440860215055,2026-05-26 00:51:20.117835,2026-05-26 00:51:21.075876,0 days 00:00:00.958041,leaky_relu,256,0.0031931014763616275,58,6,0.0002839889378721044,VAE,2,COMPLETE
16,0.0,2026-05-26 00:51:21.075964,2026-05-26 00:51:22.266688,0 days 00:00:01.190724,leaky_relu,256,0.0027135675840872157,72,6,0.0007434889941563358,VAE,2,COMPLETE
17,0.0,2026-05-26 00:51:22.266773,2026-05-26 00:51:22.923566,0 days 00:00:00.656793,leaky_relu,256,0.002269996499827801,54,6,0.00011335431394085064,VAE,1,COMPLETE
18,0.0,2026-05-26 00:51:22.923651,2026-05-26 00:51:24.143304,0 days 00:00:01.219653,leaky_relu,256,0.001907909165444658,79,4,0.0002790631500274694,VAE,2,COMPLETE
19,0.0,2026-05-26 00:51:24.143390,2026-05-26 00:51:25.229080,0 days 00:00:01.085690,leaky_relu,256,0.004004816644823413,65,7,0.0008795188471333268,VAE,2,COMPLETE
20,0.0,2026-05-26 00:51:25.229168,2026-05-26 00:51:25.713115,0 days 00:00:00.483947,relu,256,0.008507095370042777,34,10,0.0002535446465575637,VAE,1,COMPLETE
21,0.0,2026-05-26 00:51:25.713199,2026-05-26 00:51:26.344990,0 days 00:00:00.631791,leaky_relu,512,0.010460009150089336,59,10,0.00027349292743773763,VAE,2,COMPLETE
22,0.0,2026-05-26 00:51:26.345072,2026-05-26 00:51:26.911835,0 days 00:00:00.566763,leaky_relu,512,0.002147479495747249,52,5,0.00021880271225124104,VAE,3,COMPLETE
23,0.03125,2026-05-26 00:51:26.911920,2026-05-26 00:51:27.463773,0 days 00:00:00.551853,leaky_relu,512,0.014499822590009617,60,8,0.0006032696531203563,VAE,2,COMPLETE
24,0.0,2026-05-26 00:51:27.463856,2026-05-26 00:51:30.151263,0 days 00:00:02.687407,elu,128,0.005546471644571109,70,11,0.00036568430960207446,VAE,3,COMPLETE
