number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.02717391304347826,2026-05-26 00:52:18.380959,2026-05-26 00:52:19.031188,0 days 00:00:00.650229,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:52:19.031269,2026-05-26 00:52:20.752553,0 days 00:00:01.721284,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.020161290322580645,2026-05-26 00:52:20.752635,2026-05-26 00:52:21.023172,0 days 00:00:00.270537,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:52:21.023252,2026-05-26 00:52:21.881946,0 days 00:00:00.858694,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:52:21.882030,2026-05-26 00:52:22.130220,0 days 00:00:00.248190,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.10638297872340426,2026-05-26 00:52:22.130302,2026-05-26 00:52:24.855347,0 days 00:00:02.725045,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.04437869822485207,2026-05-26 00:52:24.855430,2026-05-26 00:52:26.394874,0 days 00:00:01.539444,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:52:26.394956,2026-05-26 00:52:27.037125,0 days 00:00:00.642169,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.06550218340611354,2026-05-26 00:52:27.037206,2026-05-26 00:52:27.536190,0 days 00:00:00.498984,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.10638297872340426,2026-05-26 00:52:27.536271,2026-05-26 00:52:28.119256,0 days 00:00:00.582985,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.0,2026-05-26 00:52:28.119329,2026-05-26 00:52:30.982850,0 days 00:00:02.863521,relu,128,0.00686986633589653,98,12,0.00011952270129143859,AE,3,COMPLETE
11,0.03879310344827586,2026-05-26 00:52:30.982935,2026-05-26 00:52:32.986237,0 days 00:00:02.003302,leaky_relu,128,0.17055393332939364,70,12,0.000333044186672811,AE,3,COMPLETE
12,0.0,2026-05-26 00:52:32.986319,2026-05-26 00:52:33.603827,0 days 00:00:00.617508,elu,512,0.0022867144285208295,58,12,0.0003031208952984398,AE,3,COMPLETE
13,0.09433962264150944,2026-05-26 00:52:33.603911,2026-05-26 00:52:34.687438,0 days 00:00:01.083527,relu,128,0.002088626750965091,85,16,0.0004934276387418646,AE,1,COMPLETE
14,0.10344827586206896,2026-05-26 00:52:34.687520,2026-05-26 00:52:36.120875,0 days 00:00:01.433355,leaky_relu,256,0.010196752879176365,66,13,0.0002071039450265898,VAE,3,COMPLETE
15,0.14018691588785046,2026-05-26 00:52:36.120959,2026-05-26 00:52:36.445268,0 days 00:00:00.324309,leaky_relu,512,0.0024069821024203944,49,11,0.0007098701732564443,AE,2,COMPLETE
16,0.0,2026-05-26 00:52:36.445350,2026-05-26 00:52:37.749557,0 days 00:00:01.304207,relu,128,0.002623375996014041,45,11,0.0008579060155833041,AE,3,COMPLETE
17,0.10344827586206896,2026-05-26 00:52:37.749641,2026-05-26 00:52:38.397489,0 days 00:00:00.647848,elu,128,0.01071965980760778,49,14,0.0008715549946139138,AE,1,COMPLETE
18,0.14018691588785046,2026-05-26 00:52:38.397572,2026-05-26 00:52:38.907448,0 days 00:00:00.509876,leaky_relu,512,0.001903614661937842,79,11,0.00021286833927395554,AE,2,COMPLETE
19,0.08695652173913043,2026-05-26 00:52:38.907531,2026-05-26 00:52:39.390573,0 days 00:00:00.483042,leaky_relu,512,0.00405166783969849,75,10,0.0020515762784143765,AE,2,COMPLETE
20,0.14018691588785046,2026-05-26 00:52:39.390659,2026-05-26 00:52:39.593122,0 days 00:00:00.202463,leaky_relu,512,0.0020346555205792666,54,6,0.00024187819171037327,AE,1,COMPLETE
21,0.14018691588785046,2026-05-26 00:52:39.593208,2026-05-26 00:52:39.785250,0 days 00:00:00.192042,leaky_relu,512,0.0022763338436343652,52,6,0.00010194324645658024,AE,1,COMPLETE
22,0.14018691588785046,2026-05-26 00:52:39.785336,2026-05-26 00:52:40.014989,0 days 00:00:00.229653,leaky_relu,512,0.0017226452047059584,63,6,0.00025659804065335885,AE,1,COMPLETE
23,0.14018691588785046,2026-05-26 00:52:40.015078,2026-05-26 00:52:40.214190,0 days 00:00:00.199112,leaky_relu,512,0.003072954922087056,33,4,0.0005040749871390929,AE,2,COMPLETE
24,0.14018691588785046,2026-05-26 00:52:40.214272,2026-05-26 00:52:40.490406,0 days 00:00:00.276134,leaky_relu,512,0.005546471644571109,41,11,0.00022025346763151503,AE,2,COMPLETE
