number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.025252525252525252,2026-05-26 00:51:57.157153,2026-05-26 00:51:57.807711,0 days 00:00:00.650558,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:51:57.807793,2026-05-26 00:51:59.534585,0 days 00:00:01.726792,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.01893939393939394,2026-05-26 00:51:59.534671,2026-05-26 00:51:59.801801,0 days 00:00:00.267130,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:51:59.801881,2026-05-26 00:52:00.658348,0 days 00:00:00.856467,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:52:00.658431,2026-05-26 00:52:00.904461,0 days 00:00:00.246030,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:52:00.904541,2026-05-26 00:52:03.618095,0 days 00:00:02.713554,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.012254901960784314,2026-05-26 00:52:03.618177,2026-05-26 00:52:05.147131,0 days 00:00:01.528954,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:52:05.147214,2026-05-26 00:52:05.790345,0 days 00:00:00.643131,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.0,2026-05-26 00:52:05.790427,2026-05-26 00:52:06.300309,0 days 00:00:00.509882,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:52:06.300391,2026-05-26 00:52:06.883817,0 days 00:00:00.583426,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.017123287671232876,2026-05-26 00:52:06.883898,2026-05-26 00:52:07.470054,0 days 00:00:00.586156,elu,128,0.12322123000596721,21,4,0.0024015639024822476,AE,3,COMPLETE
11,0.0,2026-05-26 00:52:07.470135,2026-05-26 00:52:08.435934,0 days 00:00:00.965799,elu,128,0.018600002218910443,76,4,0.00012705576792295238,AE,1,COMPLETE
12,0.025210084033613446,2026-05-26 00:52:08.436015,2026-05-26 00:52:08.689350,0 days 00:00:00.253335,relu,512,0.09676132061522018,69,6,0.009897764732502756,AE,1,COMPLETE
13,0.016220600162206,2026-05-26 00:52:08.689429,2026-05-26 00:52:09.461978,0 days 00:00:00.772549,relu,128,0.19150923155473648,61,6,0.009410983175974098,AE,1,COMPLETE
14,0.010752688172043012,2026-05-26 00:52:09.462060,2026-05-26 00:52:10.157075,0 days 00:00:00.695015,relu,256,0.06594265388592624,49,12,0.006381818525773906,VAE,1,COMPLETE
15,0.009416195856873822,2026-05-26 00:52:10.157159,2026-05-26 00:52:10.242994,0 days 00:00:00.085835,relu,512,0.07719148950017202,21,6,0.0020799706636213536,AE,1,COMPLETE
16,0.0,2026-05-26 00:52:10.243076,2026-05-26 00:52:12.904577,0 days 00:00:02.661501,elu,128,0.010767689742313721,71,6,0.0051455364005536346,VAE,3,COMPLETE
17,0.0,2026-05-26 00:52:12.904660,2026-05-26 00:52:13.661409,0 days 00:00:00.756749,elu,128,0.0416666774493652,34,11,0.009082400987627238,AE,2,COMPLETE
18,0.018963337547408345,2026-05-26 00:52:13.661491,2026-05-26 00:52:14.173079,0 days 00:00:00.511588,relu,512,0.12780864584921658,66,7,0.0004371993126708938,VAE,1,COMPLETE
19,0.03048780487804878,2026-05-26 00:52:14.173162,2026-05-26 00:52:14.747813,0 days 00:00:00.574651,elu,256,0.010706047420152767,52,5,0.0007013533699707636,AE,2,COMPLETE
20,0.03496503496503497,2026-05-26 00:52:14.747897,2026-05-26 00:52:15.282826,0 days 00:00:00.534929,elu,256,0.008507095370042777,48,5,0.0007380840728425989,AE,2,COMPLETE
21,0.034013605442176874,2026-05-26 00:52:15.282905,2026-05-26 00:52:15.853338,0 days 00:00:00.570433,elu,256,0.008452943747840785,51,5,0.0007363433821896855,AE,2,COMPLETE
22,0.033783783783783786,2026-05-26 00:52:15.853417,2026-05-26 00:52:16.423520,0 days 00:00:00.570103,elu,256,0.009163296580920076,51,5,0.000872084858504082,AE,2,COMPLETE
23,0.0,2026-05-26 00:52:16.423605,2026-05-26 00:52:16.937403,0 days 00:00:00.513798,elu,256,0.006054141632755807,43,5,0.00029561947825291,AE,2,COMPLETE
24,0.0,2026-05-26 00:52:16.937489,2026-05-26 00:52:17.595753,0 days 00:00:00.658264,elu,256,0.0029361549386651277,55,7,0.0008967635542730236,AE,2,COMPLETE
