number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.2459016393442623,2026-05-26 00:51:31.531993,2026-05-26 00:51:32.182442,0 days 00:00:00.650449,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.873015873015873,2026-05-26 00:51:32.182527,2026-05-26 00:51:33.912343,0 days 00:00:01.729816,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.42435424354243545,2026-05-26 00:51:33.912424,2026-05-26 00:51:34.181045,0 days 00:00:00.268621,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.45081967213114754,2026-05-26 00:51:34.181124,2026-05-26 00:51:35.037357,0 days 00:00:00.856233,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.5339805825242718,2026-05-26 00:51:35.037437,2026-05-26 00:51:35.283669,0 days 00:00:00.246232,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.4,2026-05-26 00:51:35.283746,2026-05-26 00:51:38.003831,0 days 00:00:02.720085,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.32670454545454547,2026-05-26 00:51:38.003914,2026-05-26 00:51:39.549667,0 days 00:00:01.545753,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.49019607843137253,2026-05-26 00:51:39.549751,2026-05-26 00:51:40.188308,0 days 00:00:00.638557,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.3924914675767918,2026-05-26 00:51:40.188387,2026-05-26 00:51:40.699232,0 days 00:00:00.510845,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.4,2026-05-26 00:51:40.699315,2026-05-26 00:51:41.275138,0 days 00:00:00.575823,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.8041958041958042,2026-05-26 00:51:41.275220,2026-05-26 00:51:42.864057,0 days 00:00:01.588837,relu,128,0.007037214698578187,54,12,0.00042234828989270274,AE,3,COMPLETE
11,0.7876712328767124,2026-05-26 00:51:42.864140,2026-05-26 00:51:44.595852,0 days 00:00:01.731712,relu,128,0.007472755116646202,58,12,0.00048783273187152617,AE,3,COMPLETE
12,0.08875739644970414,2026-05-26 00:51:44.595934,2026-05-26 00:51:46.241525,0 days 00:00:01.645591,relu,128,0.1647720863882698,57,11,0.00044008275954576695,AE,3,COMPLETE
13,0.38461538461538464,2026-05-26 00:51:46.241604,2026-05-26 00:51:47.126499,0 days 00:00:00.884895,relu,128,0.004445413618373053,69,16,0.0003037225485203762,AE,1,COMPLETE
14,0.4,2026-05-26 00:51:47.126579,2026-05-26 00:51:48.914877,0 days 00:00:01.788298,elu,128,0.009958892700617433,46,11,0.0008140831425896167,VAE,3,COMPLETE
15,0.6637168141592921,2026-05-26 00:51:48.914963,2026-05-26 00:51:50.073640,0 days 00:00:01.158677,relu,128,0.0030372078784035865,56,6,0.00026061061154280613,AE,2,COMPLETE
16,0.48223350253807107,2026-05-26 00:51:50.073724,2026-05-26 00:51:51.954288,0 days 00:00:01.880564,relu,128,0.015364724341348938,48,13,0.0008758438059540198,VAE,3,COMPLETE
17,0.8928571428571429,2026-05-26 00:51:51.954374,2026-05-26 00:51:52.449146,0 days 00:00:00.494772,elu,256,0.0024745686489452616,70,10,0.00011335431394085064,AE,1,COMPLETE
18,0.8181818181818182,2026-05-26 00:51:52.449228,2026-05-26 00:51:53.353552,0 days 00:00:00.904324,elu,256,0.00226624359536387,75,6,0.00014595191879517765,VAE,1,COMPLETE
19,0.8181818181818182,2026-05-26 00:51:53.353638,2026-05-26 00:51:53.805982,0 days 00:00:00.452344,elu,256,0.002148705122261197,65,10,0.0002318953800811713,AE,1,COMPLETE
20,0.9349593495934959,2026-05-26 00:51:53.806065,2026-05-26 00:51:54.315561,0 days 00:00:00.509496,elu,256,0.005264527554927273,74,7,0.0001283062533789438,AE,1,COMPLETE
21,0.905511811023622,2026-05-26 00:51:54.315644,2026-05-26 00:51:54.813669,0 days 00:00:00.498025,elu,256,0.005151122545015991,73,7,0.00010135043004793427,AE,1,COMPLETE
22,0.5963302752293578,2026-05-26 00:51:54.813749,2026-05-26 00:51:55.359730,0 days 00:00:00.545981,elu,256,0.002073066807601025,83,4,0.00010721952131304654,AE,1,COMPLETE
23,0.6497175141242938,2026-05-26 00:51:55.359816,2026-05-26 00:51:55.860620,0 days 00:00:00.500804,elu,256,0.011786012205567324,73,7,0.00010836633017168265,AE,1,COMPLETE
24,0.7094594594594594,2026-05-26 00:51:55.860700,2026-05-26 00:51:56.404805,0 days 00:00:00.544105,elu,256,0.006368166400769533,80,5,0.00018454425263625125,AE,1,COMPLETE
