number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.014204545454545454,2026-05-26 00:50:12.309457,2026-05-26 00:50:12.950236,0 days 00:00:00.640779,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:50:12.950320,2026-05-26 00:50:14.683157,0 days 00:00:01.732837,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.0,2026-05-26 00:50:14.683242,2026-05-26 00:50:14.950290,0 days 00:00:00.267048,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:50:14.950367,2026-05-26 00:50:15.816984,0 days 00:00:00.866617,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:50:15.817068,2026-05-26 00:50:16.065970,0 days 00:00:00.248902,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:50:16.066052,2026-05-26 00:50:18.792128,0 days 00:00:02.726076,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.0,2026-05-26 00:50:18.792209,2026-05-26 00:50:20.317466,0 days 00:00:01.525257,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:50:20.317550,2026-05-26 00:50:20.958341,0 days 00:00:00.640791,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.02,2026-05-26 00:50:20.958419,2026-05-26 00:50:21.456072,0 days 00:00:00.497653,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:50:21.456154,2026-05-26 00:50:22.038576,0 days 00:00:00.582422,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.013089005235602094,2026-05-26 00:50:22.038659,2026-05-26 00:50:22.537260,0 days 00:00:00.498601,relu,512,0.10575392326585599,49,13,0.006536264082965736,AE,3,COMPLETE
11,0.012175324675324676,2026-05-26 00:50:22.537340,2026-05-26 00:50:23.178346,0 days 00:00:00.641006,elu,128,0.18814689294755788,23,4,0.009368289725443905,AE,3,COMPLETE
12,0.0,2026-05-26 00:50:23.178426,2026-05-26 00:50:24.469293,0 days 00:00:01.290867,elu,128,0.021393852586710695,41,16,0.0030192773698210123,AE,3,COMPLETE
13,0.011441647597254004,2026-05-26 00:50:24.469377,2026-05-26 00:50:24.739413,0 days 00:00:00.270036,elu,128,0.05409933467826836,20,6,0.004949803508622671,AE,1,COMPLETE
14,0.0,2026-05-26 00:50:24.739494,2026-05-26 00:50:26.138374,0 days 00:00:01.398880,relu,256,0.007818612252713731,64,12,0.002307808464294826,VAE,3,COMPLETE
15,0.0,2026-05-26 00:50:26.138455,2026-05-26 00:50:26.398037,0 days 00:00:00.259582,elu,512,0.053639538870631255,35,11,0.00191308289449527,AE,2,COMPLETE
16,0.0,2026-05-26 00:50:26.398119,2026-05-26 00:50:28.270621,0 days 00:00:01.872502,elu,128,0.01369133982897837,50,6,0.009006020499939716,VAE,3,COMPLETE
17,0.0,2026-05-26 00:50:28.270705,2026-05-26 00:50:28.658977,0 days 00:00:00.388272,relu,128,0.0296594626649158,29,15,0.0005991538986340593,AE,1,COMPLETE
18,0.007309941520467836,2026-05-26 00:50:28.659058,2026-05-26 00:50:29.141714,0 days 00:00:00.482656,tanh,512,0.09986296625228912,46,6,0.00509605732702264,VAE,2,COMPLETE
19,0.0,2026-05-26 00:50:29.141800,2026-05-26 00:50:30.027709,0 days 00:00:00.885909,elu,256,0.010706047420152767,72,11,0.0008495703359216009,AE,2,COMPLETE
20,0.0,2026-05-26 00:50:30.027792,2026-05-26 00:50:30.338093,0 days 00:00:00.310301,elu,512,0.036993210164311216,27,14,0.0015632368259953123,AE,3,COMPLETE
21,0.01440922190201729,2026-05-26 00:50:30.338180,2026-05-26 00:50:30.867569,0 days 00:00:00.529389,relu,512,0.10006326425153785,52,13,0.006505401645249359,AE,3,COMPLETE
22,0.007204610951008645,2026-05-26 00:50:30.867657,2026-05-26 00:50:31.410163,0 days 00:00:00.542506,relu,512,0.09819706388390637,54,13,0.005676076056081961,AE,3,COMPLETE
23,0.004149377593360996,2026-05-26 00:50:31.410251,2026-05-26 00:50:31.829953,0 days 00:00:00.419702,relu,512,0.17232438990984925,43,16,0.0038400155780415725,AE,3,COMPLETE
24,0.025295109612141653,2026-05-26 00:50:31.830036,2026-05-26 00:50:32.309946,0 days 00:00:00.479910,relu,512,0.08627456451008729,71,11,0.0024045458320574725,AE,2,COMPLETE
