number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.22388059701492538,2026-05-26 00:52:47.823914,2026-05-26 00:52:48.656499,0 days 00:00:00.832585,elu,128,0.0483437145318464,21,25,0.0026070247583707684,VAE,2,COMPLETE
1,0.28776978417266186,2026-05-26 00:52:48.656580,2026-05-26 00:52:51.051334,0 days 00:00:02.394754,tanh,128,0.005012686302434879,56,48,0.0005404103854647331,VAE,2,COMPLETE
2,0.24875621890547264,2026-05-26 00:52:51.051417,2026-05-26 00:52:51.413274,0 days 00:00:00.361857,tanh,512,0.025002240473339543,75,17,0.0001567993391672301,AE,1,COMPLETE
3,0.18050541516245489,2026-05-26 00:52:51.413355,2026-05-26 00:52:52.821149,0 days 00:00:01.407794,leaky_relu,512,0.003939675937754723,96,38,0.0035503048581283078,VAE,2,COMPLETE
4,0.09505703422053231,2026-05-26 00:52:52.821234,2026-05-26 00:52:53.292204,0 days 00:00:00.470970,tanh,512,0.0012707770074499693,31,45,0.001217284708112243,VAE,1,COMPLETE
5,0.09615384615384616,2026-05-26 00:52:53.292285,2026-05-26 00:52:56.989904,0 days 00:00:03.697619,tanh,128,0.0010296901472345186,89,72,0.0001705053926026929,AE,3,COMPLETE
6,0.19056261343012704,2026-05-26 00:52:56.989984,2026-05-26 00:52:59.560000,0 days 00:00:02.570016,leaky_relu,256,0.04773596444669527,82,87,0.0013260331922696556,VAE,2,COMPLETE
7,0.11627906976744186,2026-05-26 00:52:59.560092,2026-05-26 00:53:00.499722,0 days 00:00:00.939630,tanh,256,0.0011811892859183053,38,38,0.003244160088734162,VAE,2,COMPLETE
8,0.16470588235294117,2026-05-26 00:53:00.499807,2026-05-26 00:53:01.178148,0 days 00:00:00.678341,tanh,512,0.02867352213261388,45,80,0.006197015748809144,AE,3,COMPLETE
9,0.13409961685823754,2026-05-26 00:53:01.178238,2026-05-26 00:53:02.192057,0 days 00:00:01.013819,leaky_relu,512,0.0010375213943059785,62,47,0.00044300218067679835,VAE,2,COMPLETE
10,0.29411764705882354,2026-05-26 00:53:02.192152,2026-05-26 00:53:04.189440,0 days 00:00:01.997288,relu,128,0.007037214698578187,54,62,0.00042234828989270274,AE,3,COMPLETE
11,0.3103448275862069,2026-05-26 00:53:04.189522,2026-05-26 00:53:06.274051,0 days 00:00:02.084529,relu,128,0.007472755116646202,58,64,0.00048783273187152617,AE,3,COMPLETE
12,0.10439970171513796,2026-05-26 00:53:06.274133,2026-05-26 00:53:08.851899,0 days 00:00:02.577766,relu,128,0.16750810785414832,64,66,0.00036871210444067176,AE,3,COMPLETE
13,0.23648648648648649,2026-05-26 00:53:08.851985,2026-05-26 00:53:10.698303,0 days 00:00:01.846318,relu,128,0.005717302929627519,50,59,0.0002970796305105633,AE,3,COMPLETE
14,0.1791530944625407,2026-05-26 00:53:10.698389,2026-05-26 00:53:13.711876,0 days 00:00:03.013487,relu,128,0.00950804784337578,70,96,0.0006841050755383657,AE,3,COMPLETE
15,0.2727272727272727,2026-05-26 00:53:13.711959,2026-05-26 00:53:15.267316,0 days 00:00:01.555357,relu,128,0.011653348373171333,42,62,0.00027533388675592265,AE,3,COMPLETE
16,0.09293680297397769,2026-05-26 00:53:15.267400,2026-05-26 00:53:17.545048,0 days 00:00:02.277648,relu,128,0.0026806358760135527,55,74,0.0008920351022966179,AE,3,COMPLETE
17,0.22556390977443608,2026-05-26 00:53:17.545132,2026-05-26 00:53:19.414389,0 days 00:00:01.869257,elu,256,0.0026682599023302614,73,55,0.00011335431394085064,AE,3,COMPLETE
18,0.25477707006369427,2026-05-26 00:53:19.414480,2026-05-26 00:53:20.794743,0 days 00:00:01.380263,relu,128,0.007898650314833413,32,84,0.001798206872845896,AE,3,COMPLETE
19,0.2423469387755102,2026-05-26 00:53:20.794826,2026-05-26 00:53:21.629057,0 days 00:00:00.834231,relu,128,0.023454449124115286,50,67,0.0002192413951538929,AE,1,COMPLETE
20,0.11164274322169059,2026-05-26 00:53:21.629144,2026-05-26 00:53:22.957515,0 days 00:00:01.328371,relu,256,0.164465274525941,66,29,0.0007655212904738882,AE,3,COMPLETE
21,0.2,2026-05-26 00:53:22.957601,2026-05-26 00:53:25.566820,0 days 00:00:02.609219,elu,128,0.005151122545015991,59,48,0.0005200912376242344,VAE,2,COMPLETE
22,0.16981132075471697,2026-05-26 00:53:25.566911,2026-05-26 00:53:28.107649,0 days 00:00:02.540738,tanh,128,0.002532031192671976,54,54,0.0006232154778476478,VAE,2,COMPLETE
23,0.22988505747126436,2026-05-26 00:53:28.107734,2026-05-26 00:53:31.651097,0 days 00:00:03.543363,relu,128,0.015498712501102343,79,56,0.0004248930152657078,VAE,2,COMPLETE
24,0.23728813559322035,2026-05-26 00:53:31.651193,2026-05-26 00:53:33.144787,0 days 00:00:01.493594,relu,128,0.006161095500978145,56,39,0.000254270787745291,AE,2,COMPLETE
