number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.024630541871921183,2026-05-26 00:53:54.071343,2026-05-26 00:53:54.720082,0 days 00:00:00.648739,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:53:54.720162,2026-05-26 00:53:56.460252,0 days 00:00:01.740090,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.019762845849802372,2026-05-26 00:53:56.460334,2026-05-26 00:53:56.734350,0 days 00:00:00.274016,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:53:56.734431,2026-05-26 00:53:57.620807,0 days 00:00:00.886376,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:53:57.620890,2026-05-26 00:53:57.874638,0 days 00:00:00.253748,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:53:57.874723,2026-05-26 00:54:00.617283,0 days 00:00:02.742560,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.015337423312883436,2026-05-26 00:54:00.617368,2026-05-26 00:54:02.152796,0 days 00:00:01.535428,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:54:02.152878,2026-05-26 00:54:02.791816,0 days 00:00:00.638938,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.03424657534246575,2026-05-26 00:54:02.791900,2026-05-26 00:54:03.306805,0 days 00:00:00.514905,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:54:03.306890,2026-05-26 00:54:03.893629,0 days 00:00:00.586739,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.020026702269692925,2026-05-26 00:54:03.893711,2026-05-26 00:54:04.394014,0 days 00:00:00.500303,relu,512,0.10575392326585599,49,13,0.006536264082965736,AE,3,COMPLETE
11,0.02633559066967645,2026-05-26 00:54:04.394096,2026-05-26 00:54:05.041151,0 days 00:00:00.647055,elu,128,0.18814689294755788,23,4,0.009368289725443905,AE,3,COMPLETE
12,0.02243829468960359,2026-05-26 00:54:05.041229,2026-05-26 00:54:05.682635,0 days 00:00:00.641406,elu,128,0.19850070315354343,21,12,0.009942350225920589,AE,3,COMPLETE
13,0.0273224043715847,2026-05-26 00:54:05.682715,2026-05-26 00:54:07.031071,0 days 00:00:01.348356,elu,128,0.011658746850967924,43,16,0.009633533270805659,AE,3,COMPLETE
14,0.0,2026-05-26 00:54:07.031153,2026-05-26 00:54:07.684969,0 days 00:00:00.653816,relu,256,0.010230282176765117,38,16,0.005405352808578996,AE,3,COMPLETE
15,0.0,2026-05-26 00:54:07.685052,2026-05-26 00:54:08.217458,0 days 00:00:00.532406,elu,512,0.012063652780282751,47,15,0.0020799706636213536,AE,3,COMPLETE
16,0.04310344827586207,2026-05-26 00:54:08.217538,2026-05-26 00:54:10.270446,0 days 00:00:02.052908,elu,128,0.023685283562398126,67,12,0.004581354448575277,AE,3,COMPLETE
17,0.018050541516245487,2026-05-26 00:54:10.270528,2026-05-26 00:54:10.934252,0 days 00:00:00.663724,relu,512,0.02816070800929167,69,11,0.004406305497107101,AE,3,COMPLETE
18,0.018726591760299626,2026-05-26 00:54:10.934334,2026-05-26 00:54:11.804075,0 days 00:00:00.869741,tanh,128,0.025919415103306725,65,14,0.001798206872845896,AE,1,COMPLETE
19,0.026785714285714284,2026-05-26 00:54:11.804158,2026-05-26 00:54:12.719022,0 days 00:00:00.914864,elu,256,0.06781341144556877,55,11,0.0007914149457269037,AE,3,COMPLETE
20,0.0,2026-05-26 00:54:12.719105,2026-05-26 00:54:13.244596,0 days 00:00:00.525491,elu,512,0.005040118359845308,71,13,0.005602582626276587,AE,2,COMPLETE
21,0.0,2026-05-26 00:54:13.244679,2026-05-26 00:54:14.637777,0 days 00:00:01.393098,elu,128,0.014785654905288027,44,16,0.008427665252289994,AE,3,COMPLETE
22,0.02304147465437788,2026-05-26 00:54:14.637862,2026-05-26 00:54:15.699517,0 days 00:00:01.061655,elu,128,0.01739014673307105,34,14,0.006453496136889942,AE,3,COMPLETE
23,0.0,2026-05-26 00:54:15.699602,2026-05-26 00:54:17.413053,0 days 00:00:01.713451,elu,128,0.0029299480670204672,55,15,0.004103303092553766,AE,3,COMPLETE
24,0.0,2026-05-26 00:54:17.413136,2026-05-26 00:54:18.929020,0 days 00:00:01.515884,elu,128,0.006967555678933905,50,12,0.0028541389170984735,AE,3,COMPLETE
