number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.0,2026-05-26 00:54:21.820752,2026-05-26 00:54:22.471841,0 days 00:00:00.651089,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:54:22.471923,2026-05-26 00:54:24.219959,0 days 00:00:01.748036,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.0,2026-05-26 00:54:24.220041,2026-05-26 00:54:24.498462,0 days 00:00:00.278421,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:54:24.498545,2026-05-26 00:54:25.371376,0 days 00:00:00.872831,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:54:25.371458,2026-05-26 00:54:25.618532,0 days 00:00:00.247074,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:54:25.618618,2026-05-26 00:54:28.350350,0 days 00:00:02.731732,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.028011204481792718,2026-05-26 00:54:28.350431,2026-05-26 00:54:29.883508,0 days 00:00:01.533077,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:54:29.883593,2026-05-26 00:54:30.523886,0 days 00:00:00.640293,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.0,2026-05-26 00:54:30.523965,2026-05-26 00:54:31.041603,0 days 00:00:00.517638,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:54:31.041687,2026-05-26 00:54:31.624353,0 days 00:00:00.582666,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.013386880856760375,2026-05-26 00:54:31.624436,2026-05-26 00:54:32.936628,0 days 00:00:01.312192,relu,256,0.12283149759821775,79,16,0.0010784189548339463,AE,3,COMPLETE
11,0.012919896640826873,2026-05-26 00:54:32.936710,2026-05-26 00:54:34.267657,0 days 00:00:01.330947,relu,256,0.19681610895349583,79,16,0.0011782800596762833,AE,3,COMPLETE
12,0.01366120218579235,2026-05-26 00:54:34.267739,2026-05-26 00:54:35.481434,0 days 00:00:01.213695,relu,256,0.11597071996184175,72,16,0.0005673218931034588,AE,3,COMPLETE
13,0.0,2026-05-26 00:54:35.481514,2026-05-26 00:54:35.924944,0 days 00:00:00.443430,relu,256,0.09178251316143031,65,12,0.00039172626355711256,AE,1,COMPLETE
14,0.0,2026-05-26 00:54:35.925027,2026-05-26 00:54:38.136580,0 days 00:00:02.211553,leaky_relu,256,0.06029062224087544,99,14,0.0006404300621365109,VAE,3,COMPLETE
15,0.058823529411764705,2026-05-26 00:54:38.136662,2026-05-26 00:54:39.014734,0 days 00:00:00.878072,elu,256,0.01166835237592401,71,11,0.0020799706636213536,AE,2,COMPLETE
16,0.07194244604316546,2026-05-26 00:54:39.014820,2026-05-26 00:54:40.562979,0 days 00:00:01.548159,elu,256,0.009610407395629385,86,11,0.0019263008322842764,VAE,2,COMPLETE
17,0.0,2026-05-26 00:54:40.563063,2026-05-26 00:54:41.181115,0 days 00:00:00.618052,elu,256,0.008941563938345425,89,11,0.00876104639097135,AE,1,COMPLETE
18,0.09900990099009901,2026-05-26 00:54:41.181197,2026-05-26 00:54:42.379820,0 days 00:00:01.198623,elu,256,0.012079367618618999,66,11,0.0020296410204210377,VAE,2,COMPLETE
19,0.0,2026-05-26 00:54:42.379909,2026-05-26 00:54:43.280752,0 days 00:00:00.900843,elu,256,0.005359438924550721,50,11,0.00450541314624572,VAE,2,COMPLETE
20,0.0,2026-05-26 00:54:43.280834,2026-05-26 00:54:45.216257,0 days 00:00:01.935423,elu,128,0.0029691193590004375,88,6,0.0018596748516002942,VAE,1,COMPLETE
21,0.08547008547008547,2026-05-26 00:54:45.216339,2026-05-26 00:54:46.431497,0 days 00:00:01.215158,elu,256,0.012303299091233129,67,11,0.002129676056363254,VAE,2,COMPLETE
22,0.0970873786407767,2026-05-26 00:54:46.431582,2026-05-26 00:54:47.448236,0 days 00:00:01.016654,elu,256,0.019232516867093104,55,12,0.0015634692717182068,VAE,2,COMPLETE
23,0.10101010101010101,2026-05-26 00:54:47.448319,2026-05-26 00:54:48.487528,0 days 00:00:01.039209,elu,256,0.016480727407732213,55,13,0.005095923961315423,VAE,2,COMPLETE
24,0.10204081632653061,2026-05-26 00:54:48.487615,2026-05-26 00:54:49.531101,0 days 00:00:01.043486,elu,256,0.021313263489967055,55,13,0.004764155502235501,VAE,2,COMPLETE
