number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.012658227848101266,2026-05-26 00:55:47.808967,2026-05-26 00:55:48.461417,0 days 00:00:00.652450,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.04201680672268908,2026-05-26 00:55:48.461500,2026-05-26 00:55:50.187360,0 days 00:00:01.725860,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.019230769230769232,2026-05-26 00:55:50.187443,2026-05-26 00:55:50.457502,0 days 00:00:00.270059,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0423728813559322,2026-05-26 00:55:50.457583,2026-05-26 00:55:51.321366,0 days 00:00:00.863783,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.05102040816326531,2026-05-26 00:55:51.321452,2026-05-26 00:55:51.568301,0 days 00:00:00.246849,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.052083333333333336,2026-05-26 00:55:51.568384,2026-05-26 00:55:54.303764,0 days 00:00:02.735380,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.01288659793814433,2026-05-26 00:55:54.303849,2026-05-26 00:55:55.832532,0 days 00:00:01.528683,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.052083333333333336,2026-05-26 00:55:55.832617,2026-05-26 00:55:56.469498,0 days 00:00:00.636881,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.01953125,2026-05-26 00:55:56.469579,2026-05-26 00:55:56.969448,0 days 00:00:00.499869,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.052083333333333336,2026-05-26 00:55:56.969532,2026-05-26 00:55:57.547703,0 days 00:00:00.578171,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.036231884057971016,2026-05-26 00:55:57.547786,2026-05-26 00:56:00.453311,0 days 00:00:02.905525,relu,128,0.00686986633589653,98,12,0.00011952270129143859,AE,3,COMPLETE
11,0.00832639467110741,2026-05-26 00:56:00.453395,2026-05-26 00:56:01.216163,0 days 00:00:00.762768,tanh,256,0.16836147455956116,41,12,0.00038412885435497784,AE,3,COMPLETE
12,0.04854368932038835,2026-05-26 00:56:01.216248,2026-05-26 00:56:02.397203,0 days 00:00:01.180955,elu,256,0.0022867144285208295,69,12,0.009277768235976359,AE,3,COMPLETE
13,0.0,2026-05-26 00:56:02.397288,2026-05-26 00:56:02.972480,0 days 00:00:00.575192,relu,256,0.0020771873306697406,85,16,0.0024583060920027803,AE,1,COMPLETE
14,0.033783783783783786,2026-05-26 00:56:02.972564,2026-05-26 00:56:04.884594,0 days 00:00:01.912030,tanh,128,0.009846995484186712,51,6,0.0002060068222442747,VAE,3,COMPLETE
15,0.04807692307692308,2026-05-26 00:56:04.884683,2026-05-26 00:56:05.358371,0 days 00:00:00.473688,tanh,256,0.0024069821024203944,35,11,0.0007098701732564443,AE,2,COMPLETE
16,0.05319148936170213,2026-05-26 00:56:05.358458,2026-05-26 00:56:06.144572,0 days 00:00:00.786114,tanh,128,0.00108378205188839,20,7,0.00026565339976672035,VAE,3,COMPLETE
17,0.049019607843137254,2026-05-26 00:56:06.144653,2026-05-26 00:56:06.751508,0 days 00:00:00.606855,relu,128,0.0026317694995992335,21,6,0.000254888273774132,AE,3,COMPLETE
18,0.08670520231213873,2026-05-26 00:56:06.751593,2026-05-26 00:56:09.435213,0 days 00:00:02.683620,elu,128,0.01351600639996428,66,14,0.0002790631500274694,VAE,3,COMPLETE
19,0.004299226139294927,2026-05-26 00:56:09.435300,2026-05-26 00:56:11.787871,0 days 00:00:02.352571,elu,128,0.1663523638123235,65,4,0.00031234855968554997,VAE,3,COMPLETE
20,0.017241379310344827,2026-05-26 00:56:11.787955,2026-05-26 00:56:14.805248,0 days 00:00:03.017293,elu,128,0.0769192031852758,75,14,0.000725723334104288,VAE,3,COMPLETE
21,0.03125,2026-05-26 00:56:14.805331,2026-05-26 00:56:18.309110,0 days 00:00:03.503779,elu,128,0.010269310108991882,87,14,0.00010225766062892336,VAE,3,COMPLETE
22,0.027932960893854747,2026-05-26 00:56:18.309194,2026-05-26 00:56:20.446646,0 days 00:00:02.137452,elu,128,0.01771304175244072,54,13,0.00018176722973874224,VAE,3,COMPLETE
23,0.05102040816326531,2026-05-26 00:56:20.446727,2026-05-26 00:56:23.272693,0 days 00:00:02.825966,tanh,128,0.001787639949653763,89,16,0.00026370504492795717,AE,3,COMPLETE
24,0.04424778761061947,2026-05-26 00:56:23.272774,2026-05-26 00:56:26.091434,0 days 00:00:02.818660,tanh,128,0.003953072187369011,73,11,0.0001497325338175179,VAE,3,COMPLETE
