number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.02570694087403599,2026-05-26 00:55:28.195690,2026-05-26 00:55:28.844287,0 days 00:00:00.648597,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.04504504504504504,2026-05-26 00:55:28.844368,2026-05-26 00:55:30.590541,0 days 00:00:01.746173,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.04032258064516129,2026-05-26 00:55:30.590628,2026-05-26 00:55:30.858101,0 days 00:00:00.267473,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:55:30.858180,2026-05-26 00:55:31.722317,0 days 00:00:00.864137,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.05154639175257732,2026-05-26 00:55:31.722398,2026-05-26 00:55:31.969535,0 days 00:00:00.247137,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:55:31.969619,2026-05-26 00:55:34.711617,0 days 00:00:02.741998,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.03694581280788178,2026-05-26 00:55:34.711698,2026-05-26 00:55:36.249324,0 days 00:00:01.537626,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.05154639175257732,2026-05-26 00:55:36.249407,2026-05-26 00:55:36.890334,0 days 00:00:00.640927,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.0196078431372549,2026-05-26 00:55:36.890416,2026-05-26 00:55:37.392899,0 days 00:00:00.502483,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:55:37.392983,2026-05-26 00:55:37.969305,0 days 00:00:00.576322,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.0364963503649635,2026-05-26 00:55:37.969384,2026-05-26 00:55:38.056860,0 days 00:00:00.087476,relu,512,0.00686986633589653,21,12,0.0010180654295442349,AE,1,COMPLETE
11,0.02544529262086514,2026-05-26 00:55:38.056939,2026-05-26 00:55:38.625809,0 days 00:00:00.568870,tanh,256,0.16836147455956116,40,11,0.008418204136921117,VAE,1,COMPLETE
12,0.04807692307692308,2026-05-26 00:55:38.625889,2026-05-26 00:55:39.090119,0 days 00:00:00.464230,elu,256,0.0022867144285208295,37,7,0.002259696229687226,VAE,1,COMPLETE
13,0.04950495049504951,2026-05-26 00:55:39.090201,2026-05-26 00:55:39.695784,0 days 00:00:00.605583,relu,256,0.001986591639260658,30,5,0.0004085554194655177,VAE,3,COMPLETE
14,0.0,2026-05-26 00:55:39.695861,2026-05-26 00:55:40.404199,0 days 00:00:00.708338,tanh,256,0.010144201523672597,51,10,0.004567453715225174,VAE,1,COMPLETE
15,0.04807692307692308,2026-05-26 00:55:40.404283,2026-05-26 00:55:40.898585,0 days 00:00:00.494302,tanh,512,0.0023418602742146365,66,7,0.001399200430916612,VAE,1,COMPLETE
16,0.04950495049504951,2026-05-26 00:55:40.898668,2026-05-26 00:55:41.670760,0 days 00:00:00.772092,tanh,256,0.0017607408681416445,33,11,0.001984316219000191,VAE,3,COMPLETE
17,0.0,2026-05-26 00:55:41.670843,2026-05-26 00:55:42.215291,0 days 00:00:00.544448,relu,512,0.004312231287712858,47,16,0.0005991538986340593,VAE,2,COMPLETE
18,0.0,2026-05-26 00:55:42.215375,2026-05-26 00:55:42.398121,0 days 00:00:00.182746,elu,256,0.01351600639996428,25,8,0.0002790631500274694,AE,1,COMPLETE
19,0.030594405594405596,2026-05-26 00:55:42.398200,2026-05-26 00:55:43.397679,0 days 00:00:00.999479,tanh,128,0.1663523638123235,31,10,0.0008795188471333268,VAE,2,COMPLETE
20,0.0,2026-05-26 00:55:43.397763,2026-05-26 00:55:43.930346,0 days 00:00:00.532583,tanh,512,0.0010118034123412429,41,6,0.003925800769075804,VAE,3,COMPLETE
21,0.0,2026-05-26 00:55:43.930428,2026-05-26 00:55:44.516333,0 days 00:00:00.585905,relu,256,0.0018585714160057269,29,4,0.0002746195686029602,VAE,3,COMPLETE
22,0.09090909090909091,2026-05-26 00:55:44.516416,2026-05-26 00:55:45.185330,0 days 00:00:00.668914,relu,256,0.002939766863233946,34,5,0.0003256341198371905,VAE,3,COMPLETE
23,0.0,2026-05-26 00:55:45.185415,2026-05-26 00:55:46.220654,0 days 00:00:01.035239,relu,256,0.0029299480670204672,51,6,0.0007931560276057844,VAE,3,COMPLETE
24,0.0,2026-05-26 00:55:46.220741,2026-05-26 00:55:46.817244,0 days 00:00:00.596503,relu,256,0.0014567609486677354,36,8,0.0001141496113598605,VAE,2,COMPLETE
