number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.013227513227513227,2026-05-26 00:53:36.138020,2026-05-26 00:53:36.784715,0 days 00:00:00.646695,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:53:36.784799,2026-05-26 00:53:38.528735,0 days 00:00:01.743936,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.02100840336134454,2026-05-26 00:53:38.528818,2026-05-26 00:53:38.801965,0 days 00:00:00.273147,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:53:38.802049,2026-05-26 00:53:39.689410,0 days 00:00:00.887361,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:53:39.689496,2026-05-26 00:53:39.954957,0 days 00:00:00.265461,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:53:39.955047,2026-05-26 00:53:42.695231,0 days 00:00:02.740184,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.014204545454545454,2026-05-26 00:53:42.695313,2026-05-26 00:53:44.224453,0 days 00:00:01.529140,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:53:44.224535,2026-05-26 00:53:44.858555,0 days 00:00:00.634020,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.01818181818181818,2026-05-26 00:53:44.858632,2026-05-26 00:53:45.372228,0 days 00:00:00.513596,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:53:45.372312,2026-05-26 00:53:45.980213,0 days 00:00:00.607901,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.02077562326869806,2026-05-26 00:53:45.980298,2026-05-26 00:53:46.243362,0 days 00:00:00.263064,relu,512,0.10077649418412096,73,4,0.00011952270129143859,AE,1,COMPLETE
11,0.022404779686333084,2026-05-26 00:53:46.243446,2026-05-26 00:53:46.511371,0 days 00:00:00.267925,relu,512,0.19623118047359514,74,4,0.00011520563786974602,AE,1,COMPLETE
12,0.022156573116691284,2026-05-26 00:53:46.511454,2026-05-26 00:53:46.774202,0 days 00:00:00.262748,relu,512,0.19839701969736226,73,4,0.0003031208952984398,AE,1,COMPLETE
13,0.02243829468960359,2026-05-26 00:53:46.774284,2026-05-26 00:53:47.012815,0 days 00:00:00.238531,relu,512,0.1947254389857005,64,6,0.00035013743046091787,AE,1,COMPLETE
14,0.017985611510791366,2026-05-26 00:53:47.012900,2026-05-26 00:53:47.227664,0 days 00:00:00.214764,relu,512,0.1980415038001286,57,6,0.0002674701807186936,AE,1,COMPLETE
15,0.02040816326530612,2026-05-26 00:53:47.227743,2026-05-26 00:53:47.665106,0 days 00:00:00.437363,relu,256,0.09782946764760542,64,12,0.0006402085192518063,AE,1,COMPLETE
16,0.0,2026-05-26 00:53:47.665189,2026-05-26 00:53:47.860712,0 days 00:00:00.195523,relu,512,0.010767689742313721,52,6,0.00011208014481504544,AE,1,COMPLETE
17,0.015455950540958269,2026-05-26 00:53:47.860790,2026-05-26 00:53:48.188152,0 days 00:00:00.327362,elu,512,0.0864067627995488,82,11,0.000254888273774132,AE,1,COMPLETE
18,0.025879917184265012,2026-05-26 00:53:48.188233,2026-05-26 00:53:48.857687,0 days 00:00:00.669454,relu,256,0.13936010138753496,100,6,0.0007600184229756715,AE,1,COMPLETE
19,0.0,2026-05-26 00:53:48.857774,2026-05-26 00:53:50.375178,0 days 00:00:01.517404,relu,256,0.01209837327220798,98,7,0.0008795188471333268,AE,3,COMPLETE
20,0.010141987829614604,2026-05-26 00:53:50.375262,2026-05-26 00:53:50.975596,0 days 00:00:00.600334,relu,256,0.0599877786583933,88,11,0.0019257702987313752,AE,1,COMPLETE
21,0.02040816326530612,2026-05-26 00:53:50.975680,2026-05-26 00:53:51.420238,0 days 00:00:00.444558,relu,256,0.14314474328960902,65,5,0.0003910817246778161,AE,1,COMPLETE
22,0.006993006993006993,2026-05-26 00:53:51.420320,2026-05-26 00:53:51.879211,0 days 00:00:00.458891,relu,256,0.10212378873597314,68,5,0.0007028796774608669,AE,1,COMPLETE
23,0.018535681186283594,2026-05-26 00:53:51.879300,2026-05-26 00:53:52.061671,0 days 00:00:00.182371,relu,512,0.1556275120987247,47,7,0.00018714467267577138,AE,1,COMPLETE
24,0.0,2026-05-26 00:53:52.061754,2026-05-26 00:53:53.094751,0 days 00:00:01.032997,elu,128,0.02857312820153771,81,5,0.00036568430960207446,AE,1,COMPLETE
