number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.160075329566855,2026-05-26 00:56:36.916981,2026-05-26 00:56:37.738096,0 days 00:00:00.821115,elu,128,0.0483437145318464,21,25,0.0026070247583707684,VAE,2,COMPLETE
1,0.17857142857142858,2026-05-26 00:56:37.738176,2026-05-26 00:56:40.077450,0 days 00:00:02.339274,tanh,128,0.005012686302434879,56,48,0.0005404103854647331,VAE,2,COMPLETE
2,0.15789473684210525,2026-05-26 00:56:40.077531,2026-05-26 00:56:40.427317,0 days 00:00:00.349786,tanh,512,0.025002240473339543,75,17,0.0001567993391672301,AE,1,COMPLETE
3,0.055970149253731345,2026-05-26 00:56:40.427390,2026-05-26 00:56:41.814722,0 days 00:00:01.387332,leaky_relu,512,0.003939675937754723,96,38,0.0035503048581283078,VAE,2,COMPLETE
4,0.019455252918287938,2026-05-26 00:56:41.814799,2026-05-26 00:56:42.272431,0 days 00:00:00.457632,tanh,512,0.0012707770074499693,31,45,0.001217284708112243,VAE,1,COMPLETE
5,0.11627906976744186,2026-05-26 00:56:42.272513,2026-05-26 00:56:45.871709,0 days 00:00:03.599196,tanh,128,0.0010296901472345186,89,72,0.0001705053926026929,AE,3,COMPLETE
6,0.12149532710280374,2026-05-26 00:56:45.871791,2026-05-26 00:56:48.356269,0 days 00:00:02.484478,leaky_relu,256,0.04773596444669527,82,87,0.0013260331922696556,VAE,2,COMPLETE
7,0.05905511811023622,2026-05-26 00:56:48.356356,2026-05-26 00:56:49.269776,0 days 00:00:00.913420,tanh,256,0.0011811892859183053,38,38,0.003244160088734162,VAE,2,COMPLETE
8,0.17326732673267325,2026-05-26 00:56:49.269855,2026-05-26 00:56:49.931082,0 days 00:00:00.661227,tanh,512,0.02867352213261388,45,80,0.006197015748809144,AE,3,COMPLETE
9,0.04,2026-05-26 00:56:49.931163,2026-05-26 00:56:50.918398,0 days 00:00:00.987235,leaky_relu,512,0.0010375213943059785,62,47,0.00044300218067679835,VAE,2,COMPLETE
10,0.15845070422535212,2026-05-26 00:56:50.918479,2026-05-26 00:56:52.923835,0 days 00:00:02.005356,relu,128,0.007037214698578187,54,62,0.00042234828989270274,AE,3,COMPLETE
11,0.06924198250728864,2026-05-26 00:56:52.923917,2026-05-26 00:56:55.231352,0 days 00:00:02.307435,tanh,128,0.18814689294755788,51,92,0.006040599741622081,AE,3,COMPLETE
12,0.1736111111111111,2026-05-26 00:56:55.231436,2026-05-26 00:56:56.416546,0 days 00:00:01.185110,elu,512,0.008601036835273745,64,68,0.008872346581601909,AE,3,COMPLETE
13,0.20072992700729927,2026-05-26 00:56:56.416632,2026-05-26 00:56:57.536866,0 days 00:00:01.120234,elu,128,0.006111505898588613,65,61,0.00042054799954615034,AE,1,COMPLETE
14,0.01858736059479554,2026-05-26 00:56:57.536951,2026-05-26 00:57:00.119224,0 days 00:00:02.582273,elu,128,0.0035960452371579777,71,57,0.00043329572109897897,VAE,1,COMPLETE
15,0.14814814814814814,2026-05-26 00:57:00.119312,2026-05-26 00:57:01.180570,0 days 00:00:01.061258,relu,128,0.0030372078784035865,67,53,0.0006994973652522175,AE,1,COMPLETE
16,0.19607843137254902,2026-05-26 00:57:01.180651,2026-05-26 00:57:02.929463,0 days 00:00:01.748812,elu,128,0.01090769603036729,53,33,0.000246745151926238,VAE,1,COMPLETE
17,0.20440251572327045,2026-05-26 00:57:02.929558,2026-05-26 00:57:03.700247,0 days 00:00:00.770689,elu,128,0.013102951165758232,44,30,0.0002374991192825753,AE,1,COMPLETE
18,0.158311345646438,2026-05-26 00:57:03.700330,2026-05-26 00:57:04.040971,0 days 00:00:00.340641,elu,256,0.022364138666095032,40,13,0.00027826569514932605,AE,1,COMPLETE
19,0.1171875,2026-05-26 00:57:04.041053,2026-05-26 00:57:04.520554,0 days 00:00:00.479501,elu,128,0.0021932139919294516,28,25,0.00013107349734762304,AE,1,COMPLETE
20,0.08490566037735849,2026-05-26 00:57:04.520636,2026-05-26 00:57:05.945071,0 days 00:00:01.424435,elu,128,0.13224176141054683,79,72,0.0008451561513252782,AE,1,COMPLETE
21,0.18461538461538463,2026-05-26 00:57:05.945158,2026-05-26 00:57:06.824870,0 days 00:00:00.879712,elu,128,0.011520205616879168,50,32,0.00025485258114904216,AE,1,COMPLETE
22,0.18691588785046728,2026-05-26 00:57:06.824951,2026-05-26 00:57:07.561116,0 days 00:00:00.736165,elu,128,0.01387532330035236,43,26,0.00025659804065335885,AE,1,COMPLETE
23,0.18115942028985507,2026-05-26 00:57:07.561194,2026-05-26 00:57:08.689332,0 days 00:00:01.128138,elu,128,0.006071621171210534,33,37,0.00021996179160235223,VAE,1,COMPLETE
24,0.18272425249169436,2026-05-26 00:57:08.689419,2026-05-26 00:57:09.659549,0 days 00:00:00.970130,elu,128,0.010395218144487954,59,18,0.0001141496113598605,AE,1,COMPLETE
