number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.013123359580052493,2026-05-26 00:57:46.051776,2026-05-26 00:57:46.698405,0 days 00:00:00.646629,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:57:46.698483,2026-05-26 00:57:48.468474,0 days 00:00:01.769991,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.019230769230769232,2026-05-26 00:57:48.468558,2026-05-26 00:57:48.742798,0 days 00:00:00.274240,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:57:48.742898,2026-05-26 00:57:49.648341,0 days 00:00:00.905443,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:57:49.648423,2026-05-26 00:57:49.920171,0 days 00:00:00.271748,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:57:49.920255,2026-05-26 00:57:52.634284,0 days 00:00:02.714029,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.012135922330097087,2026-05-26 00:57:52.634366,2026-05-26 00:57:54.177408,0 days 00:00:01.543042,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:57:54.177490,2026-05-26 00:57:54.814260,0 days 00:00:00.636770,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.0,2026-05-26 00:57:54.814342,2026-05-26 00:57:55.317981,0 days 00:00:00.503639,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:57:55.318062,2026-05-26 00:57:55.897444,0 days 00:00:00.579382,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.006802721088435374,2026-05-26 00:57:55.897525,2026-05-26 00:57:56.158900,0 days 00:00:00.261375,relu,512,0.10077649418412096,73,4,0.00011952270129143859,AE,1,COMPLETE
11,0.011811023622047244,2026-05-26 00:57:56.158979,2026-05-26 00:57:56.497298,0 days 00:00:00.338319,elu,128,0.18615803493572494,25,4,0.00027075182847057254,AE,1,COMPLETE
12,0.0,2026-05-26 00:57:56.497380,2026-05-26 00:57:57.382319,0 days 00:00:00.884939,elu,128,0.0141916715881578,69,6,0.002393719194281379,AE,1,COMPLETE
13,0.014164305949008499,2026-05-26 00:57:57.382405,2026-05-26 00:57:58.746683,0 days 00:00:01.364278,elu,128,0.03700002596003963,48,6,0.009373336907148542,AE,3,COMPLETE
14,0.022222222222222223,2026-05-26 00:57:58.746754,2026-05-26 00:57:59.692432,0 days 00:00:00.945678,relu,256,0.018975950383393298,57,12,0.008524636948952195,AE,3,COMPLETE
15,0.029239766081871343,2026-05-26 00:57:59.692514,2026-05-26 00:58:00.948964,0 days 00:00:01.256450,relu,256,0.010733396400370878,77,12,0.0005887056496896425,AE,3,COMPLETE
16,0.03571428571428571,2026-05-26 00:58:00.949041,2026-05-26 00:58:01.907811,0 days 00:00:00.958770,relu,256,0.006439644302146614,57,12,0.00055609795204206,AE,3,COMPLETE
17,0.03571428571428571,2026-05-26 00:58:01.907892,2026-05-26 00:58:03.234068,0 days 00:00:01.326176,relu,256,0.006453113697179909,82,11,0.0006308547251132849,AE,3,COMPLETE
18,0.03571428571428571,2026-05-26 00:58:03.234152,2026-05-26 00:58:04.836552,0 days 00:00:01.602400,relu,256,0.00635999454694022,100,11,0.0007928043387745393,AE,3,COMPLETE
19,0.0,2026-05-26 00:58:04.836634,2026-05-26 00:58:06.021202,0 days 00:00:01.184568,relu,256,0.0023356379172369598,65,15,0.00030049155672184355,AE,3,COMPLETE
20,0.032467532467532464,2026-05-26 00:58:06.021283,2026-05-26 00:58:06.819704,0 days 00:00:00.798421,relu,256,0.008507095370042777,50,11,0.0016427316328440158,AE,3,COMPLETE
21,0.038461538461538464,2026-05-26 00:58:06.819785,2026-05-26 00:58:08.409239,0 days 00:00:01.589454,relu,256,0.005648843965204549,100,11,0.0008112749402955171,AE,3,COMPLETE
22,0.0,2026-05-26 00:58:08.409322,2026-05-26 00:58:09.822577,0 days 00:00:01.413255,relu,256,0.0031145282158810683,88,11,0.000872084858504082,AE,3,COMPLETE
23,0.0,2026-05-26 00:58:09.822662,2026-05-26 00:58:11.253023,0 days 00:00:01.430361,relu,256,0.0020654461823436097,85,13,0.00034334377386816505,AE,3,COMPLETE
24,0.0,2026-05-26 00:58:11.253108,2026-05-26 00:58:12.823960,0 days 00:00:01.570852,relu,256,0.006883841491410069,92,16,0.000716574871188577,AE,3,COMPLETE
