number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.011061946902654867,2026-05-26 00:59:22.857891,2026-05-26 00:59:23.516467,0 days 00:00:00.658576,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:59:23.516549,2026-05-26 00:59:25.294730,0 days 00:00:01.778181,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.02092050209205021,2026-05-26 00:59:25.294814,2026-05-26 00:59:25.569903,0 days 00:00:00.275089,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:59:25.569985,2026-05-26 00:59:26.457556,0 days 00:00:00.887571,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:59:26.457637,2026-05-26 00:59:26.708035,0 days 00:00:00.250398,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.04672897196261682,2026-05-26 00:59:26.708128,2026-05-26 00:59:29.527455,0 days 00:00:02.819327,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.02680965147453083,2026-05-26 00:59:29.527539,2026-05-26 00:59:31.088426,0 days 00:00:01.560887,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:59:31.088506,2026-05-26 00:59:31.755297,0 days 00:00:00.666791,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.054945054945054944,2026-05-26 00:59:31.755380,2026-05-26 00:59:32.268160,0 days 00:00:00.512780,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:59:32.268240,2026-05-26 00:59:32.861881,0 days 00:00:00.593641,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.027855153203342618,2026-05-26 00:59:32.861963,2026-05-26 00:59:33.381681,0 days 00:00:00.519718,relu,512,0.10575392326585599,49,13,0.006536264082965736,AE,3,COMPLETE
11,0.03571428571428571,2026-05-26 00:59:33.381762,2026-05-26 00:59:36.514668,0 days 00:00:03.132906,tanh,128,0.007576460004073285,100,13,0.0001325079385167159,AE,3,COMPLETE
12,0.022953328232593728,2026-05-26 00:59:36.514750,2026-05-26 00:59:38.701126,0 days 00:00:02.186376,elu,128,0.19454618958441736,70,16,0.009277768235976359,AE,3,COMPLETE
13,0.0,2026-05-26 00:59:38.701206,2026-05-26 00:59:39.974298,0 days 00:00:01.273092,relu,128,0.012340668299959483,43,12,0.00040947282481882015,AE,3,COMPLETE
14,0.04524886877828054,2026-05-26 00:59:39.974382,2026-05-26 00:59:41.550934,0 days 00:00:01.576552,tanh,256,0.022047666683421622,87,12,0.0002597366887363273,AE,3,COMPLETE
15,0.0,2026-05-26 00:59:41.551020,2026-05-26 00:59:42.254120,0 days 00:00:00.703100,tanh,512,0.0024009411321131943,61,14,0.0007098701732564443,AE,3,COMPLETE
16,0.05952380952380952,2026-05-26 00:59:42.254205,2026-05-26 00:59:44.337669,0 days 00:00:02.083464,tanh,128,0.012230896591983963,71,11,0.0019263008322842764,AE,3,COMPLETE
17,0.0,2026-05-26 00:59:44.337752,2026-05-26 00:59:45.006484,0 days 00:00:00.668732,relu,512,0.012498943986981622,70,11,0.005026057913916599,AE,3,COMPLETE
18,0.02865329512893983,2026-05-26 00:59:45.006569,2026-05-26 00:59:45.663891,0 days 00:00:00.657322,elu,128,0.04048435154447239,50,16,0.0020296410204210377,AE,1,COMPLETE
19,0.016260162601626018,2026-05-26 00:59:45.663977,2026-05-26 00:59:46.271029,0 days 00:00:00.607052,tanh,256,0.08901790070310016,31,11,0.0019638359735671303,AE,3,COMPLETE
20,0.04065040650406504,2026-05-26 00:59:46.271111,2026-05-26 00:59:46.753501,0 days 00:00:00.482390,tanh,512,0.023963540065295368,56,14,0.008945593509703196,AE,2,COMPLETE
21,0.03937007874015748,2026-05-26 00:59:46.753585,2026-05-26 00:59:49.526215,0 days 00:00:02.772630,tanh,128,0.008293423037346554,89,14,0.0008591802701294351,AE,3,COMPLETE
22,0.0,2026-05-26 00:59:49.526297,2026-05-26 00:59:51.874295,0 days 00:00:02.347998,tanh,128,0.0021547331289322644,79,11,0.0002376970296927638,AE,3,COMPLETE
23,0.0,2026-05-26 00:59:51.874376,2026-05-26 00:59:54.631702,0 days 00:00:02.757326,tanh,128,0.0029299480670204672,90,13,0.004954624317557801,AE,3,COMPLETE
24,0.03546099290780142,2026-05-26 00:59:54.631783,2026-05-26 00:59:56.689239,0 days 00:00:02.057456,tanh,128,0.0073233047174113405,68,12,0.0017031315265663468,AE,3,COMPLETE
