number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.013333333333333334,2026-05-26 00:59:04.023207,2026-05-26 00:59:04.661313,0 days 00:00:00.638106,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.056179775280898875,2026-05-26 00:59:04.661391,2026-05-26 00:59:06.379363,0 days 00:00:01.717972,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.02242152466367713,2026-05-26 00:59:06.379444,2026-05-26 00:59:06.648833,0 days 00:00:00.269389,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:59:06.648907,2026-05-26 00:59:07.530834,0 days 00:00:00.881927,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0641025641025641,2026-05-26 00:59:07.530917,2026-05-26 00:59:07.792752,0 days 00:00:00.261835,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0625,2026-05-26 00:59:07.792832,2026-05-26 00:59:10.557370,0 days 00:00:02.764538,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.013440860215053764,2026-05-26 00:59:10.557451,2026-05-26 00:59:12.110229,0 days 00:00:01.552778,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.06578947368421052,2026-05-26 00:59:12.110309,2026-05-26 00:59:12.748647,0 days 00:00:00.638338,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.0423728813559322,2026-05-26 00:59:12.748733,2026-05-26 00:59:13.273715,0 days 00:00:00.524982,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:59:13.273797,2026-05-26 00:59:13.850059,0 days 00:00:00.576262,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.04424778761061947,2026-05-26 00:59:13.850136,2026-05-26 00:59:14.527879,0 days 00:00:00.677743,relu,256,0.00686986633589653,40,12,0.006536264082965736,AE,3,COMPLETE
11,0.01759014951627089,2026-05-26 00:59:14.527960,2026-05-26 00:59:14.859039,0 days 00:00:00.331079,tanh,256,0.16836147455956116,23,11,0.001428582286907833,VAE,1,COMPLETE
12,0.05813953488372093,2026-05-26 00:59:14.859120,2026-05-26 00:59:15.321778,0 days 00:00:00.462658,elu,256,0.0022867144285208295,37,7,0.002393719194281379,VAE,1,COMPLETE
13,0.0641025641025641,2026-05-26 00:59:15.321863,2026-05-26 00:59:15.535795,0 days 00:00:00.213932,relu,512,0.001986591639260658,30,5,0.0006831493027362086,VAE,1,COMPLETE
14,0.032679738562091505,2026-05-26 00:59:15.535875,2026-05-26 00:59:16.268916,0 days 00:00:00.733041,tanh,256,0.010144201523672597,51,10,0.008524636948952195,VAE,1,COMPLETE
15,0.05813953488372093,2026-05-26 00:59:16.269001,2026-05-26 00:59:16.772648,0 days 00:00:00.503647,tanh,512,0.0023418602742146365,66,7,0.0037103552504935415,VAE,1,COMPLETE
16,0.0625,2026-05-26 00:59:16.772724,2026-05-26 00:59:17.543367,0 days 00:00:00.770643,tanh,256,0.0017607408681416445,33,11,0.0009103139265522109,VAE,3,COMPLETE
17,0.0,2026-05-26 00:59:17.543446,2026-05-26 00:59:18.101731,0 days 00:00:00.558285,relu,512,0.004312231287712858,47,16,0.0003654504652863497,VAE,2,COMPLETE
18,0.06493506493506493,2026-05-26 00:59:18.101818,2026-05-26 00:59:18.490294,0 days 00:00:00.388476,elu,256,0.01351600639996428,32,8,0.001798206872845896,AE,2,COMPLETE
19,0.03234750462107209,2026-05-26 00:59:18.490377,2026-05-26 00:59:19.271517,0 days 00:00:00.781140,elu,256,0.1663523638123235,68,6,0.0020515762784143765,AE,2,COMPLETE
20,0.027675276752767528,2026-05-26 00:59:19.271599,2026-05-26 00:59:19.874014,0 days 00:00:00.602415,elu,256,0.07407152426854474,54,4,0.004138035184395541,AE,2,COMPLETE
21,0.029069767441860465,2026-05-26 00:59:19.874102,2026-05-26 00:59:20.091816,0 days 00:00:00.217714,elu,256,0.015580587673412945,29,9,0.0014650559629886687,AE,1,COMPLETE
22,0.0641025641025641,2026-05-26 00:59:20.091900,2026-05-26 00:59:20.733231,0 days 00:00:00.641331,elu,256,0.0015143421885319408,41,8,0.000872084858504082,AE,3,COMPLETE
23,0.05813953488372093,2026-05-26 00:59:20.733316,2026-05-26 00:59:21.096615,0 days 00:00:00.363299,tanh,256,0.0029299480670204672,27,10,0.00029561947825291,AE,2,COMPLETE
24,0.03787878787878788,2026-05-26 00:59:21.096695,2026-05-26 00:59:21.884727,0 days 00:00:00.788032,tanh,128,0.009377223866567147,35,8,0.0018242830532236203,VAE,1,COMPLETE
