number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.23391812865497075,2026-05-26 00:58:35.087213,2026-05-26 00:58:35.729342,0 days 00:00:00.642129,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.8762886597938144,2026-05-26 00:58:35.729424,2026-05-26 00:58:37.438874,0 days 00:00:01.709450,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.34,2026-05-26 00:58:37.438956,2026-05-26 00:58:37.706663,0 days 00:00:00.267707,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.6989247311827957,2026-05-26 00:58:37.706735,2026-05-26 00:58:38.559074,0 days 00:00:00.852339,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.6410256410256411,2026-05-26 00:58:38.559153,2026-05-26 00:58:38.798275,0 days 00:00:00.239122,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.6962025316455697,2026-05-26 00:58:38.798351,2026-05-26 00:58:41.571924,0 days 00:00:02.773573,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.24169184290030213,2026-05-26 00:58:41.572008,2026-05-26 00:58:43.108923,0 days 00:00:01.536915,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.75,2026-05-26 00:58:43.109002,2026-05-26 00:58:43.762963,0 days 00:00:00.653961,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.3148148148148148,2026-05-26 00:58:43.763049,2026-05-26 00:58:44.376403,0 days 00:00:00.613354,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.5844155844155844,2026-05-26 00:58:44.376495,2026-05-26 00:58:44.995816,0 days 00:00:00.619321,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.7203389830508474,2026-05-26 00:58:44.995898,2026-05-26 00:58:46.602899,0 days 00:00:01.607001,relu,128,0.007037214698578187,54,12,0.00042234828989270274,AE,3,COMPLETE
11,0.07488986784140969,2026-05-26 00:58:46.602979,2026-05-26 00:58:47.179771,0 days 00:00:00.576792,tanh,256,0.16836147455956116,41,11,0.0005892832675215697,VAE,1,COMPLETE
12,0.9036144578313253,2026-05-26 00:58:47.179853,2026-05-26 00:58:48.259442,0 days 00:00:01.079589,elu,256,0.0033149155950960426,64,7,0.008872346581601909,VAE,2,COMPLETE
13,0.8421052631578947,2026-05-26 00:58:48.259522,2026-05-26 00:58:50.213446,0 days 00:00:01.953924,elu,128,0.004445413618373053,65,6,0.007879160621951932,VAE,2,COMPLETE
14,0.625,2026-05-26 00:58:50.213528,2026-05-26 00:58:51.056545,0 days 00:00:00.843017,elu,256,0.009184752018489317,71,6,0.0002674701807186936,VAE,1,COMPLETE
15,0.40540540540540543,2026-05-26 00:58:51.056626,2026-05-26 00:58:53.334703,0 days 00:00:02.278077,relu,128,0.00294006977769397,60,10,0.0007098701732564443,VAE,3,COMPLETE
16,0.7738095238095238,2026-05-26 00:58:53.334788,2026-05-26 00:58:54.226921,0 days 00:00:00.892133,elu,256,0.002359292073818298,52,7,0.0017382944114295645,VAE,2,COMPLETE
17,0.551948051948052,2026-05-26 00:58:54.227003,2026-05-26 00:58:55.850055,0 days 00:00:01.623052,elu,128,0.01071965980760778,75,4,0.00011335431394085064,VAE,1,COMPLETE
18,0.7272727272727273,2026-05-26 00:58:55.850140,2026-05-26 00:58:56.624681,0 days 00:00:00.774541,relu,256,0.006058707866491452,48,11,0.000774149197367854,AE,3,COMPLETE
19,0.9036144578313253,2026-05-26 00:58:56.624765,2026-05-26 00:58:57.520406,0 days 00:00:00.895641,elu,256,0.002155186715209747,56,5,0.005100927312180484,VAE,2,COMPLETE
20,0.8024691358024691,2026-05-26 00:58:57.520488,2026-05-26 00:58:58.587806,0 days 00:00:01.067318,elu,256,0.002136438438733931,67,5,0.00505146991031787,VAE,2,COMPLETE
21,0.5,2026-05-26 00:58:58.587887,2026-05-26 00:58:59.588890,0 days 00:00:01.001003,elu,256,0.00204181118128662,59,7,0.008465737502721346,VAE,2,COMPLETE
22,0.8854166666666666,2026-05-26 00:58:59.588975,2026-05-26 00:59:00.489819,0 days 00:00:00.900844,elu,256,0.004290509896206249,55,8,0.004296363938529504,VAE,2,COMPLETE
23,0.45454545454545453,2026-05-26 00:59:00.489904,2026-05-26 00:59:01.024682,0 days 00:00:00.534778,elu,256,0.015498712501102343,33,5,0.00425489374063102,VAE,2,COMPLETE
24,0.7065217391304348,2026-05-26 00:59:01.024762,2026-05-26 00:59:02.426748,0 days 00:00:01.401986,elu,256,0.003255618870517849,80,7,0.00953392667589991,VAE,2,COMPLETE
