number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_layer_width,params_lr,params_model,params_n_layers,state
0,0.011933174224343675,2026-05-26 00:57:10.800374,2026-05-26 00:57:11.452106,0 days 00:00:00.651732,elu,128,0.0483437145318464,21,6,0.0026070247583707684,VAE,2,COMPLETE
1,0.0,2026-05-26 00:57:11.452190,2026-05-26 00:57:13.202566,0 days 00:00:01.750376,tanh,128,0.005012686302434879,56,9,0.0005404103854647331,VAE,2,COMPLETE
2,0.0,2026-05-26 00:57:13.202647,2026-05-26 00:57:13.473745,0 days 00:00:00.271098,tanh,512,0.025002240473339543,75,4,0.0001567993391672301,AE,1,COMPLETE
3,0.0,2026-05-26 00:57:13.473821,2026-05-26 00:57:14.334969,0 days 00:00:00.861148,leaky_relu,512,0.003939675937754723,96,8,0.0035503048581283078,VAE,2,COMPLETE
4,0.0,2026-05-26 00:57:14.335049,2026-05-26 00:57:14.605414,0 days 00:00:00.270365,tanh,512,0.0012707770074499693,31,9,0.001217284708112243,VAE,1,COMPLETE
5,0.0,2026-05-26 00:57:14.605494,2026-05-26 00:57:17.436379,0 days 00:00:02.830885,tanh,128,0.0010296901472345186,89,13,0.0001705053926026929,AE,3,COMPLETE
6,0.025,2026-05-26 00:57:17.436462,2026-05-26 00:57:18.973877,0 days 00:00:01.537415,leaky_relu,256,0.04773596444669527,82,15,0.0013260331922696556,VAE,2,COMPLETE
7,0.0,2026-05-26 00:57:18.973960,2026-05-26 00:57:19.602658,0 days 00:00:00.628698,tanh,256,0.0011811892859183053,38,8,0.003244160088734162,VAE,2,COMPLETE
8,0.0,2026-05-26 00:57:19.602740,2026-05-26 00:57:20.095163,0 days 00:00:00.492423,tanh,512,0.02867352213261388,45,14,0.006197015748809144,AE,3,COMPLETE
9,0.0,2026-05-26 00:57:20.095238,2026-05-26 00:57:20.671345,0 days 00:00:00.576107,leaky_relu,512,0.0010375213943059785,62,9,0.00044300218067679835,VAE,2,COMPLETE
10,0.01668520578420467,2026-05-26 00:57:20.671427,2026-05-26 00:57:22.012711,0 days 00:00:01.341284,relu,256,0.12283149759821775,79,16,0.0010784189548339463,AE,3,COMPLETE
11,0.011380880121396054,2026-05-26 00:57:22.012793,2026-05-26 00:57:23.331709,0 days 00:00:01.318916,relu,256,0.19681610895349583,79,16,0.0011782800596762833,AE,3,COMPLETE
12,0.005995203836930456,2026-05-26 00:57:23.331792,2026-05-26 00:57:24.529479,0 days 00:00:01.197687,relu,256,0.11597071996184175,72,16,0.0005673218931034588,AE,3,COMPLETE
13,0.01440922190201729,2026-05-26 00:57:24.529559,2026-05-26 00:57:25.114413,0 days 00:00:00.584854,relu,256,0.09383341409991773,87,12,0.0015762498166253984,AE,1,COMPLETE
14,0.00980392156862745,2026-05-26 00:57:25.114494,2026-05-26 00:57:27.309097,0 days 00:00:02.194603,leaky_relu,256,0.06029062224087544,99,14,0.008524636948952195,VAE,3,COMPLETE
15,0.0,2026-05-26 00:57:27.309178,2026-05-26 00:57:28.116232,0 days 00:00:00.807054,elu,256,0.012168370228090503,65,11,0.00028692756683553643,AE,2,COMPLETE
16,0.017271157167530225,2026-05-26 00:57:28.116314,2026-05-26 00:57:30.051187,0 days 00:00:01.934873,relu,256,0.16600360956361027,84,15,0.0019263008322842764,VAE,3,COMPLETE
17,0.013123359580052493,2026-05-26 00:57:30.051267,2026-05-26 00:57:31.310862,0 days 00:00:01.259595,leaky_relu,256,0.041301956551987706,88,14,0.0024382691931341136,VAE,1,COMPLETE
18,0.0,2026-05-26 00:57:31.310944,2026-05-26 00:57:32.227811,0 days 00:00:00.916867,relu,256,0.014087730095686282,51,12,0.004930411023631284,VAE,2,COMPLETE
19,0.008460236886632826,2026-05-26 00:57:32.227898,2026-05-26 00:57:33.869044,0 days 00:00:01.641146,leaky_relu,256,0.1663523638123235,71,15,0.0020515762784143765,VAE,3,COMPLETE
20,0.0,2026-05-26 00:57:33.869125,2026-05-26 00:57:36.570277,0 days 00:00:02.701152,elu,128,0.06840163383396601,83,11,0.0007023506259261696,VAE,2,COMPLETE
21,0.02518891687657431,2026-05-26 00:57:36.570362,2026-05-26 00:57:38.126878,0 days 00:00:01.556516,relu,256,0.10704226024850107,94,16,0.0008926512533577456,AE,3,COMPLETE
22,0.014326647564469915,2026-05-26 00:57:38.126963,2026-05-26 00:57:40.353235,0 days 00:00:02.226272,relu,256,0.0888131585157503,96,15,0.000872084858504082,VAE,3,COMPLETE
23,0.0,2026-05-26 00:57:40.353317,2026-05-26 00:57:42.139519,0 days 00:00:01.786202,relu,256,0.02681352948315319,100,15,0.001734161714848398,AE,3,COMPLETE
24,0.01200960768614892,2026-05-26 00:57:42.139609,2026-05-26 00:57:43.813184,0 days 00:00:01.673575,relu,256,0.18967755022468885,92,13,0.00032578032296821143,VAE,2,COMPLETE
