number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.08379888268156424,2026-06-07 12:23:20.421829,2026-06-07 12:23:20.436396,0 days 00:00:00.014567,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.10810810810810811,2026-06-07 12:23:20.436465,2026-06-07 12:23:20.581540,0 days 00:00:00.145075,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.10695187165775401,2026-06-07 12:23:20.581602,2026-06-07 12:23:20.589947,0 days 00:00:00.008345,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.6730769230769231,2026-06-07 12:23:20.589992,2026-06-07 12:23:20.703637,0 days 00:00:00.113645,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.24271844660194175,2026-06-07 12:23:20.703723,2026-06-07 12:23:21.508449,0 days 00:00:00.804726,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-06-07 12:23:21.508515,2026-06-07 12:23:21.562629,0 days 00:00:00.054114,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.3626943005181347,2026-06-07 12:23:21.562689,2026-06-07 12:23:21.779406,0 days 00:00:00.216717,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.1111111111111111,2026-06-07 12:23:21.779474,2026-06-07 12:23:21.783761,0 days 00:00:00.004287,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.6104651162790697,2026-06-07 12:23:21.783810,2026-06-07 12:23:21.868422,0 days 00:00:00.084612,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.3148148148148148,2026-06-07 12:23:21.868483,2026-06-07 12:23:21.876573,0 days 00:00:00.008090,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.2669902912621359,2026-06-07 12:23:21.876613,2026-06-07 12:23:21.886283,0 days 00:00:00.009670,,0.018054373833527988,,,ECOD,,,,,COMPLETE
11,0.7954545454545454,2026-06-07 12:23:21.886326,2026-06-07 12:23:21.965958,0 days 00:00:00.079632,,0.045706913124722665,,0.38737137356600115,IForest,,52.0,,,COMPLETE
12,0.8913043478260869,2026-06-07 12:23:21.966021,2026-06-07 12:23:22.039102,0 days 00:00:00.073081,,0.026097789726971476,,0.31843113004974644,IForest,,55.0,,,COMPLETE
13,0.6796116504854369,2026-06-07 12:23:22.039164,2026-06-07 12:23:22.109483,0 days 00:00:00.070319,,0.014632859991184757,,0.3206955132533633,IForest,,51.0,,,COMPLETE
14,0.8836206896551724,2026-06-07 12:23:22.109549,2026-06-07 12:23:22.249096,0 days 00:00:00.139547,,0.026641960893341532,,0.30312715801209456,IForest,,109.0,,,COMPLETE
