inj_seed,column,anomaly_rate,shift_pct,model,precision,recall,f1,f2,n_synthetic,n_caught,n_missed,missed_rate,n_extra_flags,extra_flag_rate,n_pos,n_neg,recall_pos,recall_neg
7,initialDemandOutturn,0.01,0.1,LOF,0.2738,0.5227,0.3594,0.4423,88,46,42,0.4773,122,0.014,43,45,0.2791,0.7556
7,initialTransmissionSystemDemandOutturn,0.01,0.1,ECOD,0.2081,0.4659,0.2877,0.3734,88,41,47,0.5341,156,0.0178,48,40,0.4583,0.475
7,initialDemandOutturn,0.01,0.2,ECOD,0.49,0.5568,0.5213,0.542,88,49,39,0.4432,51,0.0058,43,45,0.4419,0.6667
7,initialTransmissionSystemDemandOutturn,0.01,0.2,ECOD,0.4306,0.7045,0.5345,0.625,88,62,26,0.2955,82,0.0094,48,40,0.6458,0.775
7,initialDemandOutturn,0.01,0.3,ECOD,0.6442,0.7614,0.6979,0.7346,88,67,21,0.2386,37,0.0042,43,45,0.6977,0.8222
7,initialTransmissionSystemDemandOutturn,0.01,0.3,ECOD,0.8052,0.7045,0.7515,0.7226,88,62,26,0.2955,15,0.0017,48,40,0.625,0.8
7,initialDemandOutturn,0.01,0.4,ECOD,0.9315,0.7727,0.8447,0.8,88,68,20,0.2273,5,0.0006,43,45,0.6977,0.8444
7,initialTransmissionSystemDemandOutturn,0.01,0.4,ECOD,0.8,0.8636,0.8306,0.8501,88,76,12,0.1364,19,0.0022,48,40,0.7708,0.975
7,initialDemandOutturn,0.01,0.5,ECOD,0.9722,0.7955,0.875,0.8255,88,70,18,0.2045,2,0.0002,43,45,0.6977,0.8889
7,initialTransmissionSystemDemandOutturn,0.01,0.5,ECOD,0.8913,0.9318,0.9111,0.9234,88,82,6,0.0682,10,0.0011,48,40,0.875,1.0
7,initialDemandOutturn,0.02,0.1,IForest,0.2225,0.4915,0.3063,0.3958,177,87,90,0.5085,304,0.0351,85,92,0.4471,0.5326
7,initialTransmissionSystemDemandOutturn,0.02,0.1,IForest,0.2525,0.5763,0.3511,0.4586,177,102,75,0.4237,302,0.0349,82,95,0.4634,0.6737
7,initialDemandOutturn,0.02,0.2,IForest,0.3465,0.791,0.4819,0.6295,177,140,37,0.209,264,0.0305,85,92,0.7294,0.8478
7,initialTransmissionSystemDemandOutturn,0.02,0.2,IForest,0.3799,0.8136,0.518,0.6624,177,144,33,0.1864,235,0.0272,82,95,0.7561,0.8632
7,initialDemandOutturn,0.02,0.3,ECOD,0.6605,0.8023,0.7245,0.7692,177,142,35,0.1977,73,0.0084,85,92,0.7176,0.8804
7,initialTransmissionSystemDemandOutturn,0.02,0.3,IForest,0.4952,0.8701,0.6311,0.7556,177,154,23,0.1299,157,0.0181,82,95,0.7927,0.9368
7,initialDemandOutturn,0.02,0.4,ECOD,0.6824,0.8983,0.7756,0.8448,177,159,18,0.1017,74,0.0086,85,92,0.8353,0.9565
