number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.23809523809523808,2026-04-28 11:37:18.525010,2026-04-28 11:37:18.546034,0 days 00:00:00.021024,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:37:18.546202,2026-04-28 11:37:18.553872,0 days 00:00:00.007670,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:37:18.554020,2026-04-28 11:37:18.562160,0 days 00:00:00.008140,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.009596928982725527,2026-04-28 11:37:18.562313,2026-04-28 11:37:18.773131,0 days 00:00:00.210818,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.014340344168260038,2026-04-28 11:37:18.773323,2026-04-28 11:37:18.778037,0 days 00:00:00.004714,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:37:18.778161,2026-04-28 11:37:18.844004,0 days 00:00:00.065843,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.017152658662092625,2026-04-28 11:37:18.844187,2026-04-28 11:37:19.253645,0 days 00:00:00.409458,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:37:19.253821,2026-04-28 11:37:19.258234,0 days 00:00:00.004413,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.017825311942959002,2026-04-28 11:37:19.258354,2026-04-28 11:37:19.421029,0 days 00:00:00.162675,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 11:37:19.421207,2026-04-28 11:37:19.429420,0 days 00:00:00.008213,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.5789473684210527,2026-04-28 11:37:19.429578,2026-04-28 11:37:19.453413,0 days 00:00:00.023835,,0.012278360049275504,77.0,,LOF,,,5.0,,COMPLETE
11,0.6043956043956044,2026-04-28 11:37:19.453590,2026-04-28 11:37:19.476900,0 days 00:00:00.023310,,0.012863636468880696,79.0,,LOF,,,6.0,,COMPLETE
12,0.0,2026-04-28 11:37:19.477063,2026-04-28 11:37:19.486222,0 days 00:00:00.009159,,0.011334291779669579,,,ECOD,,,,,COMPLETE
13,0.5851063829787234,2026-04-28 11:37:19.486354,2026-04-28 11:37:19.509122,0 days 00:00:00.022768,,0.014760471569989502,80.0,,LOF,,,6.0,,COMPLETE
14,0.32196969696969696,2026-04-28 11:37:19.509299,2026-04-28 11:37:19.547261,0 days 00:00:00.037962,,0.026641960893341532,80.0,,LOF,,,35.0,,COMPLETE
15,0.39823008849557523,2026-04-28 11:37:19.547450,2026-04-28 11:37:19.581626,0 days 00:00:00.034176,,0.00614072248611863,53.0,,LOF,,,35.0,,COMPLETE
16,0.018726591760299626,2026-04-28 11:37:19.581809,2026-04-28 11:37:19.591383,0 days 00:00:00.009574,,0.023350809989676466,,,ECOD,,,,,COMPLETE
17,0.6010928961748634,2026-04-28 11:37:19.591540,2026-04-28 11:37:19.614608,0 days 00:00:00.023068,,0.00891276795886596,56.0,,LOF,,,5.0,,COMPLETE
18,0.44715447154471544,2026-04-28 11:37:19.614778,2026-04-28 11:37:19.648925,0 days 00:00:00.034147,,0.006939970924376007,52.0,,LOF,,,33.0,,COMPLETE
19,0.08928571428571429,2026-04-28 11:37:19.649117,2026-04-28 11:37:19.707539,0 days 00:00:00.058422,,0.02436048698338823,36.0,,LOF,,,71.0,,COMPLETE
20,0.0,2026-04-28 11:37:19.707726,2026-04-28 11:37:19.717189,0 days 00:00:00.009463,,0.00892390470724845,,,ECOD,,,,,COMPLETE
21,0.5238095238095238,2026-04-28 11:37:19.717345,2026-04-28 11:37:19.741403,0 days 00:00:00.024058,,0.01818108974662312,64.0,,LOF,,,7.0,,COMPLETE
22,0.3181818181818182,2026-04-28 11:37:19.741569,2026-04-28 11:37:19.771475,0 days 00:00:00.029906,,0.03852726857182039,63.0,,LOF,,,19.0,,COMPLETE
23,0.6956521739130435,2026-04-28 11:37:19.771641,2026-04-28 11:37:19.803126,0 days 00:00:00.031485,,0.0038123374414285155,65.0,,LOF,,,23.0,,COMPLETE
24,0.6194690265486725,2026-04-28 11:37:19.803294,2026-04-28 11:37:19.835048,0 days 00:00:00.031754,,0.0033359959162883833,61.0,,LOF,,,23.0,,COMPLETE
