number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0,2026-04-28 10:46:04.037440,2026-04-28 10:46:04.061599,0 days 00:00:00.024159,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 10:46:04.061788,2026-04-28 10:46:04.071017,0 days 00:00:00.009229,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 10:46:04.071206,2026-04-28 10:46:04.080391,0 days 00:00:00.009185,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.05263157894736842,2026-04-28 10:46:04.080599,2026-04-28 10:46:04.302783,0 days 00:00:00.222184,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.042444821731748725,2026-04-28 10:46:04.302970,2026-04-28 10:46:04.308952,0 days 00:00:00.005982,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:46:04.309130,2026-04-28 10:46:04.385174,0 days 00:00:00.076044,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.06343283582089553,2026-04-28 10:46:04.385391,2026-04-28 10:46:04.837501,0 days 00:00:00.452110,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:46:04.837722,2026-04-28 10:46:04.842894,0 days 00:00:00.005172,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.06578947368421052,2026-04-28 10:46:04.843073,2026-04-28 10:46:05.025588,0 days 00:00:00.182515,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0539568345323741,2026-04-28 10:46:05.025790,2026-04-28 10:46:05.035159,0 days 00:00:00.009369,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.03205128205128205,2026-04-28 10:46:05.035368,2026-04-28 10:46:05.046102,0 days 00:00:00.010734,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.06593406593406594,2026-04-28 10:46:05.046290,2026-04-28 10:46:05.543666,0 days 00:00:00.497376,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.07366482504604052,2026-04-28 10:46:05.543914,2026-04-28 10:46:06.054924,0 days 00:00:00.511010,,0.04822173298251386,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.0398936170212766,2026-04-28 10:46:06.055178,2026-04-28 10:46:06.580595,0 days 00:00:00.525417,,0.024086765081765927,,0.8109715399222327,IForest,,196.0,,,COMPLETE
14,0.03926701570680628,2026-04-28 10:46:06.580783,2026-04-28 10:46:07.008716,0 days 00:00:00.427933,,0.023048144499690545,,0.40461158038518974,IForest,,154.0,,,COMPLETE
15,0.036101083032490974,2026-04-28 10:46:07.008934,2026-04-28 10:46:07.019282,0 days 00:00:00.010348,,0.09559768530722407,,,ECOD,,,,,COMPLETE
16,0.05241090146750524,2026-04-28 10:46:07.019464,2026-04-28 10:46:07.557826,0 days 00:00:00.538362,,0.037871089389670286,,0.8147100018818704,IForest,,200.0,,,COMPLETE
17,0.0,2026-04-28 10:46:07.558076,2026-04-28 10:46:07.887457,0 days 00:00:00.329381,,0.00977855030732149,,0.9972115722232049,IForest,,126.0,,,COMPLETE
18,0.07121057985757884,2026-04-28 10:46:07.887683,2026-04-28 10:46:08.336693,0 days 00:00:00.449010,,0.11559998584502143,,0.8199258979028818,IForest,,165.0,,,COMPLETE
19,0.09670079635949944,2026-04-28 10:46:08.336946,2026-04-28 10:46:08.382597,0 days 00:00:00.045651,,0.10221540528889135,14.0,,LOF,,,44.0,,COMPLETE
20,0.0875,2026-04-28 10:46:08.382847,2026-04-28 10:46:08.434289,0 days 00:00:00.051442,,0.026826536810874997,10.0,,LOF,,,49.0,,COMPLETE
21,0.10152284263959391,2026-04-28 10:46:08.434482,2026-04-28 10:46:08.482135,0 days 00:00:00.047653,,0.023410591807332674,14.0,,LOF,,,46.0,,COMPLETE
22,0.05136986301369863,2026-04-28 10:46:08.482376,2026-04-28 10:46:08.531991,0 days 00:00:00.049615,,0.007687399128007582,10.0,,LOF,,,47.0,,COMPLETE
23,0.08130081300813008,2026-04-28 10:46:08.532265,2026-04-28 10:46:08.580464,0 days 00:00:00.048199,,0.019823799904627584,12.0,,LOF,,,46.0,,COMPLETE
24,0.10204081632653061,2026-04-28 10:46:08.580669,2026-04-28 10:46:08.629747,0 days 00:00:00.049078,,0.0316418107802353,10.0,,LOF,,,46.0,,COMPLETE
