number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0,2026-04-28 11:12:14.821579,2026-04-28 11:12:14.843496,0 days 00:00:00.021917,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.0,2026-04-28 11:12:14.843661,2026-04-28 11:12:14.852162,0 days 00:00:00.008501,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.0,2026-04-28 11:12:14.852310,2026-04-28 11:12:14.860755,0 days 00:00:00.008445,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.015360983102918587,2026-04-28 11:12:14.860899,2026-04-28 11:12:15.087718,0 days 00:00:00.226819,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.03274087932647334,2026-04-28 11:12:15.087906,2026-04-28 11:12:15.092991,0 days 00:00:00.005085,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 11:12:15.093151,2026-04-28 11:12:15.160814,0 days 00:00:00.067663,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.03997093023255814,2026-04-28 11:12:15.161041,2026-04-28 11:12:15.602657,0 days 00:00:00.441616,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 11:12:15.602860,2026-04-28 11:12:15.607677,0 days 00:00:00.004817,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.036284470246734396,2026-04-28 11:12:15.607807,2026-04-28 11:12:15.782866,0 days 00:00:00.175059,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.0,2026-04-28 11:12:15.783064,2026-04-28 11:12:15.791506,0 days 00:00:00.008442,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.0,2026-04-28 11:12:15.791637,2026-04-28 11:12:15.801520,0 days 00:00:00.009883,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.04619758351101635,2026-04-28 11:12:15.801654,2026-04-28 11:12:16.293452,0 days 00:00:00.491798,,0.1743059612198183,,0.9562129194904898,IForest,,181.0,,,COMPLETE
12,0.04261363636363636,2026-04-28 11:12:16.293650,2026-04-28 11:12:16.794797,0 days 00:00:00.501147,,0.17998506335222095,,0.997051699031053,IForest,,192.0,,,COMPLETE
13,0.0,2026-04-28 11:12:16.794980,2026-04-28 11:12:17.325456,0 days 00:00:00.530476,,0.0243897042982637,,0.8109715399222327,IForest,,196.0,,,COMPLETE
14,0.04062038404726736,2026-04-28 11:12:17.325643,2026-04-28 11:12:17.726995,0 days 00:00:00.401352,,0.16953867479922408,,0.40461158038518974,IForest,,154.0,,,COMPLETE
15,0.0,2026-04-28 11:12:17.727177,2026-04-28 11:12:17.737252,0 days 00:00:00.010075,,0.013424584154280014,,,ECOD,,,,,COMPLETE
16,0.0468384074941452,2026-04-28 11:12:17.737394,2026-04-28 11:12:18.268517,0 days 00:00:00.531123,,0.09681165729706535,,0.8147100018818704,IForest,,200.0,,,COMPLETE
17,0.01098901098901099,2026-04-28 11:12:18.268698,2026-04-28 11:12:18.611513,0 days 00:00:00.342815,,0.03203577487336038,,0.7717049042583516,IForest,,123.0,,,COMPLETE
18,0.03382949932341001,2026-04-28 11:12:18.611728,2026-04-28 11:12:19.059043,0 days 00:00:00.447315,,0.07884510374971754,,0.8246143997466128,IForest,,160.0,,,COMPLETE
19,0.059453032104637336,2026-04-28 11:12:19.059250,2026-04-28 11:12:19.104280,0 days 00:00:00.045030,,0.10221540528889135,14.0,,LOF,,,44.0,,COMPLETE
20,0.017857142857142856,2026-04-28 11:12:19.104474,2026-04-28 11:12:19.152778,0 days 00:00:00.048304,,0.007014106804771264,10.0,,LOF,,,49.0,,COMPLETE
21,0.059453032104637336,2026-04-28 11:12:19.152986,2026-04-28 11:12:19.197309,0 days 00:00:00.044323,,0.09891831002985742,49.0,,LOF,,,44.0,,COMPLETE
22,0.05089058524173028,2026-04-28 11:12:19.197537,2026-04-28 11:12:19.241290,0 days 00:00:00.043753,,0.0991524945238775,53.0,,LOF,,,46.0,,COMPLETE
23,0.021321961620469083,2026-04-28 11:12:19.241479,2026-04-28 11:12:19.284724,0 days 00:00:00.043245,,0.03207096394345319,52.0,,LOF,,,46.0,,COMPLETE
24,0.07075471698113207,2026-04-28 11:12:19.284919,2026-04-28 11:12:19.325529,0 days 00:00:00.040610,,0.10301645892295637,50.0,,LOF,,,40.0,,COMPLETE
